region,ak_intersubject_cov
V1_L,3.994379428191496
MST_L,4.953161068035424
V6_L,4.450663733096947
V2_L,4.024423619186086
V3_L,4.01129934953617
V4_L,4.1457462062551045
V8_L,4.957068609026987
4_L,3.589331798247867
3b_L,3.160412163411221
FEF_L,4.136795674980057
PEF_L,4.854512753944518
55b_L,4.38434764945652
V3A_L,4.623814667489406
RSC_L,4.114576254627171
POS2_L,4.2395296918155605
V7_L,6.238519352681247
IPS1_L,5.343658420814159
FFC_L,4.627369706573365
V3B_L,5.3573048925291085
LO1_L,4.953277247802739
LO2_L,5.132913573564791
PIT_L,4.749335801361838
MT_L,5.2696476345215935
A1_L,3.605948785720468
PSL_L,4.461389382833212
SFL_L,4.612768912675098
PCV_L,4.461590533734808
STV_L,4.497933319406572
7Pm_L,4.983626504274495
7m_L,4.587665058474473
POS1_L,4.792700697409299
23d_L,4.298940134460057
v23ab_L,5.532739047475372
d23ab_L,4.868910220914052
31pv_L,4.626968438154484
5m_L,4.580924833160423
5mv_L,4.198510256740155
23c_L,4.054594538601364
5L_L,4.930206505702105
24dd_L,3.7520075795163503
24dv_L,4.052155148373325
7AL_L,4.913964478950656
SCEF_L,4.014938326310786
6ma_L,4.8876898373637445
7Am_L,4.662826854693218
7Pl_L,5.727870891185542
7PC_L,5.307620690556628
LIPv_L,5.765252965224623
VIP_L,5.59027761980073
MIP_L,5.3995554163484245
1_L,3.82270381800646
2_L,4.082076856560764
3a_L,3.616429560664612
6d_L,4.1087731781534735
6mp_L,4.655143355251436
6v_L,4.502017473877197
p24pr_L,4.110267264943766
33pr_L,4.053328972722097
a24pr_L,4.142797383586219
p32pr_L,4.067536978584108
a24_L,3.8401002227488967
d32_L,4.594048309255961
8BM_L,4.55107269534453
p32_L,4.218256320888174
10r_L,4.528289910831936
47m_L,3.93876209091374
8Av_L,4.211265189308326
8Ad_L,4.354800165900487
9m_L,4.945867952958577
8BL_L,4.560228355743024
9p_L,4.726534565803685
10d_L,5.601800385301735
8C_L,4.2543709786125765
44_L,4.042591044180895
45_L,4.281157889616268
47l_L,3.8122418980495696
a47r_L,4.2347339142072284
6r_L,3.7690018967756895
IFJa_L,4.812588901868593
IFJp_L,4.576955227563652
IFSp_L,4.757691957147457
IFSa_L,4.580225881402837
p9-46v_L,4.484820551241508
46_L,4.466081763300238
a9-46v_L,4.524469780758715
9-46d_L,4.5936520144815125
9a_L,5.043086757903638
10v_L,4.26189891284072
a10p_L,4.650452622631826
10pp_L,5.217816556859272
11l_L,4.188865946002274
13l_L,4.019069948684398
OFC_L,2.659081519696407
47s_L,3.5873937884867773
LIPd_L,5.196931562715512
6a_L,4.151254653716629
i6-8_L,4.445268688013539
s6-8_L,4.981621797423619
43_L,3.973355038027768
OP4_L,4.014387462824738
OP1_L,4.028626359481461
OP2-3_L,3.854733509332725
52_L,4.326321914125468
RI_L,4.133858358890116
PFcm_L,4.0043912896160325
PoI2_L,3.368950757058616
TA2_L,4.243108796219501
FOP4_L,3.444229125017998
MI_L,3.3163016047569744
Pir_L,3.025280429080057
AVI_L,3.3400396817783986
AAIC_L,3.0449993040382024
FOP1_L,3.684616415525089
FOP3_L,3.778506747895511
FOP2_L,3.688819672341215
PFt_L,4.167220107563558
AIP_L,4.565076497136418
EC_L,3.867498342587936
PreS_L,3.8480823664996286
H_L,4.067331450815447
ProS_L,4.55863410492894
PeEc_L,4.253922179816397
STGa_L,4.002336116920473
PBelt_L,4.451405781409239
A5_L,4.045382351276666
PHA1_L,4.533532597787485
PHA3_L,4.885175516436716
STSda_L,4.235229578413276
STSdp_L,4.831609467110938
STSvp_L,4.50112290583152
TGd_L,3.969243991582802
TE1a_L,4.453603835095678
TE1p_L,4.585890816169998
TE2a_L,5.11505362290502
TF_L,4.159016925709821
TE2p_L,5.072773673262144
PHT_L,4.172554124418562
PH_L,4.316387583953843
TPOJ1_L,4.669626272652625
TPOJ2_L,4.465608184304039
TPOJ3_L,5.211709829111387
DVT_L,4.2526059870880655
PGp_L,4.099279428533323
IP2_L,4.443138321148927
IP1_L,4.732703093286104
IP0_L,4.34540145737476
PFop_L,3.90464265045228
PF_L,3.646873963068193
PFm_L,3.840635197699705
PGi_L,3.81355864228257
PGs_L,3.87479908160396
V6A_L,5.845380979731291
VMV1_L,4.725797920315836
VMV3_L,5.186162198213902
PHA2_L,4.861973408988173
V4t_L,5.4079854859593
FST_L,4.575821893918769
V3CD_L,4.867477387010654
LO3_L,4.83974354800062
VMV2_L,5.032196547778147
31pd_L,4.598517761782957
31a_L,4.447704797496723
VVC_L,4.784501224219677
25_L,4.577378994332835
s32_L,4.797944276374788
pOFC_L,4.474236409265061
PoI1_L,3.620947133861205
Ig_L,3.979238493346023
FOP5_L,3.722757246365819
p10p_L,5.242665009414982
p47r_L,4.129759111632679
TGv_L,4.947744479437827
MBelt_L,3.961556642017089
LBelt_L,4.30431488600762
A4_L,4.130674381240853
STSva_L,4.23950288385034
TE1m_L,5.340522260681704
PI_L,3.731099043364504
a32pr_L,4.176410570792685
p24_L,3.922758952464992
V1_R,3.807683812499224
MST_R,4.671329324058297
V6_R,4.387271211839567
V2_R,3.9326705381859166
V3_R,3.878726588477796
V4_R,4.1027178213842665
V8_R,5.097653593620367
4_R,3.786540109564
3b_R,3.77970441466174
FEF_R,4.475779764069821
PEF_R,4.864894493477151
55b_R,4.720864791458946
V3A_R,3.8244620979827526
RSC_R,3.7775433000219247
POS2_R,4.13609524542781
V7_R,4.9502854364562
IPS1_R,4.393400366516078
FFC_R,4.8214898401536495
V3B_R,4.1921181563963446
LO1_R,4.546381924145234
LO2_R,4.646609154344194
PIT_R,4.98730603301983
MT_R,4.439307609195602
A1_R,3.544503452684436
PSL_R,3.585552405666479
SFL_R,4.834810144446785
PCV_R,4.418884393064059
STV_R,4.154263120587669
7Pm_R,4.712795011002504
7m_R,4.479350030179076
POS1_R,4.505983518830023
23d_R,3.883981175674236
v23ab_R,4.994162348912779
d23ab_R,4.710810619054766
31pv_R,4.4670364934946765
5m_R,4.579996042465073
5mv_R,4.322586453323125
23c_R,4.03577005203494
5L_R,4.805209331355774
24dd_R,3.796228556138011
24dv_R,3.940546905685622
7AL_R,4.553298132368852
SCEF_R,4.312372591399795
6ma_R,4.966650416621199
7Am_R,4.515115853436178
7Pl_R,4.839003506689372
7PC_R,4.492870733205759
LIPv_R,4.804025887123995
VIP_R,4.94734494727895
MIP_R,4.602487838231842
1_R,3.886520192811977
2_R,3.9238108995263374
3a_R,3.608171937345886
6d_R,4.286286894079381
6mp_R,4.697716436684761
6v_R,4.73606205984963
p24pr_R,3.918355431152788
33pr_R,3.876439405427713
a24pr_R,3.9697773242860737
p32pr_R,4.126287629541704
a24_R,3.745756154819858
d32_R,4.240430405139409
8BM_R,4.2461153049401466
p32_R,3.9226563633316447
10r_R,4.363537368022595
47m_R,3.921680225947611
8Av_R,4.51992490493019
8Ad_R,4.598579114056252
9m_R,4.4405116606264015
8BL_R,4.86610894108878
9p_R,5.206254731365466
10d_R,5.498860037612953
8C_R,4.488686176304701
44_R,4.314350112235613
45_R,4.955932536311207
47l_R,4.258694303615877
a47r_R,3.8440776205777976
6r_R,4.123100558436798
IFJa_R,4.583013433753553
IFJp_R,4.633858958355439
IFSp_R,4.713271239013752
IFSa_R,4.189940451153793
p9-46v_R,4.570290899676658
46_R,4.479239796045439
a9-46v_R,4.596588826362172
9-46d_R,4.596413797708357
9a_R,5.495442379825998
10v_R,4.01412349938128
a10p_R,4.751595373467414
10pp_R,4.868748254041324
11l_R,3.965372335130478
13l_R,4.197458195707869
OFC_R,3.2954855045560083
47s_R,3.8727294891441866
LIPd_R,4.355088998804053
6a_R,4.392661466853032
i6-8_R,4.7814691253144925
s6-8_R,5.101618979197635
43_R,4.239389692615005
OP4_R,4.199894419037635
OP1_R,4.1065131893572095
OP2-3_R,3.9133374382233153
52_R,4.259080430932614
