region,ak_intersubject_cov
RI_R,4.091002437194692
PFcm_R,3.9834195128008663
PoI2_R,3.4369254979084505
TA2_R,3.922659273674504
FOP4_R,3.578614347516241
MI_R,3.3525912574104297
Pir_R,3.463185835540678
AVI_R,3.1303684572107167
AAIC_R,3.2971549532538327
FOP1_R,4.059423426351566
FOP3_R,3.5828053491549148
FOP2_R,3.942379431302476
PFt_R,3.9657995507780015
AIP_R,3.848245519318842
EC_R,4.002056811511042
PreS_R,3.667508063121676
H_R,4.0948275096975175
ProS_R,4.278124762963381
PeEc_R,4.101657269119738
STGa_R,4.29489723684771
PBelt_R,4.356973864883321
A5_R,4.149592125932514
PHA1_R,4.687096447873198
PHA3_R,4.9148795059981305
STSda_R,4.289040018966093
STSdp_R,4.046079422108348
STSvp_R,4.229106521818253
TGd_R,3.819085675700781
TE1a_R,4.972028944046906
TE1p_R,5.071910519776304
TE2a_R,4.952597466161093
TF_R,3.793663594494486
TE2p_R,5.382503279497873
PHT_R,4.076431664902078
PH_R,4.531534529878988
TPOJ1_R,3.992704555257045
TPOJ2_R,3.995252144067655
TPOJ3_R,3.911308047336977
DVT_R,4.224465460379818
PGp_R,3.783740386116132
IP2_R,4.0312068913562
IP1_R,4.3779036821437405
IP0_R,4.669214789202058
PFop_R,4.160180274460156
PF_R,3.741843596344432
PFm_R,3.613437139266616
PGi_R,3.4336804335993705
PGs_R,3.7935714120660537
V6A_R,4.773038640575123
VMV1_R,4.9107938340372
VMV3_R,5.113541029996915
PHA2_R,4.956009458100312
V4t_R,4.685117937117621
FST_R,4.33534447750843
V3CD_R,4.022985984454648
LO3_R,4.139118832248398
VMV2_R,4.896534280862716
31pd_R,4.626988569271102
31a_R,4.648747819670169
VVC_R,4.744357880697901
25_R,4.4611148106619005
s32_R,4.859597650786583
pOFC_R,4.295411926532576
PoI1_R,3.5690864478863373
Ig_R,3.839000456133725
FOP5_R,3.632504575866721
p10p_R,4.702905934248398
p47r_R,4.250433414396284
TGv_R,4.435277990318975
MBelt_R,3.81845285225332
LBelt_R,3.99691498251708
A4_R,4.047580880028969
STSva_R,4.234740544723744
TE1m_R,5.718247316690606
PI_R,3.689101288499871
a32pr_R,4.275290752411495
p24_R,3.748395379229137
