region,dki-md_intersubject_cov
2_R,2.0867279625949102
3a_R,2.326592413772813
6d_R,2.171709754202092
6mp_R,2.167422612269891
6v_R,2.3786781237567003
p24pr_R,2.4138422790356278
33pr_R,2.384201005165285
a24pr_R,2.2079964486622443
p32pr_R,2.254305297599588
a24_R,2.046873151188743
d32_R,2.015136756452961
8BM_R,2.1089048502800094
p32_R,2.087555633180331
10r_R,2.080495147325016
47m_R,2.22042574029181
8Av_R,2.0760863194015813
8Ad_R,2.182781076085613
9m_R,1.9764990661733564
8BL_R,2.212265396141421
9p_R,2.3752425857741803
10d_R,2.065942679986146
8C_R,2.207909976823604
44_R,2.1092141835485374
45_R,2.207482542429734
47l_R,2.2108969073949902
a47r_R,2.011172665512193
6r_R,1.980210222406444
IFJa_R,2.5507156477341084
IFJp_R,2.5786994858425505
IFSp_R,2.416156583750684
IFSa_R,2.251934021868189
p9-46v_R,2.21694216255448
46_R,2.012078525364295
a9-46v_R,2.505172196258036
9-46d_R,2.120979660943866
9a_R,2.1271002784887814
10v_R,2.199967392311724
a10p_R,2.063210661396995
10pp_R,2.5268293631840546
11l_R,2.032228180110506
13l_R,2.989955394719149
OFC_R,3.4165652419881467
47s_R,2.2379612748922098
LIPd_R,2.568994036478213
6a_R,2.1827516730422065
i6-8_R,2.323200924581247
s6-8_R,2.2862409741235923
43_R,2.1102318140010645
OP4_R,2.027208029672908
OP1_R,2.14087846688398
OP2-3_R,2.270735515160345
52_R,2.2805471591745947
RI_R,2.1802285219628077
PFcm_R,1.9884135153483928
PoI2_R,2.2331641794843944
TA2_R,2.2895704648176
FOP4_R,2.000434760397319
MI_R,2.070924762352078
Pir_R,2.3601892132534923
AVI_R,2.06039859721933
AAIC_R,2.0676154848675203
FOP1_R,2.255122497065684
FOP3_R,2.114523079202045
FOP2_R,2.1078639715158407
PFt_R,2.1449391691808697
AIP_R,2.1982032913123706
EC_R,2.571690583078907
PreS_R,2.0791711436114046
H_R,2.3199073342852565
ProS_R,2.5421143629952865
PeEc_R,2.595906228486261
STGa_R,2.6855264622040664
PBelt_R,2.0614816119662884
A5_R,1.9935655093682711
PHA1_R,2.452088906838866
PHA3_R,2.9543264412504384
STSda_R,2.5343477277662627
STSdp_R,2.1835133705682472
STSvp_R,2.0627117935377672
TGd_R,2.289544047473373
TE1a_R,2.7675588777257856
TE1p_R,2.2577809585379
TE2a_R,2.495091980989192
TF_R,2.5657582376227777
TE2p_R,2.5358883894202844
PHT_R,1.8668302611177068
PH_R,2.3126583762216857
TPOJ1_R,1.8398187007356188
TPOJ2_R,1.90538530733962
TPOJ3_R,1.9538195907971052
DVT_R,2.081285630390885
PGp_R,1.6948570802390135
IP2_R,2.327453195314398
IP1_R,2.132552266062366
IP0_R,2.2144498770648555
PFop_R,2.082019995460612
PF_R,1.7832526523728476
PFm_R,1.7402631104992523
PGi_R,1.708349569511208
PGs_R,1.721118690969652
V6A_R,2.1328810022343045
VMV1_R,2.7673708268005024
VMV3_R,3.0025679425774885
PHA2_R,2.872679176031365
V4t_R,2.201027523501626
FST_R,2.1132250201596925
V3CD_R,1.8721035141761224
LO3_R,1.986113613743095
VMV2_R,3.072505074534845
31pd_R,2.490717928930122
31a_R,2.491951836979141
VVC_R,2.762132224629568
25_R,2.7806116398006897
s32_R,2.594896413591486
pOFC_R,3.3061455227353638
PoI1_R,2.354377131088853
Ig_R,2.1353301767295703
FOP5_R,1.9497416261055536
p10p_R,2.115458239544798
p47r_R,2.236805343332997
TGv_R,2.601286778277283
MBelt_R,2.1024058916680843
LBelt_R,2.249434978003707
A4_R,2.094980946538914
STSva_R,2.53094584495285
TE1m_R,2.732002263374044
PI_R,2.529032787228952
a32pr_R,2.0192197365491595
p24_R,1.9038495623634888
