region,dki-md_intersubject_cov
V1_L,2.0174452729177985
MST_L,2.2513746280608635
V6_L,2.541461480665945
V2_L,1.9517374906029237
V3_L,1.8454357742011265
V4_L,1.9049681105916492
V8_L,2.158931109222819
4_L,1.7437021576774716
3b_L,2.129993024675205
FEF_L,2.3477809761674995
PEF_L,2.4115747882950918
55b_L,1.9921288848018264
V3A_L,1.9995081460927515
RSC_L,2.225173578746608
POS2_L,2.11297192661037
V7_L,2.665449512477731
IPS1_L,2.3235400457303648
FFC_L,2.152075808405812
V3B_L,2.410528116971669
LO1_L,2.4407724292740984
LO2_L,2.312319376872765
PIT_L,2.24379519500699
MT_L,2.383275662041713
A1_L,2.322340346155427
PSL_L,2.0985618844789578
SFL_L,2.213164969620381
PCV_L,2.20868877990567
STV_L,2.201736923221347
7Pm_L,2.442147870728656
7m_L,2.196459615311787
POS1_L,2.307342386816537
23d_L,2.465453825165936
v23ab_L,2.539528657776491
d23ab_L,2.196945518620509
31pv_L,2.3103620035347587
5m_L,2.39258698265482
5mv_L,2.40458720556259
23c_L,2.323095840270835
5L_L,2.2264296564940804
24dd_L,2.1755320244140077
24dv_L,2.4327521904868257
7AL_L,2.3986064580068227
SCEF_L,2.237306211558378
6ma_L,2.414584238549033
7Am_L,2.205029882578974
7Pl_L,2.415430009222697
7PC_L,2.529517700407022
LIPv_L,2.5251246543076493
VIP_L,2.5120952667543426
MIP_L,2.4224481801185407
1_L,1.9811295946902776
2_L,2.2373069620435326
3a_L,2.248964620664085
6d_L,2.3024165272301
6mp_L,2.1762804633085757
6v_L,2.0926790683237826
p24pr_L,2.330051111892874
33pr_L,2.548955666557416
a24pr_L,2.2650739062582264
p32pr_L,2.234536268487797
a24_L,2.006358916027693
d32_L,2.036714206264312
8BM_L,2.205701431884888
p32_L,1.992487764471848
10r_L,2.2107361591884915
47m_L,1.9504995817969184
8Av_L,1.981887809089736
8Ad_L,1.856826111675204
9m_L,2.109246471779524
8BL_L,2.2792280571078924
9p_L,2.1209326911948416
10d_L,2.1973902180003875
8C_L,1.7958933044669234
44_L,1.9576188249985484
45_L,1.7827490779417987
47l_L,1.750593263513911
a47r_L,1.6423497591306644
6r_L,1.8144491454627656
IFJa_L,2.0953334530698315
IFJp_L,2.1208887576998814
IFSp_L,2.162855231729728
IFSa_L,1.9566063978384631
p9-46v_L,1.903998807922672
46_L,1.827635859715402
a9-46v_L,1.9561790463385529
9-46d_L,1.937440734196913
9a_L,2.2045758157708097
10v_L,2.56783120640958
a10p_L,1.8558170577610125
10pp_L,2.286572026302812
11l_L,1.98430782846994
13l_L,2.8576510114882008
OFC_L,3.463222372768069
47s_L,2.0567463591662865
LIPd_L,2.549164669899041
6a_L,2.3549245313986065
i6-8_L,2.3641201939199483
s6-8_L,2.6740552841067013
43_L,1.8882785763202383
OP4_L,1.8109626411513888
OP1_L,2.026747041560736
OP2-3_L,2.055205884335531
52_L,2.078976394948421
RI_L,2.27527488907761
PFcm_L,1.9691271042857927
PoI2_L,1.895151341682365
TA2_L,2.0072597265969034
FOP4_L,1.764653062297158
MI_L,1.850846574711041
Pir_L,2.109524096180908
AVI_L,1.7080760131300294
AAIC_L,1.9266571569772075
FOP1_L,2.0410124956309934
FOP3_L,2.0059279934903818
FOP2_L,1.90780470722096
PFt_L,2.070785333257672
AIP_L,2.1853501034516896
EC_L,2.81947472759567
PreS_L,2.118465803008442
H_L,2.2976503027049184
ProS_L,2.421613363596093
PeEc_L,2.6378716248234557
STGa_L,2.0198079169176157
PBelt_L,2.075973670500445
A5_L,1.9357048289004049
PHA1_L,2.436118413311648
PHA3_L,2.378428747942344
STSda_L,2.098883949495048
STSdp_L,2.030368185810958
STSvp_L,2.175239686720766
TGd_L,2.2311027192501784
TE1a_L,2.192455468416597
TE1p_L,2.1443325905815205
TE2a_L,2.309869654940239
TF_L,2.564066159470622
TE2p_L,2.1687602638006327
PHT_L,2.074578934675149
PH_L,2.0291211813115435
TPOJ1_L,1.9917820773092356
TPOJ2_L,2.1903034462552777
TPOJ3_L,2.3692591043217988
DVT_L,2.233309302041454
PGp_L,2.034858465866955
IP2_L,2.294290685618218
IP1_L,2.236696390181105
IP0_L,2.368243019075756
PFop_L,1.802155613475936
PF_L,1.7961885241302984
PFm_L,1.8546790238495887
PGi_L,1.8583312048451983
PGs_L,1.8293316690124852
V6A_L,2.375757727308193
VMV1_L,2.4285810594380077
VMV3_L,2.2468566506135166
PHA2_L,2.479972633656603
V4t_L,2.426771749162258
FST_L,2.1150421671988835
V3CD_L,2.23361498793418
LO3_L,2.4365424595884515
VMV2_L,2.45847472083811
31pd_L,2.3293817641676284
31a_L,2.258795052124531
VVC_L,2.302282973284471
25_L,3.1792152698506464
s32_L,2.745878064089038
pOFC_L,4.099085431976246
PoI1_L,1.9774300479683904
Ig_L,2.130588763846621
FOP5_L,1.8825284342306332
p10p_L,2.0823419383521053
p47r_L,1.7577103088139387
TGv_L,2.7268181453434144
MBelt_L,2.034437809141867
LBelt_L,2.4034962359615397
A4_L,2.042938826836967
STSva_L,2.338104408314212
TE1m_L,2.3050285179868606
PI_L,2.0250234193100995
a32pr_L,2.088193673680234
p24_L,2.146045930774101
V1_R,1.9273323729588527
MST_R,2.161307872669604
V6_R,2.3798214050986104
V2_R,1.894857619646828
V3_R,1.7741758946605384
V4_R,1.9207511542617444
V8_R,2.358993443408979
4_R,1.7144472806979385
3b_R,2.357979223461143
FEF_R,2.10392919145976
PEF_R,2.524976234931993
55b_R,2.1202212672793608
V3A_R,1.9711361803920475
RSC_R,2.02540451929342
POS2_R,1.9972946108145
V7_R,2.551001669588337
IPS1_R,2.362598458093512
FFC_R,2.6464888963461286
V3B_R,2.217070375409658
LO1_R,2.032538134742202
LO2_R,2.126981355593542
PIT_R,2.1566057092943383
MT_R,2.087013364877786
A1_R,2.332528458205916
PSL_R,1.9477497233872536
SFL_R,2.1771598974963937
PCV_R,2.3210543206470478
STV_R,1.9366034561317549
7Pm_R,2.393940311690235
7m_R,2.1962088629072407
POS1_R,2.186607440158362
23d_R,2.421028574918209
v23ab_R,2.260828618005624
d23ab_R,2.48126367624123
31pv_R,2.532294766451553
5m_R,2.4305805142954893
5mv_R,2.310831325092673
23c_R,2.484655379364238
5L_R,2.1688801004524536
24dd_R,2.2225090520274327
24dv_R,2.328130519434789
7AL_R,2.383071856714988
SCEF_R,2.2604565695824306
6ma_R,2.1297155339395
7Am_R,2.283240983890828
7Pl_R,2.3797347344296766
7PC_R,2.2028970610491605
LIPv_R,2.374591145374769
VIP_R,2.287999857393385
MIP_R,2.287799675716441
1_R,2.065222486130556
