region,dki-rd_intersubject_cov
V1_L,2.177698879214459
MST_L,2.544886097764783
V6_L,2.8721927820627395
V2_L,2.150978503601429
V3_L,2.008106906058709
V4_L,2.0279337568701483
V8_L,2.3883878705756247
4_L,1.9547314171439176
3b_L,2.286443648305545
FEF_L,2.7194189927730203
PEF_L,3.128950763554135
55b_L,2.440581615785131
V3A_L,2.2553178257285853
RSC_L,2.7110377379667754
POS2_L,2.3027013140508967
V7_L,3.4369723740565785
IPS1_L,2.73906574446564
FFC_L,2.3828741951398555
V3B_L,2.584169173098623
LO1_L,2.7874043383468607
LO2_L,2.7203892537186527
PIT_L,2.559195865184169
MT_L,2.827991754617377
A1_L,2.639099793748645
PSL_L,2.43186535022095
SFL_L,2.438776041033325
PCV_L,2.4507093873130508
STV_L,2.629675345145401
7Pm_L,2.7379593328728533
7m_L,2.4046648005354
POS1_L,2.525966591802813
23d_L,2.784243263726788
v23ab_L,2.7548773627121275
d23ab_L,2.4537764538262405
31pv_L,2.547675991326408
5m_L,2.771685409308015
5mv_L,2.6937174552739784
23c_L,2.531051959882705
5L_L,2.4308302744756016
24dd_L,2.326094315924536
24dv_L,2.708671974014752
7AL_L,2.678482564669794
SCEF_L,2.327520870748874
6ma_L,2.59664509463578
7Am_L,2.3700558745511104
7Pl_L,2.741082165482349
7PC_L,2.937788337364013
LIPv_L,2.9773813272384166
VIP_L,2.9047332043464005
MIP_L,2.886896181285802
1_L,2.255030150541061
2_L,2.520358565613975
3a_L,2.4103709750494664
6d_L,2.6564964502118227
6mp_L,2.3843892486060314
6v_L,2.5213705301339857
p24pr_L,2.6267911535447817
33pr_L,3.312911747794952
a24pr_L,2.594820992015825
p32pr_L,2.4665716023188766
a24_L,2.2347936795684213
d32_L,2.28085357994532
8BM_L,2.4375177554596053
p32_L,2.200554926111228
10r_L,2.457612741343531
47m_L,2.391165634388497
8Av_L,2.2792114292853016
8Ad_L,2.0697543449610096
9m_L,2.281143778592843
8BL_L,2.609950678851108
9p_L,2.29796413590384
10d_L,2.41983364592949
8C_L,2.1365762650949565
44_L,2.10120019321631
45_L,2.0774206179753665
47l_L,2.06493477192488
a47r_L,1.9133743947502515
6r_L,2.002598213943086
IFJa_L,2.567548445709097
IFJp_L,2.505650749842917
IFSp_L,2.5536284223026886
IFSa_L,2.1956676466666045
p9-46v_L,2.3271652624822585
46_L,2.059607149373816
a9-46v_L,2.1764662622066693
9-46d_L,2.077506537797892
9a_L,2.309169119482353
10v_L,2.847786463561425
a10p_L,2.107651386415152
10pp_L,2.472834967184513
11l_L,2.1379639488588817
13l_L,3.116399068044176
OFC_L,4.2227458652253045
47s_L,2.4309859304297223
LIPd_L,3.0049785990980915
6a_L,2.4689410008002657
i6-8_L,2.8257549963496484
s6-8_L,3.194126511843398
43_L,2.162615705033165
OP4_L,2.021133949570232
OP1_L,2.2427288639205982
OP2-3_L,2.2156618534135264
52_L,2.357394030004597
RI_L,2.625138242673521
PFcm_L,2.2432611797136244
PoI2_L,2.2418662375437126
TA2_L,2.31036172575757
FOP4_L,1.9952137896778568
MI_L,2.1471113957452483
Pir_L,2.808147235666112
AVI_L,2.070696508199005
AAIC_L,2.390428667011516
FOP1_L,2.434545258211242
FOP3_L,2.21571179640017
FOP2_L,2.164063165879281
PFt_L,2.305575658063704
AIP_L,2.4979005349627217
EC_L,3.2148054343834427
PreS_L,2.8623739405246087
H_L,2.451009801632367
ProS_L,2.835046153793772
PeEc_L,2.817573831837384
STGa_L,2.1878944899749264
PBelt_L,2.233476880218162
A5_L,2.194691934252649
PHA1_L,2.634972135015813
PHA3_L,2.586574765284522
STSda_L,2.3199472505212224
STSdp_L,2.314279294850197
STSvp_L,2.381978668568933
TGd_L,2.3761709075794144
TE1a_L,2.3692082218185955
TE1p_L,2.314609343265482
TE2a_L,2.5577895490089118
TF_L,2.8664491265511933
TE2p_L,2.453844434103605
PHT_L,2.299423480749047
PH_L,2.1988774445841632
TPOJ1_L,2.325151886830404
TPOJ2_L,2.5055871943469774
TPOJ3_L,2.723148961142658
DVT_L,2.522405549763317
PGp_L,2.231053567625827
IP2_L,2.6247641194089875
IP1_L,2.51612582205308
IP0_L,2.5956514225231686
PFop_L,2.062329567620441
PF_L,1.964431637252426
PFm_L,2.0301661921374814
PGi_L,2.0515316411855213
PGs_L,2.000554546003825
V6A_L,3.02405581492686
VMV1_L,2.7164866446950064
VMV3_L,2.464711193991162
PHA2_L,2.6133357940155637
V4t_L,2.913752257731378
FST_L,2.3757846231082373
V3CD_L,2.485723381833385
LO3_L,2.7795690378095914
VMV2_L,2.731406507880713
31pd_L,2.570886590596684
31a_L,2.5473962188933488
VVC_L,2.460575560267628
25_L,3.395197507386994
s32_L,3.249917183018112
pOFC_L,4.18108159489295
PoI1_L,2.2318277912780204
Ig_L,2.334260688692318
FOP5_L,2.131753502393984
p10p_L,2.3359219930123367
p47r_L,1.978376173955942
TGv_L,2.992595908089386
MBelt_L,2.296570783071631
LBelt_L,2.5998808954068595
A4_L,2.377251156400628
STSva_L,2.5030925091850333
TE1m_L,2.515318866935833
PI_L,2.2334663878706986
a32pr_L,2.356363768898056
p24_L,2.4543699072039016
V1_R,2.0673741236255805
MST_R,2.4057704323071096
V6_R,2.5888978095134227
V2_R,2.0909661448310373
V3_R,1.9251592498196848
V4_R,2.100637824938483
V8_R,2.5839388641823624
4_R,1.9236292569038649
3b_R,2.486721834336301
FEF_R,2.368704413608395
PEF_R,2.9372664863605564
55b_R,2.524543561855615
V3A_R,2.147901984709124
RSC_R,2.410456171233861
POS2_R,2.282774897515384
V7_R,3.0673264390016226
IPS1_R,2.6193768267181348
FFC_R,2.8820336947035927
V3B_R,2.3922792258121084
LO1_R,2.288073368792242
LO2_R,2.470517667972396
PIT_R,2.438834399651024
MT_R,2.3837798651608133
A1_R,2.690358103414878
PSL_R,2.242127089844442
SFL_R,2.377326652368308
PCV_R,2.530639142366274
STV_R,2.2472369768388734
7Pm_R,2.823536170166773
7m_R,2.4036238095841584
POS1_R,2.388739706688485
23d_R,2.5993132808705925
v23ab_R,2.520275645691907
d23ab_R,2.7009433423702305
31pv_R,2.7459466812387587
5m_R,2.804122430333732
5mv_R,2.4620145100491237
23c_R,2.5940903204189505
5L_R,2.4004401133163435
24dd_R,2.3003442038956
24dv_R,2.407572422091141
7AL_R,2.7256497550837686
SCEF_R,2.377112781367635
6ma_R,2.3523658719950205
7Am_R,2.5181351864239816
7Pl_R,2.860640635420256
7PC_R,2.6534353381123896
LIPv_R,2.8900151012222866
VIP_R,2.826427151123051
MIP_R,2.7160113006385687
1_R,2.4164688251286903
2_R,2.410814690697772
3a_R,2.57117950724508
6d_R,2.547093412647598
6mp_R,2.407224602076941
6v_R,2.651644412659332
p24pr_R,2.6409813080316344
33pr_R,2.9769454431682503
