region,dki-rd_intersubject_cov
a24pr_R,2.5296520931537274
p32pr_R,2.4522125346135795
a24_R,2.2357144327785563
d32_R,2.0987049726433424
8BM_R,2.241789422170901
p32_R,2.2405125828095405
10r_R,2.3633134696195826
47m_R,2.479412087672351
8Av_R,2.377023890596221
8Ad_R,2.443017934185769
9m_R,2.069014535444524
8BL_R,2.4564296610949103
9p_R,2.5926977560766504
10d_R,2.28663425706552
8C_R,2.5707305315812534
44_R,2.360273905112159
45_R,2.4485427396407022
47l_R,2.4414476919822814
a47r_R,2.197340391359476
6r_R,2.228569369619265
IFJa_R,2.989005751126985
IFJp_R,2.8942211912541898
IFSp_R,2.7696838277592053
IFSa_R,2.5552842342744477
p9-46v_R,2.5610904618034884
46_R,2.2015539953389136
a9-46v_R,2.819084531568208
9-46d_R,2.2503394872600784
9a_R,2.2901404659805777
10v_R,2.398797603428554
a10p_R,2.35372761625088
10pp_R,2.710631268517749
11l_R,2.221416066446681
13l_R,3.2433416130257338
OFC_R,3.9793438863152897
47s_R,2.56683752238993
LIPd_R,2.886646922889313
6a_R,2.368038259721051
i6-8_R,2.681980220305765
s6-8_R,2.6693461954832305
43_R,2.378627791520622
OP4_R,2.2173045965890914
OP1_R,2.399165924609913
OP2-3_R,2.488751662731133
52_R,2.5738171973218944
RI_R,2.466090984840124
PFcm_R,2.2764525375661737
PoI2_R,2.636844428974712
TA2_R,2.3496936548661607
FOP4_R,2.19080028389555
MI_R,2.3785493718887376
Pir_R,3.21953598336842
AVI_R,2.2907000331991867
AAIC_R,2.51919226276597
FOP1_R,2.5721237355173754
FOP3_R,2.4506434994699
FOP2_R,2.2842285637372344
PFt_R,2.4648815504391464
AIP_R,2.38317264395109
EC_R,2.820482666153528
PreS_R,2.4814546797250205
H_R,2.4629664488730647
ProS_R,2.8318927624514894
PeEc_R,2.7957546783163973
STGa_R,2.962058604897391
PBelt_R,2.3368663289640006
A5_R,2.199137755130317
PHA1_R,2.561355583354532
PHA3_R,3.099235329318808
STSda_R,2.858137788277201
STSdp_R,2.3266647437656247
STSvp_R,2.218246284583629
TGd_R,2.473758624127209
TE1a_R,3.019133385596706
TE1p_R,2.436229680816876
TE2a_R,2.685165010430987
TF_R,2.7967956091702755
TE2p_R,2.739796356538917
PHT_R,2.0392084252971414
PH_R,2.5089474511108136
TPOJ1_R,2.007796761751475
TPOJ2_R,2.1564754300368354
TPOJ3_R,2.302989013566512
DVT_R,2.376782870148065
PGp_R,1.9021191951919671
IP2_R,2.5942127085236124
IP1_R,2.380683107991691
IP0_R,2.4381882148737226
PFop_R,2.3717945996800616
PF_R,1.9692390636818895
PFm_R,1.8915402978921176
PGi_R,1.87325161924965
PGs_R,1.8650712374461111
V6A_R,2.7320786161797503
VMV1_R,3.039209375770296
VMV3_R,3.268633234841066
PHA2_R,3.112071693694624
V4t_R,2.4895904807435034
FST_R,2.303923969821561
V3CD_R,2.062364551222009
LO3_R,2.2660674067580016
VMV2_R,3.3579115770872643
31pd_R,2.717378431553323
31a_R,2.792522041445223
VVC_R,2.963403624907662
25_R,3.0078109070283414
s32_R,3.495448387022269
pOFC_R,3.38335485718679
PoI1_R,2.739374711358228
Ig_R,2.3952816642768866
FOP5_R,2.196294571056272
p10p_R,2.381675766420695
p47r_R,2.484055231304028
TGv_R,2.881538135405564
MBelt_R,2.2072473229397143
LBelt_R,2.5163959393245694
A4_R,2.432034197735009
STSva_R,2.687023848943557
TE1m_R,2.923855202398764
PI_R,2.588777201349588
a32pr_R,2.125164032087016
p24_R,2.3064207546361506
