region,rk_intersubject_cov
V1_L,3.777039266736954
MST_L,5.234715683841102
V6_L,4.580870567438162
V2_L,3.726254357039736
V3_L,3.8143569291394535
V4_L,4.0509053087564
V8_L,5.013871098670578
4_L,3.660888987775346
3b_L,3.7572768125122336
FEF_L,4.1876329852208345
PEF_L,5.15245410509839
55b_L,4.354129046554858
V3A_L,4.653886224179906
RSC_L,4.132780721206738
POS2_L,4.334086020129306
V7_L,6.078511580961978
IPS1_L,5.905305638404541
FFC_L,4.6635429195618885
V3B_L,5.703841108927792
LO1_L,5.637446851257455
LO2_L,4.993542401419384
PIT_L,4.888259722237753
MT_L,5.727113682084943
A1_L,4.077801059039075
PSL_L,4.958489820050937
SFL_L,4.600052063361031
PCV_L,4.498844866402106
STV_L,5.084919513734739
7Pm_L,5.289002243351175
7m_L,4.429092310930381
POS1_L,4.769687954237496
23d_L,4.717115581682079
v23ab_L,5.433057018886236
d23ab_L,4.969832598920627
31pv_L,4.821211494934344
5m_L,4.84126938431645
5mv_L,4.710146366175121
23c_L,4.101088364460851
5L_L,4.935380828077356
24dd_L,4.3036979763559255
24dv_L,4.691115452806428
7AL_L,5.184300991849595
SCEF_L,4.278362075667686
6ma_L,4.6945966772533
7Am_L,4.583833642209529
7Pl_L,6.494447362099439
7PC_L,6.157709235558593
LIPv_L,6.490927990914661
VIP_L,6.31891616618922
MIP_L,5.8810872370654925
1_L,4.066256678467366
2_L,4.494841435686194
3a_L,4.109820819496634
6d_L,4.414619851064194
6mp_L,4.448896835156227
6v_L,5.085332036634224
p24pr_L,4.752264020993727
33pr_L,4.874050492261915
a24pr_L,4.656884887980916
p32pr_L,4.772424375366332
a24_L,4.042541277772725
d32_L,4.674753075294194
8BM_L,4.800268897483582
p32_L,4.426143186595792
10r_L,4.828394733824845
47m_L,4.549384236804699
8Av_L,4.203382993363437
8Ad_L,4.270465911357343
9m_L,4.9435314379802335
8BL_L,4.388731067286143
9p_L,4.361803451409477
10d_L,5.035158285110765
8C_L,4.4980522436867645
44_L,4.6435773617083145
45_L,5.355410970643332
47l_L,4.4320736207333695
a47r_L,4.401204898374986
6r_L,3.6912150213881887
IFJa_L,5.259671089875391
IFJp_L,4.741641744557995
IFSp_L,5.609558787605028
IFSa_L,5.185599733544303
p9-46v_L,4.962552547198079
46_L,4.303851735713525
a9-46v_L,4.6764335770613314
9-46d_L,4.401964698286589
9a_L,4.642269900068509
10v_L,4.891783140879192
a10p_L,4.499914893837049
10pp_L,6.09244331764463
11l_L,4.6929047914468365
13l_L,4.502119454820047
OFC_L,3.592810669812063
47s_L,4.165145075340658
LIPd_L,5.883218105704573
6a_L,4.174348270577447
i6-8_L,4.761009121905803
s6-8_L,4.865482377223087
43_L,4.6445707842769135
OP4_L,4.270931280126857
OP1_L,4.018673279502655
OP2-3_L,4.108262504468121
52_L,4.731741234694911
RI_L,4.651430853716561
PFcm_L,4.215843223612511
PoI2_L,3.964553391415264
TA2_L,4.6877332645995615
FOP4_L,3.467810249487977
MI_L,3.5331688462553683
Pir_L,3.6822741358771913
