region,rk_intersubject_cov
AVI_L,3.713050130242797
AAIC_L,3.327492759391196
FOP1_L,4.047155908518257
FOP3_L,4.035614722043885
FOP2_L,3.82191237091025
PFt_L,4.4255361197986645
AIP_L,5.222714622064435
EC_L,4.175406218666541
PreS_L,4.10110800588105
H_L,4.673312541294954
ProS_L,4.822632471854646
PeEc_L,4.801092026842095
STGa_L,4.378994755605638
PBelt_L,4.606836253737745
A5_L,4.71650189556758
PHA1_L,4.968610039791599
PHA3_L,5.312165498388993
STSda_L,4.772286906911207
STSdp_L,5.146491865929801
STSvp_L,4.288314776865777
TGd_L,4.4355456723552855
TE1a_L,4.806525662207712
TE1p_L,4.259887729504886
TE2a_L,5.737088066523519
TF_L,4.893962254051653
TE2p_L,5.461170483021837
PHT_L,4.134885266654344
PH_L,4.311531167864287
TPOJ1_L,5.041791087144497
TPOJ2_L,4.722386327628992
TPOJ3_L,5.722989874108986
DVT_L,4.648334405805187
PGp_L,4.235869363332707
IP2_L,5.046970857906647
IP1_L,5.2669602998765335
IP0_L,5.10350825507385
PFop_L,4.059964509892682
PF_L,3.794556299470073
PFm_L,3.802827837814995
PGi_L,4.055705202977304
PGs_L,4.032641969923086
V6A_L,5.898697379480939
VMV1_L,5.155914935760154
VMV3_L,4.92151430416215
PHA2_L,5.334444281220158
V4t_L,5.445047332540412
FST_L,4.748880166723371
V3CD_L,5.2570926580992365
LO3_L,5.3387041088802025
VMV2_L,5.132857132496263
31pd_L,4.6459018365358125
31a_L,4.5244508482848005
VVC_L,4.817083720070901
25_L,5.535192277604695
s32_L,5.654408664897766
pOFC_L,5.450866163370922
PoI1_L,4.024133350418892
Ig_L,4.356059340844023
FOP5_L,3.704232145759338
p10p_L,5.2913059131626
p47r_L,4.370367987348503
TGv_L,5.811488081676316
MBelt_L,4.318795166792229
LBelt_L,4.9077667377793786
A4_L,4.147202489882322
STSva_L,4.507503797721252
TE1m_L,5.480678599157243
PI_L,4.116474016571354
a32pr_L,4.607466924498273
p24_L,4.4368148225253785
V1_R,3.575507249440567
MST_R,4.565652533246349
V6_R,4.498568408946476
V2_R,3.622809997563349
V3_R,3.483508036036313
V4_R,3.747605799572789
V8_R,4.834184991764968
4_R,3.769863426168377
3b_R,4.0691445213756925
FEF_R,4.419393525931773
PEF_R,5.219720106457345
55b_R,4.713500176297495
V3A_R,3.676725138087155
RSC_R,4.076773873647484
POS2_R,4.0842825150948645
V7_R,4.983654809266385
IPS1_R,4.498611375539417
FFC_R,4.648746627462697
V3B_R,4.197148496978032
LO1_R,4.551003008713206
LO2_R,4.723304815511212
PIT_R,4.523100480965782
MT_R,4.550241639037606
A1_R,4.1081514266171775
PSL_R,3.5468084257212165
SFL_R,4.644706757172392
PCV_R,4.334191215444145
STV_R,4.494748820733887
7Pm_R,4.699900947692033
7m_R,4.133548624081955
POS1_R,4.439127391232913
23d_R,4.199999848817073
v23ab_R,5.018060410529992
d23ab_R,4.947140290195465
31pv_R,4.62055966091537
5m_R,4.567976021105901
5mv_R,4.784582392971946
23c_R,4.244229497999795
5L_R,4.392209143322454
24dd_R,4.138941898652466
24dv_R,4.639875586065602
7AL_R,4.009465647502677
SCEF_R,4.524748664667981
6ma_R,4.457198373767199
7Am_R,4.200834135373378
7Pl_R,4.702285864335051
7PC_R,4.006143924479146
LIPv_R,4.63360154315206
VIP_R,4.571464368087847
MIP_R,4.464377599977265
1_R,3.760186139266767
2_R,3.869716661872936
3a_R,3.64386769767377
6d_R,4.116748605727434
6mp_R,4.328877143812937
6v_R,4.810899831374607
p24pr_R,4.499129404645547
33pr_R,4.482722642439084
a24pr_R,4.600902062017447
p32pr_R,4.595736897149255
a24_R,4.102379147700947
d32_R,4.198097857602063
8BM_R,4.234830556542597
p32_R,4.54455304036808
10r_R,5.005404372479923
47m_R,5.03394586540297
8Av_R,4.427171399194496
8Ad_R,4.765139212630471
9m_R,4.239337189496423
8BL_R,4.523493419949974
9p_R,5.390129180397159
10d_R,5.336541494398096
8C_R,4.705926820129677
44_R,4.846261361075875
45_R,6.8711694662088245
47l_R,5.389044034132703
a47r_R,4.258355403704349
6r_R,4.221360099126
IFJa_R,5.370199834733283
IFJp_R,5.229860659955975
IFSp_R,5.629045825334435
IFSa_R,5.172144104411104
p9-46v_R,5.000082557143743
46_R,4.636147412271292
a9-46v_R,5.532524480605202
9-46d_R,4.913907671506566
9a_R,5.262633933882217
10v_R,4.732028372260615
a10p_R,5.198853651502834
10pp_R,5.71669661938347
11l_R,4.602237097715842
13l_R,4.6719467790650056
OFC_R,3.974747552859006
47s_R,4.67906659091559
LIPd_R,4.487213183499459
6a_R,4.271959431707215
i6-8_R,4.8406276943971305
s6-8_R,4.918271375621528
43_R,4.880970252286028
OP4_R,4.296063568921031
OP1_R,4.06862699909054
OP2-3_R,4.0675989754742
52_R,4.589422836971862
RI_R,4.304565598234462
PFcm_R,3.832499078897188
PoI2_R,4.340920326355962
TA2_R,4.80356330549242
FOP4_R,3.783851404173969
MI_R,3.518033257198612
Pir_R,4.002395696517951
AVI_R,3.5598892903432766
AAIC_R,3.392944691472246
FOP1_R,4.69315427055424
FOP3_R,3.947698413954198
FOP2_R,4.163547098264608
PFt_R,3.65923676122223
AIP_R,3.8689884423921432
EC_R,4.364685271467438
PreS_R,4.151810827288842
H_R,4.56417292880396
ProS_R,5.07660458734224
PeEc_R,4.85558322665296
STGa_R,4.92442231421358
PBelt_R,4.316608527446139
A5_R,4.4024001411537474
PHA1_R,5.279293190549434
PHA3_R,5.765924405022342
STSda_R,4.794341639301081
STSdp_R,4.157594227743252
STSvp_R,4.084569210627975
TGd_R,4.409393882711926
TE1a_R,5.747224825220255
TE1p_R,4.771132357133093
TE2a_R,5.717055110889572
TF_R,4.437856633777125
TE2p_R,5.727636954048504
PHT_R,3.664894926631841
PH_R,4.219812935481141
TPOJ1_R,3.9270163628012353
TPOJ2_R,3.948405062434074
TPOJ3_R,4.20562512799244
DVT_R,4.379437328907548
PGp_R,3.453526070296832
IP2_R,4.168293178252422
IP1_R,4.409883717110064
IP0_R,5.280487453801002
PFop_R,4.126509782028387
PF_R,3.449318752163941
PFm_R,3.213670247118916
PGi_R,3.288867294464296
PGs_R,3.349743739540357
V6A_R,4.933361259628037
VMV1_R,5.522306784669281
VMV3_R,5.615099667010025
PHA2_R,5.802027918561774
V4t_R,4.55862259878676
FST_R,4.157104234322988
V3CD_R,4.010816150201465
LO3_R,4.21571273417924
VMV2_R,5.399809812010877
31pd_R,4.650731309310869
31a_R,4.88486851166058
VVC_R,5.005757984353486
25_R,5.274835951473182
s32_R,5.808911658926401
pOFC_R,4.980452639609298
PoI1_R,3.842273095970747
Ig_R,4.150553036086439
FOP5_R,4.197315482822124
p10p_R,5.151327749967916
p47r_R,4.984775126874585
TGv_R,5.403699937718185
MBelt_R,4.273957168240901
LBelt_R,4.592901497229144
A4_R,4.355052492176072
STSva_R,4.172175412812432
TE1m_R,6.182243064506728
PI_R,5.116960233477894
a32pr_R,4.465577401367648
p24_R,3.712337344477898
