region,mk_intersubject_cov
a47r_R,4.09508589053174
6r_R,4.340388835186821
IFJa_R,5.074173487743578
IFJp_R,5.096105334181455
IFSp_R,5.379835699013451
IFSa_R,4.935585387470539
p9-46v_R,4.93579115878268
46_R,4.663832206830902
a9-46v_R,5.230517422709812
9-46d_R,4.895219312471438
9a_R,5.481205889820089
10v_R,4.357305441535331
a10p_R,5.0619875640595575
10pp_R,5.366960768196117
11l_R,4.3008899541564585
13l_R,4.383470668261907
OFC_R,3.491830457741016
47s_R,4.340192863528715
LIPd_R,4.587887357844352
6a_R,4.556604074531298
i6-8_R,4.908245275399911
s6-8_R,5.170472471745971
43_R,4.737630687948469
OP4_R,4.298767225479008
OP1_R,4.312904847899923
OP2-3_R,4.138168002159059
52_R,4.635447823972096
RI_R,4.385888035102274
PFcm_R,4.012814097397635
PoI2_R,3.9045274720026675
TA2_R,4.461290911922207
FOP4_R,3.8541600592597773
MI_R,3.5351972541567287
Pir_R,3.806041148692362
AVI_R,3.4768105861327814
AAIC_R,3.44997973338201
FOP1_R,4.512661131814132
FOP3_R,3.9589932430154984
FOP2_R,4.289286220774397
PFt_R,3.8645535884300335
AIP_R,4.014666253064526
EC_R,4.274456022776357
PreS_R,4.101446856267981
H_R,4.437338333599946
ProS_R,4.8524979305962415
PeEc_R,4.627624080107922
STGa_R,4.669538206827331
PBelt_R,4.426067032777622
A5_R,4.377790809397968
PHA1_R,5.159348109194328
PHA3_R,5.539476209886051
STSda_R,4.664592238302977
STSdp_R,4.240603628168926
STSvp_R,4.220207519253132
TGd_R,4.316043823865912
TE1a_R,5.588096974542021
TE1p_R,5.031833713623707
TE2a_R,5.505403097429781
TF_R,4.183013481965401
TE2p_R,5.70828927209507
PHT_R,3.941029553378684
PH_R,4.4780871164556135
TPOJ1_R,4.101678693385037
TPOJ2_R,4.11796764930655
TPOJ3_R,4.16943465628201
DVT_R,4.447361923318837
PGp_R,3.642604789304908
IP2_R,4.248573497031343
IP1_R,4.490109910486649
IP0_R,5.297757475984374
PFop_R,4.17843346531128
PF_R,3.665612141471139
PFm_R,3.5229611440397672
PGi_R,3.4626442704036338
PGs_R,3.6229344433428095
V6A_R,4.853289293229053
VMV1_R,5.505221502045207
VMV3_R,5.6573123731717105
PHA2_R,5.6160527788257735
V4t_R,4.59357353485788
FST_R,4.2582594300444
V3CD_R,4.0754142440274785
LO3_R,4.144166169489064
VMV2_R,5.421382458810372
31pd_R,4.872082654640748
31a_R,4.894307562512647
VVC_R,5.0541400323767505
25_R,4.938930856975716
s32_R,5.386691166368811
pOFC_R,4.514006702102069
PoI1_R,3.830132210580012
Ig_R,4.106646746796319
FOP5_R,4.048827274429045
p10p_R,5.068076701599106
p47r_R,4.766738032431734
TGv_R,5.134540632915049
MBelt_R,4.119621482440964
LBelt_R,4.423500679935201
A4_R,4.2835676176606325
STSva_R,4.242974575635465
TE1m_R,6.058904196287785
PI_R,4.528276714243294
a32pr_R,4.5141903270211845
p24_R,3.7991521546649456
