region,md_intersubject_cov
a10p_L,2.841045776408846
10pp_L,3.606818942565091
11l_L,2.616260817691499
13l_L,3.0970206267909997
OFC_L,5.43214658068441
47s_L,2.631727259393405
LIPd_L,3.6479671341619
6a_L,2.7352412222130393
i6-8_L,3.3744760064645343
s6-8_L,3.648227179211541
43_L,2.784705870370053
OP4_L,2.6597459896028437
OP1_L,3.374264765797762
OP2-3_L,3.484696224365581
52_L,3.123285582611688
RI_L,3.445394886868252
PFcm_L,3.270952857559381
PoI2_L,2.6717807842451555
TA2_L,2.8045076995548346
FOP4_L,2.6868908625076475
MI_L,2.864132785179879
Pir_L,2.5467959303925083
AVI_L,2.786681136855176
AAIC_L,2.3800946992647023
FOP1_L,2.946443773441689
FOP3_L,3.878981080431163
FOP2_L,3.212462931983215
PFt_L,2.595271697881741
AIP_L,2.9640728723624115
EC_L,3.865973885461882
PreS_L,3.73860974554199
H_L,2.955247212998468
ProS_L,4.430415359687327
PeEc_L,3.1244441920339963
STGa_L,2.380892278436406
PBelt_L,3.130061325232626
A5_L,2.647582085563307
PHA1_L,3.009305315233613
PHA3_L,2.655281945774004
STSda_L,2.713177264639886
STSdp_L,2.8048608935121355
STSvp_L,2.5624706950306844
TGd_L,2.4499411518366556
TE1a_L,2.5385398310127436
TE1p_L,2.437095809781037
TE2a_L,3.0210578516037487
TF_L,3.068273672727206
TE2p_L,2.9914410272137095
PHT_L,2.356308254729703
PH_L,2.725190861845319
TPOJ1_L,2.877775612604639
TPOJ2_L,3.016486538465193
TPOJ3_L,3.4556694557914436
DVT_L,2.4441325126037627
PGp_L,2.7551110608512475
IP2_L,3.0798306357326886
IP1_L,3.400698692239154
IP0_L,3.1894963855144973
PFop_L,2.8741708338457586
PF_L,2.4341641148682247
PFm_L,2.37961175379561
PGi_L,2.682091278553862
PGs_L,2.479273989167043
V6A_L,4.142759594203142
VMV1_L,4.403583893501175
VMV3_L,3.7175002447767946
PHA2_L,3.097490938217074
V4t_L,3.3096142310220067
FST_L,2.8946486431739094
V3CD_L,3.1921879520980663
LO3_L,3.2120724865740837
VMV2_L,4.158909338013865
31pd_L,2.364442604609903
31a_L,3.2382232952363013
VVC_L,3.092843333828519
25_L,4.491655891014744
s32_L,3.365627307444257
pOFC_L,3.8198643049738816
PoI1_L,2.6695270938377105
Ig_L,3.770909515463525
FOP5_L,2.818354956332949
p10p_L,3.175826932824049
p47r_L,2.821241776999297
TGv_L,3.184582761392396
MBelt_L,2.9329752169852523
LBelt_L,3.4016388482360216
A4_L,2.7183699920722937
STSva_L,2.8493198451470656
TE1m_L,2.9219403548551233
PI_L,2.4767128030489243
a32pr_L,2.7852785618216784
p24_L,3.5156631235792344
V1_R,2.5546692880548063
MST_R,3.3060047961828105
V6_R,3.21342609692235
V2_R,2.471705257461482
V3_R,2.338405168710328
V4_R,2.4486430905018013
V8_R,3.554577952716991
4_R,1.9383624600683669
3b_R,3.0300219089853777
FEF_R,2.792835002677897
PEF_R,3.477357175416982
55b_R,2.878597083817431
V3A_R,2.7062064938518855
RSC_R,3.117762591147357
POS2_R,2.7895167681662705
V7_R,3.3085684332807412
IPS1_R,3.118934446255956
FFC_R,3.23616901847747
V3B_R,3.551344336340679
LO1_R,3.4987590559492197
LO2_R,3.278416350596209
PIT_R,3.078232192822844
MT_R,3.1361795866544133
A1_R,3.6918021863282093
PSL_R,2.7995453986145655
SFL_R,2.7893802242641588
PCV_R,2.7677091683835133
STV_R,2.8524458065940728
7Pm_R,3.6792557778039208
7m_R,2.6676926006190134
POS1_R,2.6039172252232623
23d_R,3.5573069252414906
v23ab_R,3.38870440892258
d23ab_R,2.9362688047460215
31pv_R,2.9060413120777584
5m_R,3.7273153710834013
5mv_R,2.9459978588179694
23c_R,2.642871146478777
5L_R,3.1448378734582625
24dd_R,2.5302653449133117
24dv_R,2.911204050804691
7AL_R,3.5212867520797007
SCEF_R,2.542020843891208
6ma_R,2.582477321142685
7Am_R,3.0303453078816043
7Pl_R,4.1012949848491065
7PC_R,3.63961766705771
LIPv_R,3.7414505739625437
VIP_R,3.857815733460784
MIP_R,3.117040104038474
1_R,3.1181401009036573
2_R,2.9799365329515735
3a_R,3.3955147687035225
6d_R,3.087859804179139
6mp_R,2.5791855379522075
6v_R,3.356338976622228
p24pr_R,3.5650265027171524
33pr_R,4.129183774682184
a24pr_R,3.045951814293241
p32pr_R,3.0203695243255684
a24_R,3.084381891703531
d32_R,2.8671167128895747
8BM_R,2.67524797307183
p32_R,3.477618146426841
10r_R,3.189939075438693
47m_R,3.6896733284467906
8Av_R,2.843291955530424
8Ad_R,3.350127870377824
9m_R,2.9376207848399734
8BL_R,2.982234056474152
9p_R,3.366335078710566
10d_R,3.164003555807811
8C_R,3.0763022383468748
44_R,2.6815447485340553
45_R,3.334015868341171
47l_R,3.1724072310938904
a47r_R,2.991250932193342
6r_R,2.4633505886262292
IFJa_R,3.7398708420755407
IFJp_R,3.775492603404752
IFSp_R,3.568245526809435
IFSa_R,3.5707803657193624
p9-46v_R,3.0748569770944374
46_R,2.670468324564351
a9-46v_R,3.6934624688548086
9-46d_R,2.837708223749763
9a_R,2.948409937572951
10v_R,3.397244717982326
a10p_R,3.359612781597185
10pp_R,3.968769726613449
11l_R,2.6974393325328374
13l_R,3.5785009764337024
OFC_R,4.019152057135611
47s_R,4.005133733152797
LIPd_R,3.920720842558536
6a_R,2.776844129200176
i6-8_R,3.488874549922632
s6-8_R,3.1497386069276776
43_R,2.6288161102694363
OP4_R,2.6956102544639786
OP1_R,3.4112772363346484
OP2-3_R,3.169513001793764
52_R,3.3000241726632615
RI_R,3.235850858333869
PFcm_R,2.9394263421655418
PoI2_R,3.146974204878111
TA2_R,3.218079783280815
FOP4_R,2.7498189235693116
MI_R,2.8743144869115147
Pir_R,3.71303735703514
AVI_R,3.111652879521549
AAIC_R,3.6873562517789567
FOP1_R,3.1364596301490555
FOP3_R,3.0648337508881234
FOP2_R,2.976845985516585
PFt_R,3.286000578748173
AIP_R,3.485186588780921
EC_R,3.664162911240116
PreS_R,3.4300325484451895
H_R,2.7992885784656174
ProS_R,3.487529228306591
PeEc_R,2.8810454717918335
STGa_R,3.386773904804748
PBelt_R,3.0813740654749395
A5_R,3.018417140415688
PHA1_R,2.8741385374934585
PHA3_R,3.8577173623089935
STSda_R,3.089023983018774
STSdp_R,3.101289179087936
STSvp_R,3.2703223854843246
TGd_R,2.5776421455530136
TE1a_R,3.863999260015068
TE1p_R,3.534272165069358
TE2a_R,3.6492900382560465
TF_R,3.197651144570482
TE2p_R,3.8815889986746703
PHT_R,2.938710157141353
PH_R,3.1760662750942643
TPOJ1_R,2.545886445989231
TPOJ2_R,3.009499705881781
TPOJ3_R,2.8588927307022507
DVT_R,3.07918906337908
PGp_R,2.459824519429173
IP2_R,3.5996844324842945
IP1_R,3.369827141713814
IP0_R,3.657546492610849
PFop_R,3.0732906014265695
PF_R,2.4723386035779336
PFm_R,2.4036188706391637
PGi_R,2.280532508387271
PGs_R,2.53043867500609
V6A_R,3.6727969437020094
VMV1_R,3.073578039165393
VMV3_R,4.281030368109494
PHA2_R,3.365414870786455
V4t_R,3.291429000615613
FST_R,3.232682968535791
V3CD_R,2.8726977204395436
LO3_R,3.196860345230575
VMV2_R,4.158529761076248
31pd_R,3.064293231384134
31a_R,2.9357675845085742
VVC_R,3.383230897582221
25_R,3.790528898537101
s32_R,3.8734982109491534
pOFC_R,3.5637725802278504
PoI1_R,2.834697160267075
Ig_R,2.7734260393632657
FOP5_R,3.121890406697841
p10p_R,3.0618793388928585
p47r_R,3.2120885920256983
TGv_R,2.968090396569724
MBelt_R,2.93389054346615
LBelt_R,3.439717726526019
A4_R,3.1673142924920574
STSva_R,3.8030216205792153
TE1m_R,4.136484896818374
PI_R,3.3265826166339476
a32pr_R,2.784355379824271
p24_R,2.890349795275838
