region,md_intersubject_cov
V1_L,2.4945221586427353
MST_L,3.3451944366252957
V6_L,3.4805103728627005
V2_L,2.4049536063145345
V3_L,2.249728630254161
V4_L,2.2717198112183556
V8_L,2.812982456461216
4_L,2.080723189706392
3b_L,2.6966773821294097
FEF_L,2.668829001234892
PEF_L,3.1830581498407624
55b_L,2.4948768887081494
V3A_L,2.908253090380811
RSC_L,3.1133518694885614
POS2_L,2.518820590788343
V7_L,4.72269583027735
IPS1_L,4.1348474808275535
FFC_L,3.1418649324681787
V3B_L,3.5548001745104503
LO1_L,3.1085437018935926
LO2_L,3.1098983936385403
PIT_L,2.8963210358297604
MT_L,3.5183319556456607
A1_L,3.602133297095561
PSL_L,3.109654512057214
SFL_L,3.1251662538160536
PCV_L,2.644533683836865
STV_L,3.0874732081893437
7Pm_L,3.3956054009872907
7m_L,2.3065247785158793
POS1_L,2.6941814506924597
23d_L,3.718539184225971
v23ab_L,2.882809349682074
d23ab_L,2.7115454393350005
31pv_L,2.7805113726478603
5m_L,3.216813195515507
5mv_L,2.6441411964007506
23c_L,3.2725792609380697
5L_L,3.084301336756697
24dd_L,2.2643582698554177
24dv_L,3.056068357341387
7AL_L,3.4290292285650303
SCEF_L,2.2916429710159787
6ma_L,2.8989636239586307
7Am_L,2.9307843492973884
7Pl_L,3.767889052130485
7PC_L,3.5838651520903877
LIPv_L,3.713929644354493
VIP_L,3.5814039555170165
MIP_L,3.8072555117127873
1_L,2.6636124190707116
2_L,2.833393058270843
3a_L,3.01594288858317
6d_L,2.9233852302490546
6mp_L,2.656743695553911
6v_L,2.990958999658796
p24pr_L,3.4792169170015983
33pr_L,4.432901916606392
a24pr_L,3.4659584047018814
p32pr_L,2.7311073407755035
a24_L,2.6421708059013516
d32_L,2.6862665746254297
8BM_L,2.4072261234791856
p32_L,2.386039101988638
10r_L,2.728512233058652
47m_L,2.9198594652762178
8Av_L,2.6394212442632146
8Ad_L,2.7263655471833173
9m_L,2.7509190043782996
8BL_L,3.1184592475582735
9p_L,3.0339968416475265
10d_L,3.4474620898280315
8C_L,2.3767694222944233
44_L,2.591245654595858
45_L,2.8946548956176743
47l_L,2.524465708814519
a47r_L,2.168907250096645
6r_L,2.4241592239383345
IFJa_L,3.067519235199031
IFJp_L,3.1278756809249346
IFSp_L,3.0623006482640096
IFSa_L,2.9248674608104444
p9-46v_L,2.575035374357753
46_L,2.556766921944865
a9-46v_L,2.8426033935897577
9-46d_L,2.629511602194529
9a_L,3.2156554932177355
10v_L,3.339121054539839
