region,odi_intersubject_cov
V1_L,3.612198820531434
MST_L,6.02911071673872
V6_L,5.486457425645739
V2_L,3.932478725002078
V3_L,3.847499236538973
V4_L,4.036233781585112
V8_L,5.906209684806654
4_L,4.191131879392651
3b_L,4.084432402247936
FEF_L,6.146377733163333
PEF_L,9.585636839374242
55b_L,7.748740992646849
V3A_L,5.009709239631584
RSC_L,6.786982046994989
POS2_L,4.977121108251232
V7_L,7.042021814433659
IPS1_L,5.848908896883741
FFC_L,5.524637363373554
V3B_L,5.487783406904664
LO1_L,6.298205717904104
LO2_L,6.105940319671556
PIT_L,6.0439001207088445
MT_L,6.479803143640975
A1_L,4.505889876214301
PSL_L,6.091150638994433
SFL_L,6.463643679047837
PCV_L,6.088665148931831
STV_L,6.786113343609455
7Pm_L,7.183582690562584
7m_L,5.7716149796625125
POS1_L,5.303877742687488
23d_L,5.996002705160912
v23ab_L,6.599398578142075
d23ab_L,5.829270343511757
31pv_L,6.405538697211144
5m_L,5.86898415356513
5mv_L,5.527025012814565
23c_L,5.590878152204446
5L_L,5.179640687023039
24dd_L,5.288632684413168
24dv_L,6.486741808076357
7AL_L,5.488839088934016
SCEF_L,5.799035766630234
6ma_L,5.718481715257994
7Am_L,5.769925409291936
7Pl_L,6.998907210607866
7PC_L,5.591141593210438
LIPv_L,5.816313521834717
VIP_L,6.539043302585738
MIP_L,5.835307894155352
1_L,4.116175610265929
2_L,4.399304046272118
3a_L,4.013454960729557
6d_L,6.339086809975996
6mp_L,5.402840180563813
6v_L,7.181402883706947
p24pr_L,6.735733272361413
33pr_L,8.833069685962878
a24pr_L,8.002978365034593
p32pr_L,6.40756255162566
a24_L,6.51942012333934
d32_L,6.732915228464598
8BM_L,6.238268780269837
p32_L,6.824755360623014
10r_L,6.39365342248885
47m_L,7.861614852481908
8Av_L,6.959146253519231
8Ad_L,6.503008955103208
9m_L,5.737941887383618
8BL_L,6.83351377658459
9p_L,7.126331185746669
10d_L,6.649073653080414
8C_L,6.441990015628694
44_L,6.314579277271755
45_L,6.087502910926166
47l_L,7.006178625085702
a47r_L,5.855535730039218
6r_L,6.208441741596162
IFJa_L,7.037518273784124
IFJp_L,6.934276529972203
IFSp_L,7.326311055758842
IFSa_L,6.331005561909597
p9-46v_L,7.178354138669945
46_L,6.608166970047567
a9-46v_L,6.489694438668696
9-46d_L,5.832565486396657
9a_L,6.555604462486227
10v_L,5.520251869407143
a10p_L,6.380467453647517
10pp_L,7.081239799147933
11l_L,6.214552591929111
13l_L,5.752841018973894
OFC_L,3.602730405679115
47s_L,7.226917596613459
LIPd_L,5.827394075777776
6a_L,4.81564848044988
i6-8_L,6.979056592813528
s6-8_L,8.285736758098059
43_L,6.559143054981104
OP4_L,4.992543273458795
OP1_L,5.735607323849236
OP2-3_L,5.146409592370644
52_L,6.735111148516834
RI_L,5.4442977424580725
PFcm_L,5.652617077076827
PoI2_L,6.638931851786587
TA2_L,6.923481501508934
FOP4_L,5.287013355899541
MI_L,6.150717505208079
Pir_L,6.371042505357651
AVI_L,6.654029968807048
AAIC_L,6.585747737958153
FOP1_L,7.25889601350308
FOP3_L,5.927579332386916
FOP2_L,5.914874891364848
PFt_L,5.980709645124413
AIP_L,4.870377317529727
EC_L,8.127473872207263
PreS_L,7.309996317061867
H_L,5.298956182524338
ProS_L,6.628744986488927
PeEc_L,5.889860441258148
STGa_L,7.183124736165043
PBelt_L,5.296417432650621
A5_L,5.714830037689449
PHA1_L,6.567922453283312
PHA3_L,5.88832206151131
STSda_L,6.840709434236281
STSdp_L,6.415811206463607
STSvp_L,6.214246209266017
TGd_L,5.527094092411383
TE1a_L,6.505948918310269
TE1p_L,5.392625512324791
TE2a_L,5.512039764564006
TF_L,5.079528927866115
TE2p_L,5.875502651742573
PHT_L,5.185818652723376
PH_L,5.049408297763038
TPOJ1_L,6.0090280576859705
TPOJ2_L,6.217711879348799
TPOJ3_L,6.494477473211107
DVT_L,5.240309276321941
PGp_L,4.979417549527296
IP2_L,5.7265795806670665
IP1_L,5.416030861056587
IP0_L,5.651867807488562
PFop_L,6.271338042756754
PF_L,4.622697421051409
PFm_L,4.556914473806195
PGi_L,4.699465827002372
PGs_L,4.810611608521153
