region,odi_intersubject_cov
V6A_L,7.505934950855182
VMV1_L,6.492559489053336
VMV3_L,6.814896078206948
PHA2_L,7.15699592231302
V4t_L,6.830044729955767
FST_L,5.903202464712923
V3CD_L,6.221454053930052
LO3_L,6.402191110903602
VMV2_L,6.629747596701521
31pd_L,6.404173961490188
31a_L,7.535919751409319
VVC_L,5.552155185967923
25_L,7.473019025520573
s32_L,8.304494894457441
pOFC_L,8.538627594378193
PoI1_L,7.042035751294164
Ig_L,5.338983931753645
FOP5_L,5.94118712613156
p10p_L,6.706931812152151
p47r_L,6.1674680609785
TGv_L,7.121320575081754
MBelt_L,4.949237610600834
LBelt_L,4.851007730624072
A4_L,6.617429601379535
STSva_L,6.056428330929941
TE1m_L,7.133168128101776
PI_L,6.016695982009275
a32pr_L,6.880903750887874
p24_L,8.818838258047395
V1_R,3.55204885794026
MST_R,6.140175847051635
V6_R,5.360188609790198
V2_R,3.91328885119355
V3_R,3.918186696347995
V4_R,4.399171662542714
V8_R,5.8466099885825855
4_R,4.415592962901733
3b_R,4.209475539735514
FEF_R,5.955538307548163
PEF_R,7.520937251149783
55b_R,7.197533495910706
V3A_R,4.982623964689595
RSC_R,6.119881555119521
POS2_R,4.724081955015431
V7_R,7.464641582023818
IPS1_R,6.001989767131654
FFC_R,5.394896065733083
V3B_R,5.533510361805346
LO1_R,7.009344671228654
LO2_R,7.0038945508556685
PIT_R,6.54264221342445
MT_R,6.480183664139962
A1_R,4.905369566449895
PSL_R,5.852777911777438
SFL_R,7.009759951405457
PCV_R,5.65922529645841
STV_R,5.990504668789837
7Pm_R,6.875330215197047
7m_R,5.806256103386896
POS1_R,5.422172001980183
23d_R,5.308589055583026
v23ab_R,6.233969555927399
d23ab_R,5.937138009741771
31pv_R,6.121077869078693
5m_R,5.265129057900396
5mv_R,4.940110306567621
23c_R,4.88650215464835
5L_R,5.646135325243783
24dd_R,4.70824142627376
24dv_R,5.605761353030153
7AL_R,6.276481929377524
SCEF_R,5.7052121391814055
6ma_R,5.589941634753515
7Am_R,5.789346385456942
7Pl_R,7.492991121215479
7PC_R,5.495646183708302
LIPv_R,5.928391001980877
VIP_R,7.187431195474294
MIP_R,6.198042819923456
1_R,3.995907337946318
2_R,4.279240787535116
3a_R,3.98366830180338
6d_R,6.235568397792674
6mp_R,5.520140840978282
6v_R,6.57635821308618
p24pr_R,6.901062800088415
33pr_R,7.1963107019775
a24pr_R,9.21460035159006
p32pr_R,5.941037782534622
a24_R,6.821479957616389
d32_R,6.45632240432218
8BM_R,6.166722711707139
p32_R,6.718002748491712
10r_R,6.086180012622241
47m_R,6.7822293669741
8Av_R,6.353122791424481
8Ad_R,6.333411053395974
9m_R,5.925295004195943
8BL_R,7.0052981899310405
9p_R,7.162760160011443
10d_R,6.5575846896127405
8C_R,6.076069953584623
44_R,6.303019027757976
45_R,6.341481785512787
47l_R,6.419045439153832
a47r_R,4.977361666816385
6r_R,5.928678545432553
IFJa_R,6.850259048866153
IFJp_R,7.23476215487325
IFSp_R,6.433816902878177
IFSa_R,6.243286221566153
p9-46v_R,5.895891792467179
46_R,5.761782153610127
a9-46v_R,6.742269870298326
9-46d_R,5.484333851311632
9a_R,6.785238010264641
10v_R,5.250710305863287
a10p_R,6.243867767851481
10pp_R,6.344108285517872
11l_R,5.716439320772516
13l_R,5.957007670476268
OFC_R,3.4471793883776503
47s_R,7.252302458721036
LIPd_R,5.953466694479528
6a_R,5.291449338023494
i6-8_R,6.963547151120814
s6-8_R,7.295011322907158
43_R,6.660578738129401
OP4_R,5.371019761670782
OP1_R,5.885429909230462
OP2-3_R,5.420929989620801
52_R,6.937896793664809
RI_R,5.12531080779571
PFcm_R,5.260240687667773
PoI2_R,6.62883961698017
TA2_R,6.128027185330019
FOP4_R,5.3300435763119856
MI_R,6.374836422988454
Pir_R,7.402334320849907
AVI_R,6.60019095016931
AAIC_R,6.7919594335489855
FOP1_R,6.44719537802469
FOP3_R,6.089549059417338
FOP2_R,5.9383997161324364
PFt_R,6.221894054253578
AIP_R,4.985466288892438
EC_R,6.873069483080792
PreS_R,6.5036791684672925
H_R,5.398243073893303
ProS_R,6.640829190017988
PeEc_R,5.418514407890213
STGa_R,8.192655477361287
PBelt_R,5.8359701396439405
A5_R,5.334143766412742
PHA1_R,6.426782647913158
PHA3_R,6.682893789848146
STSda_R,6.634144151612798
STSdp_R,5.163813437140981
STSvp_R,6.369791142069227
TGd_R,5.078531737572059
TE1a_R,6.37875809475603
TE1p_R,5.904912345299475
TE2a_R,5.406576171850452
TF_R,5.141685891029825
TE2p_R,5.961306423919047
PHT_R,6.064659985947883
PH_R,5.436492282108136
TPOJ1_R,4.69460381443601
TPOJ2_R,6.116577526576757
TPOJ3_R,5.926520390965681
DVT_R,4.827880226868936
PGp_R,5.077309459485314
IP2_R,5.449570842569384
IP1_R,5.199263753518527
IP0_R,5.415126828146924
PFop_R,6.020599647564288
PF_R,4.69265413974312
PFm_R,4.54449321020393
PGi_R,4.343759833066967
PGs_R,4.924471519437914
V6A_R,7.371572475708491
VMV1_R,6.130078813493617
VMV3_R,6.866345845345838
PHA2_R,7.21488055459441
V4t_R,7.218226072074723
FST_R,6.368061518003697
V3CD_R,5.900515114712374
LO3_R,6.400628449024072
VMV2_R,6.547279170804497
31pd_R,6.60653873932149
31a_R,7.623538029335698
VVC_R,5.492839077509771
25_R,7.353566125252768
s32_R,9.011026626974733
pOFC_R,7.979879489122969
PoI1_R,7.158459153491774
Ig_R,5.332516245217396
FOP5_R,6.008046886139505
p10p_R,5.724551222959311
p47r_R,6.364069959017252
TGv_R,6.494712458600101
MBelt_R,4.568533076457744
LBelt_R,5.454192876735207
A4_R,5.55899145988927
STSva_R,6.654865335609979
TE1m_R,7.117314835670753
PI_R,6.608952102995824
a32pr_R,6.239592945682799
p24_R,8.675750060358993
