region,msd_intersubject_cov
V1_L,2.511481738890191
MST_L,3.6303168068429064
V6_L,3.376354741431388
V2_L,2.46080752548536
V3_L,2.294361877989924
V4_L,2.3778182054174346
V8_L,3.335537921515195
4_L,2.2340697925560966
3b_L,2.886204979311398
FEF_L,3.08420939903451
PEF_L,3.9189455626915732
55b_L,2.9955614842667964
V3A_L,2.978896296357218
RSC_L,3.4505251182877212
POS2_L,2.7721995055528437
V7_L,4.552116019158225
IPS1_L,4.177615499278412
FFC_L,3.7373557253326486
V3B_L,3.5865998155846657
LO1_L,3.255011111831671
LO2_L,3.2692164242429196
PIT_L,3.143155930491505
MT_L,3.6686363266653124
A1_L,4.3901393903010915
PSL_L,3.5636547592650234
SFL_L,3.37224510344509
PCV_L,2.936822168955981
STV_L,3.2478996551209094
7Pm_L,3.704305194940282
7m_L,2.566088482416058
POS1_L,3.129337742537605
23d_L,3.9972973375329763
v23ab_L,3.1544543585475613
d23ab_L,2.971620330378823
31pv_L,3.079904206395032
5m_L,3.2565270908551076
5mv_L,2.8600527540452307
23c_L,3.74892210207111
5L_L,3.388723442001966
24dd_L,2.5783745342562616
24dv_L,3.426308137677789
7AL_L,3.662202131097181
SCEF_L,2.4693949244418647
6ma_L,3.3819208147411906
7Am_L,3.2519951167683643
7Pl_L,4.061957128347081
7PC_L,3.966704032537708
LIPv_L,3.958909534528169
VIP_L,3.700267594152968
MIP_L,4.1162914182122385
1_L,2.892810456994911
2_L,3.0480223134112245
3a_L,3.1083176698184762
6d_L,3.194224622977075
6mp_L,2.9910576220674523
6v_L,3.527618957186874
p24pr_L,3.8970284525854173
33pr_L,4.6018606180366755
a24pr_L,3.9157977867809106
p32pr_L,2.9402084667919177
a24_L,2.9730595199578334
d32_L,2.9610071965267517
8BM_L,2.625106584249843
p32_L,2.6650207501581225
10r_L,3.0399691720124378
47m_L,3.267307135304418
8Av_L,3.318844276522891
8Ad_L,3.394746729782113
9m_L,2.911588934971115
8BL_L,3.5558929564878543
9p_L,3.7956831353136717
10d_L,3.6847827668455375
8C_L,3.057523383694509
44_L,3.130912624683082
45_L,3.2347197747106704
47l_L,3.0742986124134895
a47r_L,2.480603163880348
6r_L,3.125553633464527
IFJa_L,3.7078441166729905
IFJp_L,3.7777360230469896
IFSp_L,3.5720326172984054
IFSa_L,3.488128266267691
p9-46v_L,3.1090578508533735
46_L,3.265918091786435
a9-46v_L,3.527320885477835
9-46d_L,3.2009466399704305
9a_L,4.00132058291676
10v_L,3.3833578387083554
a10p_L,3.294089199876813
10pp_L,3.631688293768557
11l_L,2.7715470922535177
13l_L,2.9847370708554
OFC_L,5.153405385240425
47s_L,3.0454375821024096
LIPd_L,4.110978472281035
6a_L,3.13536625686368
i6-8_L,3.9602662812124274
s6-8_L,4.504091266263595
43_L,3.2332646498175697
OP4_L,3.0805190184236104
OP1_L,4.016630529504408
OP2-3_L,4.103291012915207
52_L,3.5936655794095542
RI_L,3.8573268816658066
PFcm_L,3.848272480589886
PoI2_L,3.391873567785977
TA2_L,3.28303521413582
FOP4_L,3.2764254083630617
MI_L,3.831800027227271
Pir_L,2.6793038405709826
AVI_L,3.705019106824385
AAIC_L,2.78035541139223
FOP1_L,3.7373282947968303
FOP3_L,4.584041173827808
FOP2_L,3.9222916041977967
PFt_L,3.0746262718783277
AIP_L,3.4959803504852593
EC_L,3.9157675910035916
PreS_L,3.5744964322051502
H_L,3.0963936770858194
ProS_L,4.929686480403938
PeEc_L,3.3348230452799195
STGa_L,3.1309447474847576
PBelt_L,3.44132389745193
A5_L,3.2103428167178185
PHA1_L,3.582401708520184
PHA3_L,3.0886576151017096
STSda_L,3.383013742501273
STSdp_L,3.2713028430584394
STSvp_L,2.9646670900757157
TGd_L,2.738571216566763
TE1a_L,3.0854798783111668
TE1p_L,2.7705402124148923
TE2a_L,3.206902853534383
TF_L,3.394388318669528
TE2p_L,3.505080544456276
PHT_L,2.781603533155663
PH_L,3.3568811591539403
TPOJ1_L,3.247992159104917
TPOJ2_L,3.2708445964349164
TPOJ3_L,3.7363060430330908
DVT_L,2.527925634865171
PGp_L,3.149097046392412
IP2_L,3.6027983745018206
IP1_L,3.808930336663997
IP0_L,3.6068508478341323
PFop_L,3.4436637822242657
PF_L,2.8995849438057038
PFm_L,2.685685018830618
PGi_L,3.134794209427471
PGs_L,2.7772406129885367
V6A_L,4.041641562441587
VMV1_L,5.249698358657736
VMV3_L,4.450589854773594
PHA2_L,3.74827922736402
V4t_L,3.5109986230869925
FST_L,3.5114167926044644
V3CD_L,3.491182836736178
LO3_L,3.5481365037128296
VMV2_L,4.948190188114535
31pd_L,2.651341726918695
31a_L,3.572749097642985
VVC_L,3.8085151605070653
25_L,4.4298421060535
s32_L,3.763443306856979
pOFC_L,3.6543384527148524
PoI1_L,3.494445068511176
Ig_L,4.625974610414648
FOP5_L,3.3256846667711137
p10p_L,3.8690510096662556
p47r_L,3.4858830644349115
TGv_L,3.4280491299415323
MBelt_L,3.129912580059558
LBelt_L,3.771425053307649
A4_L,3.334532040969619
STSva_L,3.423763469575324
TE1m_L,3.4465892152978594
PI_L,3.1208836953870067
a32pr_L,3.1024026180235054
p24_L,3.9935156106254164
V1_R,2.5863966004728716
MST_R,3.6569997461275996
V6_R,3.245661791233804
V2_R,2.6097765918235867
V3_R,2.440546405270861
V4_R,2.5023812826056693
V8_R,3.993721706070478
4_R,2.185608931085748
3b_R,3.3325136663991497
FEF_R,3.098121322011405
PEF_R,3.8528764420193706
55b_R,3.243437921324298
V3A_R,2.7763759420061445
RSC_R,3.5426256123812783
POS2_R,3.0702777046586682
V7_R,3.2814802501012403
IPS1_R,3.469457539309041
FFC_R,3.4680952289144353
V3B_R,3.96244668742484
LO1_R,3.8510271850148263
LO2_R,3.529756613215097
PIT_R,3.2261032560829106
MT_R,3.453194249071961
A1_R,4.038605070101027
PSL_R,3.121539467253127
SFL_R,3.393234774240813
PCV_R,3.1190071580206347
STV_R,3.297063160564705
7Pm_R,3.941108252116533
7m_R,3.1572621099904503
POS1_R,3.071020717583848
23d_R,4.463544574759345
v23ab_R,3.9446990457453377
d23ab_R,3.6802998344466613
31pv_R,3.5158578296359244
5m_R,3.550817958213618
5mv_R,3.4194079534833564
23c_R,2.9948632212456383
5L_R,3.24898847767673
24dd_R,3.066129157406806
24dv_R,3.565153132674538
7AL_R,3.333777530402194
SCEF_R,3.223694926876073
6ma_R,2.834121216228214
7Am_R,3.232205392518865
7Pl_R,4.077352126141764
7PC_R,3.541840356205977
LIPv_R,3.6333598604819097
