region,msd_intersubject_cov
VIP_R,3.6846550446453485
MIP_R,3.248961033459205
1_R,2.6169868653350767
2_R,3.0304146790784867
3a_R,3.2054659992220165
6d_R,3.160587232026889
6mp_R,2.900971523605075
6v_R,3.72977732505281
p24pr_R,4.3724757426556895
33pr_R,4.684489722457264
a24pr_R,3.70158611175052
p32pr_R,3.720414355918441
a24_R,3.684344388041114
d32_R,3.578284990297647
8BM_R,3.6530041637641224
p32_R,4.3123289427819405
10r_R,3.9662540397123207
47m_R,4.12808972574125
8Av_R,3.228165079491911
8Ad_R,3.7727844796389944
9m_R,3.768022491345222
8BL_R,3.3559966793456555
9p_R,3.8170791653257576
10d_R,3.779798505841746
8C_R,3.437855338839825
44_R,3.122769300966274
45_R,3.771764787290649
47l_R,3.658999619635247
a47r_R,3.377231672130865
6r_R,2.9169955534535377
IFJa_R,3.8693524810567417
IFJp_R,4.211193274706699
IFSp_R,3.5599824328106497
IFSa_R,3.895297175008224
p9-46v_R,3.268681035022789
46_R,3.049048266858392
a9-46v_R,3.89939598614505
9-46d_R,3.2147953722998355
9a_R,3.2804089160621004
10v_R,3.743639157889618
a10p_R,3.523645475979957
10pp_R,3.762489947628453
11l_R,3.0846238155158625
13l_R,3.71910290675192
OFC_R,4.199751348954894
47s_R,4.537534834762959
LIPd_R,3.9941028640760203
6a_R,3.09557939390883
i6-8_R,3.8561583764700904
s6-8_R,3.522333023371845
43_R,3.0396859656334847
OP4_R,3.1455864510859093
OP1_R,3.9334100959632265
OP2-3_R,3.7665650912542605
52_R,3.8920956843100214
RI_R,3.6666263760898765
PFcm_R,3.305115942248191
PoI2_R,3.4780292902107344
TA2_R,4.011064467732001
FOP4_R,3.3927096747617633
MI_R,3.0986525795225637
Pir_R,3.874782303445971
AVI_R,3.5963353403929115
AAIC_R,4.10161148042764
FOP1_R,3.7538932463415544
FOP3_R,3.5851970632169863
FOP2_R,3.6294598638154154
PFt_R,3.4614325279951488
AIP_R,3.5886104405471304
EC_R,3.9223154286341986
PreS_R,3.408981990711392
H_R,2.905476106671934
ProS_R,3.9710419989206573
PeEc_R,3.2176974689186886
STGa_R,3.7725101366400984
PBelt_R,3.6205167923838886
A5_R,3.1717395970710145
PHA1_R,3.1613605106994314
PHA3_R,4.405454888350273
STSda_R,3.3749448997651816
STSdp_R,3.366377504635265
STSvp_R,3.6464786252293497
TGd_R,3.1388628906791087
TE1a_R,4.063669255274051
TE1p_R,3.7137057588860496
TE2a_R,3.770877599567029
TF_R,3.4145978492162317
TE2p_R,4.113916040660465
PHT_R,3.262554687919118
PH_R,3.518296850898511
TPOJ1_R,2.856620814137649
TPOJ2_R,3.430928733949966
TPOJ3_R,3.2312547855623617
DVT_R,3.3374753847004586
PGp_R,2.759023026536885
IP2_R,3.847845842496564
IP1_R,3.5934539715045286
IP0_R,4.02077445227103
PFop_R,3.404472823952895
PF_R,2.781752682944144
PFm_R,2.715033639531759
PGi_R,2.5721253418846297
PGs_R,2.8556099046096075
V6A_R,3.703126153522142
VMV1_R,3.5342796429046928
VMV3_R,4.8632435527398075
PHA2_R,3.706646597299917
V4t_R,3.7147215858961795
FST_R,3.512798542229999
V3CD_R,3.1943884513818923
LO3_R,3.6531137560961677
VMV2_R,4.761201151196575
31pd_R,3.5068752524238764
31a_R,3.5230942861808807
VVC_R,3.7176349316589095
25_R,3.784310131011684
s32_R,4.283804201715638
pOFC_R,3.6820998467030526
PoI1_R,3.2491384461985295
Ig_R,3.1915924443825543
FOP5_R,3.7289804061040384
p10p_R,3.284245241325963
p47r_R,3.6671969520838545
TGv_R,3.2971760545862123
MBelt_R,3.4109046255375994
LBelt_R,3.911757515796955
A4_R,3.3325096113398835
STSva_R,4.246764361865118
TE1m_R,4.15959610796085
PI_R,4.37465825737776
a32pr_R,3.5461097525981295
p24_R,3.5342462083894763
