region,dki-ad_intersubject_cov
FST_R,2.150131646458043
V3CD_R,1.9294275430515253
LO3_R,1.9784497817452864
VMV2_R,2.8722263290023595
31pd_R,2.5028163386340414
31a_R,2.501462540704299
VVC_R,2.6006988477946216
25_R,2.72844250780125
s32_R,2.4228677326249217
pOFC_R,3.2126444630477304
PoI1_R,2.172416064521886
Ig_R,1.9928391241155556
FOP5_R,1.9784675255200352
p10p_R,2.015713837177306
p47r_R,2.0758597799872405
TGv_R,2.4409216660736344
MBelt_R,2.1483492771948995
LBelt_R,2.234294654363989
A4_R,1.981120843756494
STSva_R,2.5053649144520764
TE1m_R,2.749105204149217
PI_R,2.507630949208365
a32pr_R,2.157602203852317
p24_R,2.146084142397562
