region,rd_intersubject_cov
V1_L,2.724347406296955
MST_L,3.705190540815971
V6_L,3.965667973369865
V2_L,2.6156238629313835
V3_L,2.415767693319511
V4_L,2.435391350306307
V8_L,3.1835394786463085
4_L,2.448864205706753
3b_L,2.9533993225087896
FEF_L,3.030662088293637
PEF_L,3.6201478402656333
55b_L,2.8106348644836445
V3A_L,3.2342484769086584
RSC_L,3.463258549739001
POS2_L,2.6706499316373318
V7_L,5.486440329256054
IPS1_L,4.416567409590286
FFC_L,3.5966123674238064
V3B_L,3.790301136930273
LO1_L,3.4654337780532125
LO2_L,3.517742438595077
PIT_L,3.246666712658049
MT_L,4.000526364249933
A1_L,3.9791480591227097
PSL_L,3.472114584579594
SFL_L,3.518519614883765
PCV_L,3.0428411018075248
STV_L,3.5512600393416327
7Pm_L,3.7278852899623565
7m_L,2.6304890056145007
POS1_L,2.9626644250390672
23d_L,4.161007136746314
v23ab_L,3.2132206109350734
d23ab_L,3.116085448476736
31pv_L,3.1557854873393096
5m_L,3.6068369526954034
5mv_L,3.0626058417655844
23c_L,3.593508468604006
5L_L,3.340090186261181
24dd_L,2.536731250689903
24dv_L,3.4537329035078383
7AL_L,3.5893708464932175
SCEF_L,2.5954122460831326
6ma_L,3.031951717160342
7Am_L,3.1390411929288633
7Pl_L,4.001082678685525
7PC_L,3.890126044955431
LIPv_L,4.044858497022034
VIP_L,3.8924154358673633
MIP_L,4.261206402876983
1_L,2.9678255699896128
2_L,3.037617757862198
3a_L,3.232821677248019
6d_L,3.3697277216467385
6mp_L,2.9663653966591594
6v_L,3.347678559838351
p24pr_L,3.876008642597056
33pr_L,5.161826017141323
a24pr_L,3.986024930658108
p32pr_L,3.1360476856996575
a24_L,2.9049224002142466
d32_L,2.9985941348014697
8BM_L,2.7094048150013865
p32_L,2.6246115538669184
10r_L,2.9817688922279197
47m_L,3.328718590552393
8Av_L,2.8006324975139734
8Ad_L,2.7456230867958413
9m_L,2.981891026996788
8BL_L,3.4737117527197867
9p_L,3.1713717893854723
10d_L,3.8364275910789463
8C_L,2.479994656380947
44_L,2.8340142389611063
45_L,3.296178344007339
47l_L,2.8934479565974365
a47r_L,2.463101143761113
6r_L,2.6041750265403065
IFJa_L,3.4037543660215266
IFJp_L,3.4355764469497183
IFSp_L,3.3967194991016094
IFSa_L,3.1551137480428553
p9-46v_L,2.854098860710157
46_L,2.6530694926197054
a9-46v_L,2.939511938620836
9-46d_L,2.7064025537156278
9a_L,3.3787785404759694
10v_L,3.6847248912007364
a10p_L,3.06291022043427
10pp_L,3.844280515842934
11l_L,2.823555471261514
13l_L,3.241691743409319
OFC_L,5.973635593658492
47s_L,3.0755483074844383
LIPd_L,3.88227446462225
6a_L,2.7335870552306827
i6-8_L,3.718881343581277
s6-8_L,4.093178113993779
43_L,3.1765999349843046
OP4_L,2.9410337824807127
OP1_L,3.5306266023423487
OP2-3_L,3.5740250746509306
52_L,3.439923065639726
RI_L,3.806902274798316
PFcm_L,3.5159511318358407
PoI2_L,2.9996932690765323
TA2_L,3.2259658060709526
FOP4_L,2.905607086648003
MI_L,3.208228194811904
Pir_L,3.4396319866715395
AVI_L,3.1346456329614503
AAIC_L,2.982895950261922
FOP1_L,3.2851852188562263
FOP3_L,4.213755248533624
FOP2_L,3.4095806287156636
PFt_L,2.844554067648325
AIP_L,3.1844525079855095
EC_L,4.418456614587827
PreS_L,4.548830996668562
H_L,3.1955462206916496
ProS_L,4.975643198475178
PeEc_L,3.4507734731948116
STGa_L,2.7173635640203395
PBelt_L,3.3027457349612
A5_L,2.932368143287373
PHA1_L,3.3344312427005467
PHA3_L,2.9530167576857798
STSda_L,2.8968855976559946
STSdp_L,3.0750678833164655
STSvp_L,2.8037258285027207
TGd_L,2.710080129937072
TE1a_L,2.755644813983405
TE1p_L,2.684639776480066
TE2a_L,3.3732368617115505
TF_L,3.412132069814854
TE2p_L,3.3684520321615756
PHT_L,2.6288700144939776
PH_L,3.003133575307675
TPOJ1_L,3.2223016915156166
TPOJ2_L,3.3025726404966336
TPOJ3_L,3.6940698574873467
DVT_L,2.848645050027822
PGp_L,2.922320494939462
IP2_L,3.4940214967882945
IP1_L,3.6536697224658576
IP0_L,3.4823383695297307
PFop_L,3.10687958136602
PF_L,2.5950680292966513
PFm_L,2.555784031973173
PGi_L,2.830786724819614
PGs_L,2.6168938518497837
V6A_L,4.819130018040481
VMV1_L,5.04868212615248
VMV3_L,4.205272184972393
PHA2_L,3.3842331681753928
V4t_L,3.786643163109597
FST_L,3.2098799475632953
V3CD_L,3.3714487574601812
LO3_L,3.514653816089858
VMV2_L,4.590119687192047
31pd_L,2.718451858286967
31a_L,3.756813229820547
