region,rd_intersubject_cov
VVC_L,3.467828288201292
25_L,4.868329449387469
s32_L,3.698064816426906
pOFC_L,4.081674674057671
PoI1_L,3.0104513849381047
Ig_L,3.9397696649529808
FOP5_L,3.060500515482934
p10p_L,3.364197340419749
p47r_L,3.002298725725161
TGv_L,3.5248387949685127
MBelt_L,3.249949143722087
LBelt_L,3.6817725442595317
A4_L,3.0140874616586175
STSva_L,3.0464003902004335
TE1m_L,3.2250548839375184
PI_L,2.785675990159744
a32pr_L,3.1450145934937446
p24_L,3.9721964971500148
V1_R,2.716585634473242
MST_R,3.6350288385623224
V6_R,3.5863634534111184
V2_R,2.6575142191056313
V3_R,2.486047947512125
V4_R,2.6268908021660335
V8_R,3.817996854680946
4_R,2.232344488853187
3b_R,3.2281306719317517
FEF_R,3.116249828833066
PEF_R,3.9730844377189016
55b_R,3.3455255242739157
V3A_R,3.0269473695231355
RSC_R,3.4222030049345418
POS2_R,3.119462050324308
V7_R,3.833521778384821
IPS1_R,3.455975527214566
FFC_R,3.5412525202496994
V3B_R,3.865464346330067
LO1_R,3.7392196712561643
LO2_R,3.6462602594497433
PIT_R,3.2919086003458062
MT_R,3.463942931572766
A1_R,4.02667669322843
PSL_R,3.2012933943433457
SFL_R,3.0097688942620304
PCV_R,2.8931675802742687
STV_R,3.1480265040421265
7Pm_R,4.055233266322277
7m_R,2.8641898838699826
POS1_R,2.860536473648996
23d_R,3.762815327909473
v23ab_R,3.760298992057028
d23ab_R,3.292924208491519
31pv_R,3.1901405787330672
5m_R,4.162860969552354
5mv_R,3.0143445283236527
23c_R,2.762956238314944
5L_R,3.3502634485744984
24dd_R,2.5882261820263976
24dv_R,2.990518765283297
7AL_R,3.9200563285744003
SCEF_R,2.5227684103617625
6ma_R,2.8620667927451082
7Am_R,3.219186772253594
7Pl_R,4.55212570974232
7PC_R,4.233975963531413
LIPv_R,4.382862674867917
VIP_R,4.465671055243579
MIP_R,3.489645828110434
1_R,3.635534118419114
2_R,3.4556061446301976
3a_R,3.780758240516723
6d_R,3.6854978626810793
6mp_R,2.9788818237070065
6v_R,3.747939742425508
p24pr_R,3.7928485619333867
33pr_R,4.531027722976665
a24pr_R,3.220276850589041
p32pr_R,3.1589985694953837
a24_R,3.2331473443270164
d32_R,2.8602445504487775
8BM_R,2.687953518623958
p32_R,3.4665340982495554
10r_R,3.261966597818331
47m_R,3.926419122158916
8Av_R,3.173357160069744
8Ad_R,3.6432995997606703
9m_R,2.9564981911174093
8BL_R,3.2823616230019863
9p_R,3.655883571396358
10d_R,3.4192688418436217
8C_R,3.4805326817408626
44_R,3.0034740401187503
45_R,3.6302286589776944
47l_R,3.427036982684595
a47r_R,3.2005363296625946
6r_R,2.781977097813287
IFJa_R,4.270580696802729
IFJp_R,4.173829397190766
IFSp_R,3.9805969969013875
IFSa_R,3.837829445020133
p9-46v_R,3.480396477677329
46_R,2.8959956928446324
a9-46v_R,3.9822676120842955
9-46d_R,3.0430996076955106
9a_R,3.2179447790442066
10v_R,3.649575488104665
a10p_R,3.607988621467021
10pp_R,4.284063616921626
11l_R,2.963274011592649
13l_R,3.8061507092391658
OFC_R,4.6054731980196815
47s_R,4.481866445096621
LIPd_R,4.3220997877565965
6a_R,3.029079733963883
i6-8_R,3.8836021131198613
s6-8_R,3.5857191473843932
43_R,2.9689408112779283
OP4_R,2.953211013391308
OP1_R,3.771417100127826
OP2-3_R,3.490418161568903
52_R,3.73039988870463
RI_R,3.6457455094495725
PFcm_R,3.343740879543093
PoI2_R,3.4648908925128556
TA2_R,3.3583782923540015
FOP4_R,2.976481893271697
MI_R,3.2472873812955467
Pir_R,4.76931041505925
AVI_R,3.306053736990218
AAIC_R,4.26630870901738
FOP1_R,3.4264698413493306
FOP3_R,3.3998092450633415
FOP2_R,3.2598521269730103
PFt_R,3.7082262211799786
AIP_R,3.7918099425621223
EC_R,4.008133044717854
PreS_R,3.8765696992895107
H_R,2.979761691933508
ProS_R,3.898465415518187
PeEc_R,3.1452168705633063
STGa_R,3.6519527122615028
PBelt_R,3.355394058956987
A5_R,3.2761136327345217
PHA1_R,2.9743668025716974
PHA3_R,4.0359611421994614
STSda_R,3.472975422616398
STSdp_R,3.360267248223275
STSvp_R,3.4883046605819334
TGd_R,2.7293924464750803
TE1a_R,4.1914295152547725
TE1p_R,3.8551850907269736
TE2a_R,3.8968887331226916
TF_R,3.3943079018358064
TE2p_R,4.153229719201836
PHT_R,3.1180404875094596
PH_R,3.3904804100262336
TPOJ1_R,2.8205643365829767
TPOJ2_R,3.2654978935721766
TPOJ3_R,3.2228190772074456
DVT_R,3.3676087286555885
PGp_R,2.7638936433906665
IP2_R,3.821347233698806
IP1_R,3.493202719159977
IP0_R,3.6661950251600803
PFop_R,3.4365672407691514
PF_R,2.7788020186396296
PFm_R,2.578489046834807
PGi_R,2.4981181032312616
PGs_R,2.769045373475504
V6A_R,4.228183611697234
VMV1_R,3.388341814562716
VMV3_R,4.566962421659295
PHA2_R,3.547195889879874
V4t_R,3.592459979795609
FST_R,3.4033864953729456
V3CD_R,3.1216459001188355
LO3_R,3.5428685468241654
VMV2_R,4.555400657602486
31pd_R,3.2646080631991077
31a_R,3.284891331882068
VVC_R,3.6492984530825217
25_R,4.157968999124851
s32_R,4.455156836561584
pOFC_R,4.026455031879408
PoI1_R,3.198736264114075
Ig_R,3.041948063217691
FOP5_R,3.35414950986779
p10p_R,3.3238072746601817
p47r_R,3.4738366586523033
TGv_R,3.2463182579397274
MBelt_R,3.05495129909379
LBelt_R,3.708534121961776
A4_R,3.581872250901266
STSva_R,3.956625229295383
TE1m_R,4.426165079648949
PI_R,3.454124689317639
a32pr_R,2.8468968388966633
p24_R,3.2988899659489
