region,dki-fa_intersubject_cov
31pd_L,6.537611669665648
31a_L,7.725540811720327
VVC_L,5.127255636310706
25_L,7.3267891516287635
s32_L,8.759485478808383
pOFC_L,6.539813167537167
PoI1_L,6.614123982612225
Ig_L,5.1499809678003885
FOP5_L,5.575976513090406
p10p_L,6.525446784119877
p47r_L,5.665047727486904
TGv_L,5.753047311200904
MBelt_L,6.142874443998742
LBelt_L,7.457458777732115
A4_L,7.691399396856662
STSva_L,7.134731655266684
TE1m_L,7.426087196702549
PI_L,6.490227868612779
a32pr_L,7.087572157663358
p24_L,9.514554087014924
V1_R,4.537085765723392
MST_R,7.461222528958668
V6_R,7.086864871440985
V2_R,4.4417654911332765
V3_R,4.370218452522158
V4_R,4.690574354163405
V8_R,6.537556840250675
4_R,4.541464646209547
3b_R,6.416711896414743
FEF_R,6.823714556376206
PEF_R,9.088822453471057
55b_R,7.620376196847918
V3A_R,6.2366307499861255
RSC_R,5.531845737993315
POS2_R,5.644139063741543
V7_R,10.225183014025369
IPS1_R,7.849430893425197
FFC_R,5.713609271689381
V3B_R,6.885704247271139
LO1_R,8.359146690834704
LO2_R,8.224970081150403
PIT_R,7.037272958523169
MT_R,7.831143136844584
A1_R,7.399632451540403
PSL_R,6.518574039344542
SFL_R,6.33405428265446
PCV_R,6.3205935620454206
STV_R,7.127556241672359
7Pm_R,8.212397302987991
7m_R,6.019419513986222
POS1_R,5.024066568245569
23d_R,5.70396012331803
v23ab_R,6.660270510910281
d23ab_R,6.231930874369302
31pv_R,6.747319059235663
5m_R,5.806105165773025
5mv_R,6.448976181741135
23c_R,5.188032297381994
5L_R,5.8260313363706535
24dd_R,5.140152021887437
24dv_R,6.409149304958419
7AL_R,6.784900145846167
SCEF_R,5.850397467070838
6ma_R,5.547044132778783
7Am_R,6.528267147206796
7Pl_R,8.499274807686719
7PC_R,6.783984782158845
LIPv_R,7.773200039023084
VIP_R,8.517042561887154
MIP_R,7.631095306551526
1_R,5.047977391758936
2_R,5.494014743422901
3a_R,5.82079326358892
6d_R,7.177141646865211
6mp_R,5.882573205195095
6v_R,6.589513559126822
p24pr_R,6.672659769874175
33pr_R,7.524782738482043
a24pr_R,9.659961254721852
p32pr_R,6.883843841769985
a24_R,6.286938275888787
d32_R,5.546686802245115
8BM_R,5.627260563427426
p32_R,6.644294049141592
10r_R,7.253163076480237
47m_R,7.732491929642017
8Av_R,5.909392965106428
8Ad_R,5.768338566056562
9m_R,4.536950983185463
8BL_R,5.851569402381399
9p_R,6.405905124374549
10d_R,5.813407704223753
8C_R,6.172001292107314
44_R,5.78227166491541
45_R,5.723291940646192
47l_R,5.994488789828428
a47r_R,5.344687735865968
6r_R,5.94271570027836
IFJa_R,8.090036048285878
IFJp_R,8.20480237787278
IFSp_R,7.01215880739621
IFSa_R,6.0963544363321445
p9-46v_R,5.825778820918616
46_R,5.333182272019887
a9-46v_R,6.342631732315715
9-46d_R,4.76598114873714
9a_R,5.811582331703485
10v_R,5.727258301439523
a10p_R,7.363482909690794
10pp_R,6.540540005986281
11l_R,6.067015980997856
13l_R,7.070767655440045
OFC_R,8.861321038256236
47s_R,6.123666670696204
LIPd_R,7.628155186218382
6a_R,5.411227838843884
i6-8_R,7.297627264317248
s6-8_R,6.948665886649367
43_R,6.573620869917367
OP4_R,5.546520352256804
OP1_R,6.343337622829017
OP2-3_R,5.710632854322636
52_R,8.547961799361598
RI_R,6.559095416768021
PFcm_R,6.342525911101814
PoI2_R,5.601908538955662
TA2_R,6.950051922059855
FOP4_R,5.025751180306231
MI_R,5.476863924006311
Pir_R,4.728865001048668
AVI_R,6.536854637178292
AAIC_R,5.044800362431544
FOP1_R,6.383836681512188
FOP3_R,6.036907180940677
FOP2_R,6.010625261006034
PFt_R,7.357080438276174
AIP_R,5.595852031395386
EC_R,5.997124375611835
PreS_R,5.367056835213823
H_R,5.199547934575064
ProS_R,7.351325008718801
PeEc_R,5.285829026757299
STGa_R,7.324014328232945
PBelt_R,7.008165167808057
A5_R,5.201626368211979
PHA1_R,5.501000855352785
PHA3_R,7.523893384197537
STSda_R,7.111501054033788
STSdp_R,5.3028978470298185
STSvp_R,6.530345775853438
TGd_R,4.769135448145388
TE1a_R,6.459932309215269
TE1p_R,5.615385124340934
TE2a_R,5.714146502472984
TF_R,6.371590999348065
TE2p_R,6.35375714508836
PHT_R,6.124330082645766
PH_R,6.030731418395926
TPOJ1_R,5.6282108795773205
TPOJ2_R,6.659823760417839
TPOJ3_R,7.522107127614255
DVT_R,5.859132299067886
PGp_R,5.821446595450524
IP2_R,6.407722009820543
IP1_R,6.176787303217454
IP0_R,6.631610752565901
PFop_R,6.566502263433652
PF_R,5.256248625993335
PFm_R,4.809658530244752
PGi_R,4.8869943278936585
PGs_R,5.451121351704709
V6A_R,8.950301238121792
VMV1_R,7.587932196071619
VMV3_R,7.848130395589776
PHA2_R,8.330816610659065
V4t_R,8.32918594505119
FST_R,6.925646609420855
V3CD_R,6.930658762650359
LO3_R,7.769668123202347
VMV2_R,7.568548119972039
31pd_R,7.053333088992926
31a_R,8.577785554892266
VVC_R,5.279547666899854
25_R,6.839083403729769
s32_R,10.052206594059792
pOFC_R,6.172019249977364
PoI1_R,6.071296967316117
Ig_R,4.863566435224951
FOP5_R,6.072141578267464
p10p_R,5.621161403184152
p47r_R,6.270362585703528
TGv_R,5.579687196992338
MBelt_R,5.90832754220402
LBelt_R,7.410214817800215
A4_R,6.304211717314215
STSva_R,6.840140698391243
TE1m_R,6.974312041641402
PI_R,7.312118036758959
a32pr_R,6.585088078954983
p24_R,8.277377669788061
