region,dki-fa_intersubject_cov
V1_L,4.454312695015471
MST_L,8.020075811079117
V6_L,7.0442573606079
V2_L,4.234421493487337
V3_L,4.178025291500012
V4_L,4.5365595871316815
V8_L,6.771946808436274
4_L,4.314148163709067
3b_L,4.998079271752835
FEF_L,7.266598964120223
PEF_L,11.02794480374659
55b_L,8.016195471436784
V3A_L,6.380329246204375
RSC_L,5.862320547184692
POS2_L,5.516913425943126
V7_L,10.140513779381116
IPS1_L,8.027037588204893
FFC_L,5.9774717693800135
V3B_L,6.960896263941983
LO1_L,8.413434922454115
LO2_L,7.220602905064346
PIT_L,7.149767812631956
MT_L,8.437188054280547
A1_L,6.712707708451209
PSL_L,7.411238783177362
SFL_L,5.867233657412536
PCV_L,6.1775595489583495
STV_L,8.160597427726636
7Pm_L,7.784695622843563
7m_L,6.178237888807138
POS1_L,5.062945221488354
23d_L,7.270623445081516
v23ab_L,7.001244892776564
d23ab_L,6.315912804581332
31pv_L,7.076491968687206
5m_L,6.752279058618813
5mv_L,6.845469524936141
23c_L,5.67487693050187
5L_L,5.7165496329839725
24dd_L,5.075058338892028
24dv_L,7.275085529667693
7AL_L,6.332423402882341
SCEF_L,5.273021104140937
6ma_L,5.880871855530264
7Am_L,5.963677033975647
7Pl_L,7.756516478804132
7PC_L,7.433261643024997
LIPv_L,7.921481454435448
VIP_L,7.604040905127149
MIP_L,7.686251717369226
1_L,4.80926696315569
2_L,5.806036026390713
3a_L,5.571141497279862
6d_L,7.2222932815001055
6mp_L,5.488666159606128
6v_L,7.282483645046459
p24pr_L,6.96429105314519
33pr_L,9.532730602621928
a24pr_L,9.733585354623456
p32pr_L,6.77870437751227
a24_L,5.634192898186341
d32_L,6.1376400836337215
8BM_L,5.656318933309305
p32_L,6.128168729681562
10r_L,6.134093473710812
47m_L,7.881937861153884
8Av_L,6.686590139838164
8Ad_L,6.12347492971929
9m_L,4.567456683299032
8BL_L,6.361735769332569
9p_L,5.982669058243227
10d_L,5.723614342509021
8C_L,5.895374622980267
44_L,5.629415552611066
45_L,4.966984389957891
47l_L,6.490420962174638
a47r_L,5.748026429153128
6r_L,6.198130611920812
IFJa_L,7.602544496693679
IFJp_L,8.136656999025394
IFSp_L,7.804020325876304
IFSa_L,5.773925480757049
p9-46v_L,6.561104017556269
46_L,5.537729101449662
a9-46v_L,6.069503155617214
9-46d_L,5.207513819322167
9a_L,5.952877789509107
10v_L,5.530690910427228
a10p_L,6.360944272849825
10pp_L,6.548908402935016
11l_L,5.584529586741399
13l_L,7.074892800577673
OFC_L,9.365702263135892
47s_L,6.319262494607559
LIPd_L,8.436161876348274
6a_L,5.653657692992423
i6-8_L,8.04827969939064
s6-8_L,8.716771599390025
43_L,6.445877019542275
OP4_L,4.840884529899679
OP1_L,5.58564244336359
OP2-3_L,4.977921547571049
52_L,7.233026069553061
RI_L,6.949372821325055
PFcm_L,6.23259853876473
PoI2_L,6.337050085803048
TA2_L,6.974894420892018
FOP4_L,4.286435077820593
MI_L,5.456865746053039
Pir_L,4.492026553680435
AVI_L,6.739881998206404
AAIC_L,5.4170413520221325
FOP1_L,6.620381746470937
FOP3_L,6.158368937779586
FOP2_L,5.846999999083977
PFt_L,6.689712143296557
AIP_L,6.483751856238329
EC_L,6.419102243133939
PreS_L,5.6617907741409415
H_L,5.660515467562649
ProS_L,7.219463737885431
PeEc_L,4.911114355305362
STGa_L,6.15808742614083
PBelt_L,6.708015118605444
A5_L,5.810499452226719
PHA1_L,5.371550954576218
PHA3_L,6.094690524570164
STSda_L,7.033562765645046
STSdp_L,7.290396932409576
STSvp_L,6.759974585267578
TGd_L,4.332114236720691
TE1a_L,5.641544402494246
TE1p_L,5.467040251868142
TE2a_L,6.061794927118247
TF_L,6.445410315109637
TE2p_L,6.193129734076089
PHT_L,6.080676093305367
PH_L,5.71311720459927
TPOJ1_L,6.915754042176421
TPOJ2_L,7.260216510086535
TPOJ3_L,8.055103104810886
DVT_L,5.949210602273004
PGp_L,5.435523224014979
IP2_L,6.818825272432096
IP1_L,6.310777170046192
IP0_L,6.544709179499346
PFop_L,6.310426197529131
PF_L,4.781538196339371
PFm_L,4.818596397909636
PGi_L,5.152721277539199
PGs_L,5.29142996093135
V6A_L,9.30394305320811
VMV1_L,7.949817213345292
VMV3_L,7.668585393602021
PHA2_L,6.882399384868279
V4t_L,8.543065343082796
FST_L,7.046627078295371
V3CD_L,6.921874059818851
LO3_L,8.141471846524762
VMV2_L,7.721387070156088
