region,myl_intersubject_cov
IFJp_R,6.477574319033064
IFSp_R,6.56403781381424
IFSa_R,6.780188993960665
p9-46v_R,6.769394419039807
46_R,6.948628205128735
a9-46v_R,7.698277849706556
9-46d_R,7.528246477151236
9a_R,8.351470458400716
10v_R,8.084147671532763
a10p_R,8.521437765150564
10pp_R,8.8218624815594
11l_R,7.385845767875067
13l_R,6.676432584532854
OFC_R,7.61469050434605
47s_R,6.278421792155382
LIPd_R,6.354032710267836
6a_R,6.429792067650109
i6-8_R,6.825657512695245
s6-8_R,6.943817636210406
43_R,5.8243317362457105
OP4_R,5.250607342360173
OP1_R,5.45647532237149
OP2-3_R,5.1983552363525005
52_R,5.618155525124656
RI_R,5.441587540346791
PFcm_R,5.384922125600329
PoI2_R,5.724451880438643
TA2_R,6.563891239704267
FOP4_R,5.801187291350651
MI_R,5.453550958753447
Pir_R,10.588243927210149
AVI_R,6.100161167750671
AAIC_R,6.338113015452014
FOP1_R,5.683803259065322
FOP3_R,5.5779982272651365
FOP2_R,5.253775170095274
PFt_R,5.686107383008389
AIP_R,6.005882914226292
EC_R,5.928841868907429
PreS_R,9.453850563416605
H_R,5.935781229977117
ProS_R,5.998779398529408
PeEc_R,5.045166237884901
STGa_R,5.609054744029033
PBelt_R,5.927217426691297
A5_R,5.4452927009644005
PHA1_R,6.062843360503085
PHA3_R,5.407891495042776
STSda_R,5.2256000514072785
STSdp_R,5.053888831479584
STSvp_R,5.260195934066645
TGd_R,5.556697285949487
TE1a_R,5.243465371966313
TE1p_R,4.888400311340717
TE2a_R,5.194611000437133
TF_R,4.961524876431648
TE2p_R,5.003192453611519
PHT_R,5.071066613432755
PH_R,5.31556691903358
TPOJ1_R,5.436305994431611
TPOJ2_R,5.703527801526845
TPOJ3_R,5.745444879243782
DVT_R,5.868380436488307
PGp_R,5.825622766834808
IP2_R,6.219797968240868
IP1_R,6.2765524792963125
IP0_R,5.96019765697976
PFop_R,5.433675437430021
PF_R,5.4423441600151845
PFm_R,5.8438018896924095
PGi_R,5.451203070028032
PGs_R,5.9828589696156635
V6A_R,6.882660989749752
VMV1_R,6.3168480209971305
VMV3_R,5.747530467720522
PHA2_R,5.400885068248331
V4t_R,6.285094486970847
FST_R,5.565309235540567
V3CD_R,6.034222838704734
LO3_R,5.912755999878974
VMV2_R,5.334588327755827
31pd_R,5.899396846727513
31a_R,6.00154017771409
VVC_R,5.615135686461086
25_R,9.773397439266958
s32_R,6.98334629539662
pOFC_R,23.27531798882079
PoI1_R,5.069401860864247
Ig_R,5.101880304148557
FOP5_R,6.466423022733765
p10p_R,8.32331536421377
p47r_R,7.055307415566525
TGv_R,5.739366589581401
MBelt_R,6.149357522187436
LBelt_R,6.0109732769014395
A4_R,5.696591836406615
STSva_R,5.256472446220064
TE1m_R,5.189389633210829
PI_R,5.183587216414626
a32pr_R,6.427078792638985
p24_R,6.57412552400692
