region,ad_intersubject_cov
V1_L,2.182026510609488
MST_L,3.1221661680743757
V6_L,2.9717194186464004
V2_L,2.06927318961089
V3_L,2.02728474328185
V4_L,2.1638108535107623
V8_L,2.3886488773666006
4_L,1.7575868494271056
3b_L,2.4574894609567592
FEF_L,2.3917013053563903
PEF_L,3.038108525186879
55b_L,2.4402761383075933
V3A_L,2.8115688660341567
RSC_L,2.661488188649457
POS2_L,2.517228108111196
V7_L,4.15338653283781
IPS1_L,4.175469096902241
FFC_L,2.520173895198315
V3B_L,3.5159906691942924
LO1_L,2.9048620802690555
LO2_L,2.7497729419535704
PIT_L,2.6366532378849845
MT_L,3.2331176327067745
A1_L,3.054981319023095
PSL_L,2.713959625038409
SFL_L,2.625631194713513
PCV_L,2.308717453459704
STV_L,2.571368729497792
7Pm_L,3.1661013129596705
7m_L,1.9254061113396768
POS1_L,2.2953228361423528
23d_L,3.0666048139208595
v23ab_L,2.525319815378098
d23ab_L,2.210885604985457
31pv_L,2.428980092949493
5m_L,2.7967072721604924
5mv_L,2.26217024760458
23c_L,2.82001117848247
5L_L,2.9299015027553965
24dd_L,2.001250579299533
24dv_L,2.659064189907001
7AL_L,3.450883476375023
SCEF_L,2.0693467096106284
6ma_L,2.817270801168471
7Am_L,2.8479880057762244
7Pl_L,3.707115698719704
7PC_L,3.446101857561425
LIPv_L,3.5956445728684963
VIP_L,3.4639709157932
MIP_L,3.473794268939048
1_L,2.4993003614039324
2_L,2.826820473368816
3a_L,2.803827125983771
6d_L,2.5529290930604462
6mp_L,2.480241917780942
6v_L,2.7019814629866143
p24pr_L,2.980509090020666
33pr_L,3.7802334452985376
a24pr_L,3.03139081468128
p32pr_L,2.354036959380944
a24_L,2.503276414106473
d32_L,2.47002222049554
8BM_L,2.171206337801559
p32_L,2.273488899819556
10r_L,2.500868308774225
47m_L,2.7212169094187977
8Av_L,2.58309610405254
8Ad_L,2.751814990250963
9m_L,2.4575756764149235
8BL_L,2.669721097037171
9p_L,2.906897575176289
10d_L,2.893743685085947
8C_L,2.4226372294318543
44_L,2.3585006655904763
45_L,2.391231239166598
47l_L,2.2378680748164186
a47r_L,1.8789576946894695
6r_L,2.2912019959832186
IFJa_L,2.896309627713249
IFJp_L,2.9141086549418795
IFSp_L,2.810828291242019
IFSa_L,2.6764970400000183
p9-46v_L,2.4047848626173067
46_L,2.484720557669988
a9-46v_L,2.724772536663437
9-46d_L,2.5515409439521664
9a_L,2.9936998370001304
10v_L,2.855257748012814
a10p_L,2.657514850751617
10pp_L,3.31653491191742
11l_L,2.4361813144946893
13l_L,3.027404592727496
OFC_L,4.655098417684549
47s_L,2.324017685273921
LIPd_L,3.6064763198793113
6a_L,2.865446163375852
i6-8_L,3.024889036240053
s6-8_L,3.241627510738666
43_L,2.439791669348276
OP4_L,2.305633985909648
OP1_L,3.1060132060744885
OP2-3_L,3.087234509235593
52_L,2.7085412949706704
RI_L,3.0531731334919985
PFcm_L,2.91448724682738
PoI2_L,2.423031004852588
TA2_L,2.3818847028830272
FOP4_L,2.3462600417226334
MI_L,2.5563306987339893
Pir_L,2.1520918984349016
AVI_L,2.6422039297874544
AAIC_L,2.151145519346931
FOP1_L,2.657392461279046
FOP3_L,3.242780197868594
FOP2_L,2.7365077602110697
PFt_L,2.441481053785508
AIP_L,2.805441839086132
EC_L,3.3527099507435745
PreS_L,2.934577123782724
H_L,2.679275105659479
ProS_L,3.5746869134572443
PeEc_L,2.773227279601844
STGa_L,2.194742573622379
PBelt_L,2.9708084891224296
A5_L,2.4189080085862105
PHA1_L,2.748130371474696
PHA3_L,2.430908175176633
STSda_L,2.7845302157103258
STSdp_L,2.654681657555443
STSvp_L,2.424276636610959
TGd_L,2.198028985841681
TE1a_L,2.379532051256972
TE1p_L,2.208299610433382
TE2a_L,2.6013388661692884
TF_L,2.7172852416572977
TE2p_L,2.548894863220656
PHT_L,2.1296802911512347
PH_L,2.355258103800413
TPOJ1_L,2.4843475893279408
