region,ad_intersubject_cov
TPOJ2_L,2.7414703257382085
TPOJ3_L,3.3085731852115123
DVT_L,2.08470138656532
PGp_L,2.666579904481756
IP2_L,2.6679451021406626
IP1_L,3.154536211811608
IP0_L,2.931745202569027
PFop_L,2.609615647184583
PF_L,2.263701056525236
PFm_L,2.1970598840811206
PGi_L,2.4340067450819647
PGs_L,2.3640152670762493
V6A_L,3.571179750838491
VMV1_L,3.5312057722167465
VMV3_L,3.221159993898448
PHA2_L,2.971835833585489
V4t_L,2.959870762130119
FST_L,2.6032492906490914
V3CD_L,3.220269307825056
LO3_L,3.131386757901651
VMV2_L,3.538639318679294
31pd_L,2.15777856032311
31a_L,2.7279210585235627
VVC_L,2.587044203522508
25_L,4.103343324476075
s32_L,3.3281240048704737
pOFC_L,3.7438762444253135
PoI1_L,2.513038062577748
Ig_L,3.360941749217605
FOP5_L,2.5191117452674456
p10p_L,3.0198182371490216
p47r_L,2.5885502225881485
TGv_L,2.8307420180106804
MBelt_L,2.541950977125056
LBelt_L,3.133330718541188
A4_L,2.4411262089321686
STSva_L,2.7019197004880087
TE1m_L,2.7225841551921355
PI_L,2.1587448820039
a32pr_L,2.50370447452138
p24_L,3.2888307584730674
V1_R,2.3226673635908446
MST_R,2.9866415518391096
V6_R,3.1469115338256497
V2_R,2.1982996532122465
V3_R,2.159259954709788
V4_R,2.228827039696607
V8_R,3.2953908360626194
4_R,1.71493525533085
3b_R,2.954346911478025
FEF_R,2.5873471173129303
PEF_R,3.01404013647082
55b_R,2.4207315313432405
V3A_R,2.463321884570531
RSC_R,3.012975369447167
POS2_R,2.501396658602708
V7_R,2.799073421634473
IPS1_R,2.74535981712323
FFC_R,2.789354871127665
V3B_R,3.2995501858956486
LO1_R,3.325590270406817
LO2_R,2.947628574236377
PIT_R,2.844364277375438
MT_R,2.817773499150718
A1_R,3.302021792731612
PSL_R,2.383964404627171
SFL_R,2.610300053707598
PCV_R,2.773979849020528
STV_R,2.653466097709936
7Pm_R,3.404106304584232
7m_R,2.503047492475857
POS1_R,2.2504592881210663
23d_R,3.257651941392908
v23ab_R,2.979394786727814
d23ab_R,2.5540545164842343
31pv_R,2.694890560597325
5m_R,3.504927207200869
5mv_R,3.26127948597044
23c_R,2.624692931442861
5L_R,3.167299442685388
24dd_R,2.45161133287896
24dv_R,2.995518061907223
7AL_R,3.183863097299978
SCEF_R,2.6119198650081765
6ma_R,2.327827508187766
7Am_R,2.9066902219113278
7Pl_R,3.6625048571752097
7PC_R,3.1195992729256723
LIPv_R,3.3095211884287536
VIP_R,3.425658785266692
MIP_R,2.822702527251004
1_R,2.544137287264145
2_R,2.5022837275442558
3a_R,3.002031890092805
6d_R,2.517390869913348
6mp_R,2.3219655816178144
6v_R,2.880789615610817
p24pr_R,3.3423185711326084
33pr_R,3.709006449323994
a24pr_R,3.3264394240924413
p32pr_R,3.0004764900212737
a24_R,2.981328069236748
d32_R,2.850134076718673
8BM_R,2.707039568710294
p32_R,3.510591003235667
10r_R,3.195291286555624
47m_R,3.476866806230091
8Av_R,2.47696204734807
8Ad_R,2.925004970439012
9m_R,2.7919360487619453
8BL_R,2.5906550248856584
9p_R,2.954869316811649
10d_R,2.819552064303373
8C_R,2.6146788295341903
44_R,2.4039229404377145
45_R,2.9697471526455588
47l_R,2.896494023032283
a47r_R,2.7173773939394663
6r_R,2.1557039837465948
IFJa_R,3.227916404871557
IFJp_R,3.4851383582959348
IFSp_R,3.081687755315829
IFSa_R,3.166519828223856
p9-46v_R,2.584315972464496
46_R,2.373818827473132
a9-46v_R,3.280186430825191
9-46d_R,2.494087739863876
9a_R,2.556750652262026
10v_R,3.08086535214718
a10p_R,3.0388715704033684
10pp_R,3.552986762715989
11l_R,2.426192008447373
13l_R,3.3587149023158998
OFC_R,3.328211941459052
47s_R,3.3825644851526726
LIPd_R,3.559546301829588
6a_R,2.5250205810852204
i6-8_R,3.1613650359054613
s6-8_R,2.6955203709369617
43_R,2.427216690003624
OP4_R,2.4373481578115928
OP1_R,3.0107946049547465
OP2-3_R,2.737643172924949
52_R,2.7762461595945123
RI_R,2.6423602125236028
PFcm_R,2.48223588878558
PoI2_R,2.78106017852077
TA2_R,3.126767609659519
FOP4_R,2.428741294936125
MI_R,2.446144901840257
Pir_R,2.78967037490562
AVI_R,3.0234422761269903
AAIC_R,2.9964115847001374
FOP1_R,2.897328548630175
FOP3_R,2.571292768740007
FOP2_R,2.6416243296912936
PFt_R,2.810083964830984
AIP_R,3.157248234850449
EC_R,3.341398309225486
PreS_R,2.940519994790084
H_R,2.561016679767773
ProS_R,3.0997927737297823
PeEc_R,2.608010327346556
STGa_R,3.244253707905935
PBelt_R,2.76172295275172
A5_R,2.6877313552551843
PHA1_R,2.9317222521831847
PHA3_R,3.697593947395742
STSda_R,2.610591226088268
STSdp_R,2.705320999812914
STSvp_R,2.9775481189562427
TGd_R,2.39092202196039
TE1a_R,3.445595225517632
TE1p_R,3.0652384660554683
TE2a_R,3.3124081455746626
TF_R,2.981943214445299
TE2p_R,3.475993653635616
PHT_R,2.745195945614453
PH_R,2.833391410990488
TPOJ1_R,2.219282818665327
TPOJ2_R,2.703338304749771
TPOJ3_R,2.486381434715069
DVT_R,2.9748815244182816
PGp_R,2.141949987299335
IP2_R,3.400498698581768
IP1_R,3.336986987653015
IP0_R,3.881226693884552
PFop_R,2.662022783424072
PF_R,2.100911942248357
PFm_R,2.2057646368443438
PGi_R,2.0681403451028277
PGs_R,2.2336690213071666
V6A_R,3.398159140458816
VMV1_R,2.9313657987839874
VMV3_R,3.9297298327156263
PHA2_R,3.252298686655669
V4t_R,3.107626585529159
FST_R,3.052049835447216
V3CD_R,2.714854860171899
LO3_R,2.865042949244192
VMV2_R,3.6251557296350554
31pd_R,3.036515039280681
31a_R,2.8725806716843088
VVC_R,3.0139579806579837
25_R,3.574801636263392
s32_R,3.8600329195685545
pOFC_R,3.353495832243499
PoI1_R,2.5509924558435224
Ig_R,2.4211753070800515
FOP5_R,2.8659774574113657
p10p_R,2.7053619376481763
p47r_R,2.899637081591224
TGv_R,2.7100518867680177
MBelt_R,2.770610176780915
LBelt_R,3.14975499611806
A4_R,2.645953893089383
STSva_R,3.602618389288329
TE1m_R,3.7612759625075474
PI_R,3.2261742788770094
a32pr_R,2.823226580644673
p24_R,2.717453063583494
