region,mkt_intersubject_cov
V1_L,4.131855657836246
MST_L,5.520806244249974
V6_L,4.84439604032229
V2_L,4.1177596028406
V3_L,4.198211334420861
V4_L,4.469834078427856
V8_L,5.407019468006805
4_L,4.02378964418734
3b_L,3.6296052607392033
FEF_L,4.510406941050107
PEF_L,5.330403931177955
55b_L,4.710773879476776
V3A_L,5.013778944489233
RSC_L,4.496061064086142
POS2_L,4.575698476346002
V7_L,6.64596886692139
IPS1_L,6.187426694374166
FFC_L,4.998769700553096
V3B_L,6.23965638002372
LO1_L,5.927195595911065
LO2_L,5.436670863415568
PIT_L,5.140074370465999
MT_L,5.958634524717489
A1_L,4.111513442987381
PSL_L,5.200681349234693
SFL_L,4.948991218429649
PCV_L,4.7811948666376844
STV_L,5.118699760688322
7Pm_L,5.419962045466289
7m_L,4.8602365170151005
POS1_L,5.116952509548504
23d_L,4.743883979508149
v23ab_L,5.885216368782899
d23ab_L,5.252143792607891
31pv_L,5.130812900261517
5m_L,4.910212999091795
5mv_L,4.748788854871333
23c_L,4.413656976312457
5L_L,5.1894815626271855
24dd_L,4.248615066039734
24dv_L,4.598572643876031
7AL_L,5.332600505405575
SCEF_L,4.373094188662101
6ma_L,5.157700294902224
7Am_L,4.890475136415665
7Pl_L,6.671811489131676
7PC_L,6.262248791157245
LIPv_L,6.784880714381107
VIP_L,6.486205486426547
MIP_L,6.260880530526036
1_L,4.204944042297395
2_L,4.585107669794509
3a_L,4.089459052263457
6d_L,4.595050310551799
6mp_L,4.882823758421907
6v_L,5.12358053487469
p24pr_L,4.6653668765536445
33pr_L,4.755564219949894
a24pr_L,4.6347576344916535
p32pr_L,4.643346972550518
a24_L,4.101536165620527
d32_L,4.867389879022534
8BM_L,4.99448193331698
p32_L,4.48952673156766
10r_L,4.975548029624303
47m_L,4.366519546969917
8Av_L,4.466496055715775
8Ad_L,4.590138545551732
9m_L,5.312064876238003
8BL_L,4.773279997171563
9p_L,4.890900998355799
10d_L,5.857011309874376
8C_L,4.711489676620797
44_L,4.592892633038885
45_L,5.118384870983872
47l_L,4.312968122757228
a47r_L,4.676162354772446
6r_L,3.9977445170589454
IFJa_L,5.392441196471121
IFJp_L,5.028207531076428
IFSp_L,5.543985712268281
