region,mkt_intersubject_cov
IFSa_L,5.328344331564002
p9-46v_L,5.129492285141732
46_L,4.7842946172694845
a9-46v_L,4.976858863389526
9-46d_L,4.828356857116125
9a_L,5.207185036109198
10v_L,5.241883703590211
a10p_L,4.851276562058976
10pp_L,6.371170943200756
11l_L,4.859475365696583
13l_L,4.782077391731557
OFC_L,4.736799969452586
47s_L,4.053161072259022
LIPd_L,6.1532846895173225
6a_L,4.505924479552953
i6-8_L,4.90002373334424
s6-8_L,5.266769932871878
43_L,4.593208675864052
OP4_L,4.387234659687344
OP1_L,4.31792910141117
OP2-3_L,4.21443714632972
52_L,4.791421242853548
RI_L,4.653658810777067
PFcm_L,4.384062743325703
PoI2_L,3.8492280177744815
TA2_L,4.655865471652058
FOP4_L,3.534609963474116
MI_L,3.5731466150349718
Pir_L,3.536643024607641
AVI_L,3.6933776292187295
AAIC_L,3.3696861139139846
FOP1_L,3.914755899109244
FOP3_L,4.133538857669325
FOP2_L,3.93306487655652
PFt_L,4.635312914008784
AIP_L,5.324321746163144
EC_L,4.676480548947124
PreS_L,4.566002150831904
H_L,4.694039078725157
ProS_L,4.943957883528903
PeEc_L,4.961095399061288
STGa_L,4.47246441555156
PBelt_L,4.8184721481360455
A5_L,4.652427317542371
PHA1_L,5.056482028800781
PHA3_L,5.526719288861635
STSda_L,4.800950265570891
STSdp_L,5.390044905544408
STSvp_L,4.825066292927272
TGd_L,4.646955167104413
TE1a_L,5.082514558312689
TE1p_L,4.826486213308607
TE2a_L,6.006628706161667
TF_L,4.936998872041473
TE2p_L,5.797262846974743
PHT_L,4.448687002800159
PH_L,4.648292889117757
TPOJ1_L,5.296590384510465
TPOJ2_L,4.978280442644003
TPOJ3_L,6.234404385850563
DVT_L,4.720511928428139
PGp_L,4.572218020834647
IP2_L,5.249123777727275
IP1_L,5.672015277176575
IP0_L,5.335100203558123
PFop_L,4.25327980260264
PF_L,3.958048409857109
PFm_L,4.05304497734608
PGi_L,4.304609659122878
PGs_L,4.2934284290498805
V6A_L,6.3588538229827725
VMV1_L,5.317127247161831
VMV3_L,5.638599797108828
PHA2_L,5.46093002515513
V4t_L,5.769075087372271
FST_L,5.029814229047061
V3CD_L,5.708371863038717
LO3_L,5.581038345618486
VMV2_L,5.547284767656248
31pd_L,4.9636662719807925
31a_L,4.773910796994958
VVC_L,5.185257042275674
25_L,5.687018815912415
s32_L,5.826110201798075
pOFC_L,5.542296135804572
PoI1_L,4.043234503208789
Ig_L,4.391450736147659
FOP5_L,3.86806308342289
p10p_L,5.745327982645907
p47r_L,4.597444652867335
TGv_L,5.932734486007916
MBelt_L,4.39438783113254
LBelt_L,4.874069684589693
A4_L,4.415538685156844
STSva_L,4.708418090927291
TE1m_L,6.031854270684431
PI_L,4.186940973333424
a32pr_L,4.63718685707746
p24_L,4.417719283589011
V1_R,3.863139857385201
MST_R,5.00952206727033
V6_R,4.839305384393911
V2_R,3.985292508004061
V3_R,3.90928836352962
V4_R,4.167140135836148
V8_R,5.357093034436887
4_R,4.152898628680478
3b_R,4.208742042955381
FEF_R,4.798866030265763
PEF_R,5.4493585464143885
55b_R,5.159726636383218
V3A_R,3.87575995894085
RSC_R,4.259741508441305
POS2_R,4.443421302069469
V7_R,5.2159036708219375
IPS1_R,4.738233977693629
FFC_R,5.143252268596303
V3B_R,4.492821038284616
LO1_R,4.849671852042521
LO2_R,4.914634579429844
PIT_R,5.063928001490616
MT_R,4.811926778050935
A1_R,4.033866229881127
PSL_R,3.7992724953889954
SFL_R,5.055926764287438
PCV_R,4.741406757635306
STV_R,4.725164043328975
7Pm_R,5.023884656291319
7m_R,4.642414775351019
POS1_R,4.832192716913683
23d_R,4.278239899555813
v23ab_R,5.29003921388272
d23ab_R,5.164181611733367
31pv_R,4.932886535671967
5m_R,4.865921625447913
5mv_R,4.949251922353408
23c_R,4.513586535281969
5L_R,4.807763283600694
24dd_R,4.258245084044835
24dv_R,4.556008749615048
7AL_R,4.530653770656374
SCEF_R,4.738296827906067
6ma_R,5.0575327862782
7Am_R,4.6901205601360925
7Pl_R,5.026866153546945
7PC_R,4.519402086198418
LIPv_R,5.050869384225537
VIP_R,4.987926452820193
MIP_R,4.899502124304139
1_R,4.108313299394722
2_R,4.136255004108418
3a_R,3.792360069354289
6d_R,4.660563692148574
6mp_R,4.814010065434738
6v_R,5.217225172879896
p24pr_R,4.47424130994046
33pr_R,4.361708241014552
a24pr_R,4.511284830230917
p32pr_R,4.638657090177232
a24_R,4.178729454645614
d32_R,4.471601522697459
8BM_R,4.566655598812483
p32_R,4.46297946297707
10r_R,5.028123468806647
47m_R,4.555217309403659
8Av_R,4.805042837713818
8Ad_R,5.0085778956826585
9m_R,4.744621563968778
8BL_R,5.057880736382084
9p_R,5.721302405120455
10d_R,5.844625580638343
8C_R,4.917941982497041
44_R,4.973608179878431
45_R,6.5559257809499005
47l_R,5.224524187555361
a47r_R,4.3014418783635415
6r_R,4.509268177018607
IFJa_R,5.1498052876803975
IFJp_R,5.197482533025688
IFSp_R,5.5382783401006
IFSa_R,5.131652981385564
p9-46v_R,5.191378936719796
46_R,4.839794650623771
a9-46v_R,5.4196551687758445
9-46d_R,5.090590737417828
9a_R,5.835092323182368
10v_R,4.810792724954889
a10p_R,5.2610686976899705
10pp_R,5.928658300867198
11l_R,4.567095914308526
13l_R,5.018296604076739
OFC_R,4.558673492480511
47s_R,4.489654286419434
LIPd_R,4.75580260527944
6a_R,4.702974362569399
i6-8_R,5.146171595555753
s6-8_R,5.362540223775918
43_R,4.901771502765036
OP4_R,4.502243544572739
OP1_R,4.428722599035206
OP2-3_R,4.207624510044817
52_R,4.698726557426098
RI_R,4.533496965482646
PFcm_R,4.207229720725501
PoI2_R,3.945906145895296
TA2_R,4.544098135700843
FOP4_R,3.931329827511042
MI_R,3.5509173957680065
Pir_R,4.03519580469067
AVI_R,3.509315267033492
AAIC_R,3.545500868340075
FOP1_R,4.5881848667675325
FOP3_R,4.001763882109913
FOP2_R,4.3905455012661445
PFt_R,4.055165321912011
AIP_R,4.180239817381692
EC_R,4.790066027479566
PreS_R,4.441906017367847
H_R,4.579656737545584
ProS_R,4.9496465919987
PeEc_R,4.951741457822669
STGa_R,4.899443555071194
PBelt_R,4.660623330101328
A5_R,4.595626636034452
PHA1_R,5.299593992559491
PHA3_R,5.710458372340152
STSda_R,4.789066035556322
STSdp_R,4.382417855823976
STSvp_R,4.582466871818132
TGd_R,4.549227584820948
TE1a_R,5.961450174134324
TE1p_R,5.45092903346569
TE2a_R,5.944449980209956
TF_R,4.5075590430593735
TE2p_R,6.137537874980879
PHT_R,4.189503201519724
PH_R,4.763418306817044
TPOJ1_R,4.284942851666477
TPOJ2_R,4.330197106088503
TPOJ3_R,4.327476214250078
DVT_R,4.662757060457141
PGp_R,3.8093797599131207
IP2_R,4.450677175827977
IP1_R,4.794539071639201
IP0_R,5.709521014710509
PFop_R,4.4262183337031065
PF_R,3.829304405082665
PFm_R,3.6684496400739066
PGi_R,3.5753863571792186
PGs_R,3.795147652333729
V6A_R,5.035965734821406
VMV1_R,5.665290259324041
VMV3_R,5.773013073212828
PHA2_R,5.691417979861723
V4t_R,4.805351449871783
FST_R,4.4794390042559815
V3CD_R,4.251212387900676
LO3_R,4.3640684904960665
VMV2_R,5.500692577099262
31pd_R,5.065305209370307
31a_R,5.10556772184267
VVC_R,5.186796826499646
25_R,5.363407742286358
s32_R,5.969889711650436
pOFC_R,5.188957704203455
PoI1_R,3.89048360011501
Ig_R,4.124782527164509
FOP5_R,4.135703687641219
p10p_R,5.229448386128094
p47r_R,5.064394759455601
TGv_R,5.536231278689004
MBelt_R,4.249701129867713
LBelt_R,4.538795114449084
A4_R,4.599491696817733
STSva_R,4.443729685977183
TE1m_R,6.573782273609174
PI_R,4.492757872036693
a32pr_R,4.668206689286765
p24_R,3.937700158754054
