region,rtap_intersubject_cov
IP2_R,3.910719668652823
IP1_R,3.657136242442725
IP0_R,3.421648627489159
PFop_R,3.822988783402479
PF_R,3.362892868939756
PFm_R,3.0562474134756505
PGi_R,2.810310435699386
PGs_R,3.308447462050208
V6A_R,4.591201344746377
VMV1_R,3.3871293815765964
VMV3_R,4.491917133851544
PHA2_R,3.88780561937603
V4t_R,3.6232976858535055
FST_R,3.600300899972732
V3CD_R,3.3432592657851083
LO3_R,3.87098363033978
VMV2_R,4.532456862025737
31pd_R,3.201315634871664
31a_R,3.610928310299252
VVC_R,3.644978673188236
25_R,4.369964025241339
s32_R,5.192978915580903
pOFC_R,4.200900760872985
PoI1_R,3.424148706850217
Ig_R,3.199298656943623
FOP5_R,3.4859563636954536
p10p_R,3.5994681981158267
p47r_R,4.031180256723515
TGv_R,3.362621071379296
MBelt_R,3.4119156498366285
LBelt_R,3.868653446537144
A4_R,3.9058586204352577
STSva_R,3.902358935401948
TE1m_R,4.158506814645864
PI_R,3.3108537769927544
a32pr_R,3.1400670004119684
p24_R,3.709963107547604
