region,SV2A
lh.bankssts,-1.0733423459618874
lh.caudalanteriorcingulate,0.5972626240911006
lh.caudalmiddlefrontal,-0.8837613827032614
lh.cuneus,-1.3694582701474427
lh.entorhinal,-1.455092337970442
lh.fusiform,-1.667413310038271
lh.inferiorparietal,-1.683459581256311
lh.inferiortemporal,0.1435331113934973
lh.isthmuscingulate,-1.6821764853259222
lh.lateraloccipital,0.9470355971467536
lh.lateralorbitofrontal,0.1034743043119127
lh.lingual,1.046519242311838
lh.medialorbitofrontal,-1.6386188606981895
lh.middletemporal,1.1340149623002227
lh.parahippocampal,1.1099321897634424
lh.paracentral,-0.4288502550562352
lh.parsopercularis,-1.5591718531663534
lh.parsorbitalis,-1.0254730700983337
lh.parstriangularis,-1.001113150139289
lh.pericalcarine,-1.212967724837156
lh.postcentral,-1.0550519946419217
lh.posteriorcingulate,-0.4329962328296197
lh.precentral,0.6032806106894414
lh.precuneus,1.6074845835190683
lh.rostralanteriorcingulate,0.6579473083509161
lh.rostralmiddlefrontal,0.1692240226971149
lh.superiorfrontal,-1.600785322510574
lh.superiorparietal,-0.7673044289399913
lh.superiortemporal,-1.521338797184989
lh.supramarginal,1.1590009898332034
lh.frontalpole,0.0319788555195637
lh.temporalpole,1.2683491452164302
lh.transversetemporal,1.950170343299856
lh.insula,-0.4987124666493206
rh.bankssts,-0.2654442803827373
rh.caudalanteriorcingulate,-0.0805321813277946
rh.caudalmiddlefrontal,-0.4399587774523019
rh.cuneus,-1.0709031635502506
rh.entorhinal,-0.4417500426012605
rh.fusiform,0.0392555206769344
rh.inferiorparietal,0.3349684083775944
rh.inferiortemporal,1.5025536866005411
rh.isthmuscingulate,-1.1367726630774482
rh.lateraloccipital,-0.4739888069270623
rh.lateralorbitofrontal,0.1252828700410224
rh.lingual,0.3488192644718925
rh.medialorbitofrontal,1.075953107501446
rh.middletemporal,-0.0025496226956585
rh.parahippocampal,1.1923762829781377
rh.paracentral,0.1696896489907214
rh.parsopercularis,1.3921212718185365
rh.parsorbitalis,1.896754613651385
rh.parstriangularis,0.1776323615247753
rh.pericalcarine,0.230380140784393
rh.postcentral,-0.4739091419557273
rh.posteriorcingulate,0.4504545597230281
rh.precentral,0.96590599319376
rh.precuneus,2.1846514120797016
rh.rostralanteriorcingulate,0.324704906516902
rh.rostralmiddlefrontal,0.3911486471829279
rh.superiorfrontal,-0.6532615639211979
rh.superiorparietal,0.3008740926722438
rh.superiortemporal,0.8327418498043954
rh.supramarginal,0.8011926379525338
rh.frontalpole,-1.780032960225253
rh.temporalpole,0.6029176028795402
rh.transversetemporal,-0.0360745195107958
rh.insula,0.1821713835329689
