region,megbeta
TE1a_L,0.079515606
TE1p_L,0.083536856
TE2a_L,0.07965656
TF_L,0.08251096
TE2p_L,0.08284389
PHT_L,0.08354812
PH_L,0.08240029
TPOJ1_L,0.08917905
TPOJ2_L,0.0867669
TPOJ3_L,0.08644735
DVT_L,0.09692339
PGp_L,0.09007246
IP2_L,0.11502604
IP1_L,0.10822088
IP0_L,0.10172282
PFop_L,0.1038479
PF_L,0.10997246
PFm_L,0.11024877
PGi_L,0.095956214
PGs_L,0.09977707
V6A_L,0.10193188
VMV1_L,0.08633118
VMV3_L,0.08300292
PHA2_L,0.085489556
V4t_L,0.08512325
FST_L,0.08283092
V3CD_L,0.08829594
LO3_L,0.08629936
VMV2_L,0.08528425
31pd_L,0.1056925
31a_L,0.10913291
VVC_L,0.08325119
25_L,0.08307098
s32_L,0.087912574
pOFC_L,0.084960304
PoI1_L,0.086980134
Ig_L,0.08794469
FOP5_L,0.09911218
p10p_L,0.094789214
p47r_L,0.09637568
TGv_L,0.08022445
MBelt_L,0.086863235
LBelt_L,0.08722851
A4_L,0.08571611
STSva_L,0.07921031
TE1m_L,0.08270929
PI_L,0.086170815
a32pr_L,0.0983564
p24_L,0.09607375
V1_R,0.08173791
MST_R,0.08558177
V6_R,0.096304625
V2_R,0.08377434
V3_R,0.083637334
V4_R,0.08385089
V8_R,0.08251369
4_R,0.12301581
3b_R,0.12396593
FEF_R,0.11736685
PEF_R,0.11362557
55b_R,0.115660414
V3A_R,0.09140342
RSC_R,0.10622313
POS2_R,0.09611177
V7_R,0.101884075
IPS1_R,0.10823639
FFC_R,0.08333951
V3B_R,0.09772319
LO1_R,0.08512981
LO2_R,0.08776307
PIT_R,0.08538565
MT_R,0.08656152
A1_R,0.08996627
PSL_R,0.10371354
SFL_R,0.10376037
PCV_R,0.108589634
STV_R,0.100610636
7Pm_R,0.10567456
7m_R,0.10221041
POS1_R,0.0942317
23d_R,0.11172482
v23ab_R,0.102223955
d23ab_R,0.10978271
31pv_R,0.1076822
5m_R,0.12067522
5mv_R,0.115374945
23c_R,0.11295246
5L_R,0.11912039
24dd_R,0.11527951
24dv_R,0.10913531
7AL_R,0.12004514
SCEF_R,0.10951348
6ma_R,0.11068159
7Am_R,0.111347444
7Pl_R,0.10680353
7PC_R,0.12174427
LIPv_R,0.11613347
VIP_R,0.11542604
MIP_R,0.11117985
1_R,0.12688681
2_R,0.12331303
3a_R,0.11955535
6d_R,0.12956625
6mp_R,0.118487395
6v_R,0.114940874
p24pr_R,0.10868989
33pr_R,0.10405125
a24pr_R,0.10018909
p32pr_R,0.10375878
a24_R,0.09361884
d32_R,0.09850158
8BM_R,0.10135461
p32_R,0.09346775
10r_R,0.09231163
47m_R,0.0915424
8Av_R,0.11170193
8Ad_R,0.105069615
9m_R,0.09632651
8BL_R,0.098735444
9p_R,0.09896758
10d_R,0.095545515
8C_R,0.109266
44_R,0.10353457
45_R,0.10093177
47l_R,0.09768832
a47r_R,0.09526687
6r_R,0.10671774
IFJa_R,0.11035728
IFJp_R,0.11109232
IFSp_R,0.10781421
IFSa_R,0.10208513
p9-46v_R,0.10674948
46_R,0.104322135
a9-46v_R,0.10246972
9-46d_R,0.10081889
9a_R,0.09806025
10v_R,0.08537834
a10p_R,0.09654978
10pp_R,0.09084241
11l_R,0.09232611
13l_R,0.08733034
OFC_R,0.083698116
47s_R,0.091000445
LIPd_R,0.11288563
6a_R,0.115204796
i6-8_R,0.11271391
s6-8_R,0.10573262
43_R,0.09859723
OP4_R,0.099073194
OP1_R,0.10162416
OP2-3_R,0.09965978
52_R,0.088973075
RI_R,0.09797443
PFcm_R,0.105530106
PoI2_R,0.08616728
TA2_R,0.08750505
FOP4_R,0.09637821
MI_R,0.086581744
Pir_R,0.08051569
AVI_R,0.09060094
AAIC_R,0.08567856
FOP1_R,0.09742883
FOP3_R,0.09380269
FOP2_R,0.09747007
PFt_R,0.12226434
AIP_R,0.11795665
EC_R,0.08234687
PreS_R,0.084527634
H_R,0.08415077
ProS_R,0.08916993
PeEc_R,0.08124843
STGa_R,0.08458348
PBelt_R,0.09022982
A5_R,0.086007796
PHA1_R,0.085183956
PHA3_R,0.08442376
STSda_R,0.083413295
STSdp_R,0.085586876
STSvp_R,0.0865146
TGd_R,0.08344531
