region,fcgradient02
V1_L,3.2610888
MST_L,4.2558756
V6_L,4.2009983
V2_L,4.199005
V3_L,4.382148
V4_L,4.9195623
V8_L,5.520808
4_L,-2.5754678
3b_L,-2.6567323
FEF_L,0.67635286
PEF_L,1.0341626
55b_L,-0.77792996
V3A_L,4.821944
RSC_L,0.053124998
POS2_L,0.10984215
V7_L,5.0289955
IPS1_L,4.150164
FFC_L,4.0319505
V3B_L,5.324963
LO1_L,5.297256
LO2_L,5.1457787
PIT_L,4.990579
MT_L,4.2548685
A1_L,-1.1919136
PSL_L,-0.83867407
SFL_L,-0.5406328
PCV_L,1.2034751
STV_L,0.10899164
7Pm_L,0.511116
7m_L,-0.05205764
POS1_L,0.47119635
23d_L,-0.20522535
v23ab_L,-0.058695257
d23ab_L,-0.08926482
31pv_L,-0.144001
5m_L,-2.7387614
5mv_L,-1.0651385
23c_L,-0.18320449
5L_L,-2.367898
24dd_L,-2.422485
24dv_L,-2.2125788
7AL_L,-0.92224205
SCEF_L,-1.0281955
6ma_L,-0.3523525
7Am_L,0.3150585
7Pl_L,1.2488978
7PC_L,-0.62064445
LIPv_L,4.259309
VIP_L,3.1182275
MIP_L,1.7970377
1_L,-2.7398965
2_L,-2.3199303
3a_L,-2.4947112
6d_L,-2.4837189
6mp_L,-2.468573
6v_L,-1.7136477
p24pr_L,-0.98964804
33pr_L,-0.018860567
a24pr_L,-0.9164609
p32pr_L,-0.8679047
a24_L,-0.17985818
d32_L,-0.21351904
8BM_L,0.043316368
p32_L,-0.14829762
10r_L,-0.07457343
47m_L,0.19537997
8Av_L,-0.15382749
8Ad_L,-0.009603164
9m_L,-0.23145485
8BL_L,-0.22272687
9p_L,-0.20580171
10d_L,-0.12310402
8C_L,0.048912477
44_L,-0.2207478
45_L,-0.25052595
47l_L,-0.25452158
a47r_L,-0.02185758
6r_L,0.007084976
IFJa_L,0.3175842
IFJp_L,0.9057251
IFSp_L,0.30563504
IFSa_L,0.51779044
p9-46v_L,0.40688097
46_L,-0.19538754
a9-46v_L,0.0030823937
9-46d_L,-0.24963287
9a_L,-0.24134558
10v_L,-0.1648886
a10p_L,-0.116361216
10pp_L,-0.16616134
11l_L,0.011903699
13l_L,0.12831531
OFC_L,-0.04088467
47s_L,-0.22921097
LIPd_L,1.6242129
6a_L,0.19671577
i6-8_L,0.21704799
s6-8_L,0.017095445
43_L,-1.6876104
OP4_L,-2.0708785
OP1_L,-2.5469809
OP2-3_L,-2.0277216
52_L,-1.4339725
RI_L,-1.8321418
PFcm_L,-1.5317143
PoI2_L,-1.4378028
TA2_L,-1.4302641
FOP4_L,-0.62603366
MI_L,-0.5571141
Pir_L,-0.65810025
AVI_L,-0.1695931
AAIC_L,-0.57846636
FOP1_L,-1.3779846
FOP3_L,-1.062721
FOP2_L,-1.973895
PFt_L,-0.2444514
AIP_L,0.6693911
EC_L,-0.18902579
PreS_L,0.5920965
H_L,-0.5131035
ProS_L,3.2005906
PeEc_L,1.1111615
STGa_L,-0.42539483
PBelt_L,-1.5723529
A5_L,-0.99103785
PHA1_L,1.681633
PHA3_L,2.5460193
STSda_L,-0.15930206
STSdp_L,-0.30730867
STSvp_L,-0.20597899
TGd_L,-0.14257967
TE1a_L,-0.19437863
TE1p_L,0.21912825
TE2a_L,0.022318145
TF_L,0.87473565
TE2p_L,1.3807805
PHT_L,0.5456424
PH_L,3.2653618
TPOJ1_L,0.031273123
TPOJ2_L,1.0531237
TPOJ3_L,2.4531095
DVT_L,3.1346097
PGp_L,2.2452998
