region,thick_IV
LBelt_L,0.1939498870810122
A4_L,0.2102599405955452
STSva_L,0.2253995834533698
TE1m_L,0.1928294250345604
PI_L,0.2070377361518387
a32pr_L,0.2077708204363955
p24_L,0.1963646615423992
V1_R,0.1969402498906511
MST_R,0.2187107926777217
V6_R,0.202386978333842
V2_R,0.1875749885944587
V3_R,0.2028004164218925
V4_R,0.1951186563377886
V8_R,0.1948856848403267
4_R,0.1949039160951817
3b_R,0.1936921325855382
FEF_R,0.2021031124066874
PEF_R,0.1934129476695438
55b_R,0.2074516656001527
V3A_R,0.1826683885321147
RSC_R,0.1951438523401321
POS2_R,0.1834619412919935
V7_R,0.2030763375116665
IPS1_R,0.1715938794242217
FFC_R,0.1989409396119039
V3B_R,0.1806557187223923
LO1_R,0.2125123180710911
LO2_R,0.2037306517151862
PIT_R,0.2160502342051306
MT_R,0.186769132727413
A1_R,0.1804431357554963
PSL_R,0.2190795305052673
SFL_R,0.1949563775519354
PCV_R,0.2156556597008138
STV_R,0.2079494403371746
7Pm_R,0.214430922418102
7m_R,0.1987627190589631
POS1_R,0.2040162772620451
23d_R,0.175229861698295
v23ab_R,0.1923492576739202
d23ab_R,0.1922620773275794
31pv_R,0.1951917761756018
5m_R,0.1801177353451951
5mv_R,0.2000460996396237
23c_R,0.2012813627004606
5L_R,0.2011638941573882
24dd_R,0.1898934484163962
24dv_R,0.2098805973524516
7AL_R,0.1881471451084438
SCEF_R,0.1955300176679791
6ma_R,0.1983156947528175
7Am_R,0.2027948491348965
7Pl_R,0.2158920614271296
7PC_R,0.1819859929227061
LIPv_R,0.1854588229689615
VIP_R,0.200623633324205
MIP_R,0.2042509493683245
1_R,0.1884349748017227
2_R,0.1970065905401033
3a_R,0.1933624100457326
6d_R,0.1971897171512737
6mp_R,0.1967409667611913
6v_R,0.2044357363383301
p24pr_R,0.1815193837406838
33pr_R,0.1842096961686266
a24pr_R,0.1819837723209001
p32pr_R,0.1847479990811327
a24_R,0.2024948903673105
d32_R,0.1869653865187498
8BM_R,0.1789598777917677
p32_R,0.1956176477753425
10r_R,0.2117445779569102
47m_R,0.2130080545820527
8Av_R,0.1915925067471117
8Ad_R,0.1866329396389373
9m_R,0.1958300859151989
8BL_R,0.2017607020167912
9p_R,0.1819043656700725
10d_R,0.176882123585124
8C_R,0.2070981245275602
44_R,0.1837996725773447
45_R,0.1940826246617601
47l_R,0.1823827619108997
a47r_R,0.1902654770878799
6r_R,0.1945144345777022
IFJa_R,0.1890808217173003
IFJp_R,0.2031697707231891
IFSp_R,0.2046298616769805
IFSa_R,0.1993289842538287
p9-46v_R,0.2108137442152609
46_R,0.1874682440428012
a9-46v_R,0.1866658526358206
9-46d_R,0.1891902578040145
9a_R,0.1984796739848905
10v_R,0.2088743576600812
a10p_R,0.1891924475942248
10pp_R,0.1927440742923281
11l_R,0.1849234197222774
13l_R,0.1903355183271225
OFC_R,0.2023924702855439
47s_R,0.1984415142577475
LIPd_R,0.1938196973097453
6a_R,0.1957667016285051
i6-8_R,0.1913604030828834
s6-8_R,0.1795786313750716
43_R,0.1970094678678944
OP4_R,0.1895254448772839
OP1_R,0.193537471249608
OP2-3_R,0.1941157106428949
52_R,0.1953218787403164
RI_R,0.1912555352227906
PFcm_R,0.2015673704346652
PoI2_R,0.1902401621106778
TA2_R,0.1890459759608539
FOP4_R,0.183165342506281
MI_R,0.2012346896622419
Pir_R,0.200173715027546
AVI_R,0.1782480835581245
AAIC_R,0.1810210211096423
FOP1_R,0.1837170440517868
FOP3_R,0.2136953988990999
FOP2_R,0.2045775947672782
PFt_R,0.1885099183011737
AIP_R,0.2034330962824346
EC_R,0.2081965684212888
PreS_R,0.2208488853974494
H_R,0.1958786616905309
ProS_R,0.1891890228055863
PeEc_R,0.2095964727991734
STGa_R,0.2024422772136239
PBelt_R,0.1965254038382231
A5_R,0.1930203240436371
PHA1_R,0.2221518435164793
PHA3_R,0.2104788396256878
STSda_R,0.208393656443015
STSdp_R,0.199286481939691
STSvp_R,0.2215804099416273
TGd_R,0.18996798013431
TE1a_R,0.1955858676979553
TE1p_R,0.2070713828548407
TE2a_R,0.2029456426034289
TF_R,0.2148873697662375
TE2p_R,0.1932001450246889
PHT_R,0.1931500767652467
PH_R,0.2020866264526392
TPOJ1_R,0.1996882491350575
TPOJ2_R,0.1989603194454337
TPOJ3_R,0.1883376822187826
DVT_R,0.1775010659255654
PGp_R,0.1921961631158106
IP2_R,0.1853723188337172
IP1_R,0.1822107569363866
IP0_R,0.1962393307902654
PFop_R,0.1860034825131245
PF_R,0.2026312282004533
PFm_R,0.1905539689568708
PGi_R,0.1956839342222829
PGs_R,0.2079549447438656
V6A_R,0.1879375755945914
VMV1_R,0.205109587459669
VMV3_R,0.1724949798817034
PHA2_R,0.22764052907848
V4t_R,0.2303615505056679
FST_R,0.2036544948643023
V3CD_R,0.1953815645568891
LO3_R,0.2086036704700848
VMV2_R,0.192282992338314
31pd_R,0.1850279364237341
31a_R,0.1709587843587051
VVC_R,0.1891859859671679
25_R,0.2004358981425247
s32_R,0.2350224219581775
pOFC_R,0.1994479696987419
PoI1_R,0.1936494338575651
Ig_R,0.1822663628486676
FOP5_R,0.2109922773906006
p10p_R,0.2040850705424249
p47r_R,0.2102955785854235
TGv_R,0.1999422072357829
MBelt_R,0.2245107305151721
LBelt_R,0.2098768148155765
A4_R,0.1916454874217642
STSva_R,0.1903045294545737
TE1m_R,0.2270023978439803
PI_R,0.1916315508033124
a32pr_R,0.1873619165260384
p24_R,0.1896708556369616
