region,thick_IV
V1_L,0.2068666674527762
MST_L,0.1822140957394227
V6_L,0.1893665849276853
V2_L,0.1959946483354487
V3_L,0.2000677051180593
V4_L,0.1906933429660454
V8_L,0.2154599133539354
4_L,0.1973849626367813
3b_L,0.191377105237461
FEF_L,0.1844868188848079
PEF_L,0.2084156638658876
55b_L,0.2012750362086909
V3A_L,0.1892516256568865
RSC_L,0.1927072030731223
POS2_L,0.2052728813347757
V7_L,0.198525439134671
IPS1_L,0.207800919418447
FFC_L,0.1904336949269146
V3B_L,0.1901810236909217
LO1_L,0.1695521901931119
LO2_L,0.20935680720928
PIT_L,0.2181499128925314
MT_L,0.2118615927215859
A1_L,0.2262573540051869
PSL_L,0.2063859546406019
SFL_L,0.1950813124232033
PCV_L,0.1934246616860029
STV_L,0.1859933199047232
7Pm_L,0.1882750969485277
7m_L,0.196934449956619
POS1_L,0.2006924568106594
23d_L,0.1986845025485182
v23ab_L,0.202329080576975
d23ab_L,0.2011917425645061
31pv_L,0.1944147860271713
5m_L,0.1800614500316273
5mv_L,0.1999492047262923
23c_L,0.2032030578052901
5L_L,0.2121920163792615
24dd_L,0.1898545352317751
24dv_L,0.1966548510540668
7AL_L,0.1987421420723437
SCEF_L,0.1919816244162955
6ma_L,0.211056127528486
7Am_L,0.204452754006182
7Pl_L,0.191168921239681
7PC_L,0.1962208878858017
LIPv_L,0.1929549891552575
VIP_L,0.1945341466817686
MIP_L,0.1967777956263044
1_L,0.1949854822469085
2_L,0.1950441435064208
3a_L,0.1936715273555362
6d_L,0.1933235387577509
6mp_L,0.1949467963766838
6v_L,0.1983096593903077
p24pr_L,0.2089167379269671
33pr_L,0.1938500156891137
a24pr_L,0.2145568107901485
p32pr_L,0.1944449675093646
a24_L,0.1885105720405054
d32_L,0.1846591192076803
8BM_L,0.1925798456704373
p32_L,0.2020931283749164
10r_L,0.192419004733944
47m_L,0.2072907680231647
8Av_L,0.2100161627538798
8Ad_L,0.2004710197323334
9m_L,0.190127296842052
8BL_L,0.2057146508912058
9p_L,0.1880279027451398
10d_L,0.2033731181931385
8C_L,0.1844906388849471
44_L,0.2044808495327041
45_L,0.1996997167788644
47l_L,0.1954328039112609
a47r_L,0.2036289253782566
6r_L,0.2039937990804146
IFJa_L,0.1939269106392931
IFJp_L,0.1932987284485653
IFSp_L,0.2249937871934242
IFSa_L,0.2019951467398903
p9-46v_L,0.1990171712826082
46_L,0.1946984903479273
a9-46v_L,0.1890099252512186
9-46d_L,0.2006361170010576
9a_L,0.1967316391509887
10v_L,0.195939043718762
a10p_L,0.2079448571451086
10pp_L,0.1960865639148597
11l_L,0.2038442807017226
13l_L,0.2072733689340953
OFC_L,0.2085392543559291
47s_L,0.2003902733690781
LIPd_L,0.1928312301236908
6a_L,0.1997405110160179
i6-8_L,0.1821035043483389
s6-8_L,0.1943291517499367
43_L,0.1920291811801748
OP4_L,0.1988165446125634
OP1_L,0.2014381709176228
OP2-3_L,0.2043147031611122
52_L,0.2173096699699793
RI_L,0.1888569771288753
PFcm_L,0.1967728747920283
PoI2_L,0.1980124857750972
TA2_L,0.2064571032716193
FOP4_L,0.2015360907609307
MI_L,0.2116264155896062
Pir_L,0.1959735752739772
AVI_L,0.1975017512686508
AAIC_L,0.1955189092089472
FOP1_L,0.200359961331216
FOP3_L,0.1870841414977793
FOP2_L,0.1938612455027817
PFt_L,0.2061880733802943
AIP_L,0.199018560568793
EC_L,0.2066498228442623
PreS_L,0.2358267823810345
H_L,0.2095119822476429
ProS_L,0.1920187122136134
PeEc_L,0.2076248708212459
STGa_L,0.1899146840132171
PBelt_L,0.1971461789156851
A5_L,0.2055579293319214
PHA1_L,0.2173037943617667
PHA3_L,0.2385745681367742
STSda_L,0.1891741142785184
STSdp_L,0.2283057826203399
STSvp_L,0.2023205316682204
TGd_L,0.20327167281692
TE1a_L,0.1971212082410057
TE1p_L,0.1896140664148421
TE2a_L,0.2091799452695438
TF_L,0.2138828334707058
TE2p_L,0.2164191818479974
PHT_L,0.1907181050226923
PH_L,0.2160637109061173
TPOJ1_L,0.1936220599592166
TPOJ2_L,0.2290429069825564
TPOJ3_L,0.1905637995605799
DVT_L,0.1938348323298613
PGp_L,0.1848600360106291
IP2_L,0.2057673348368725
IP1_L,0.2164895275583627
IP0_L,0.1924095322100977
PFop_L,0.1979954633086275
PF_L,0.1994257296073432
PFm_L,0.1949183561007503
PGi_L,0.2015885053788566
PGs_L,0.1947075774678829
V6A_L,0.1936195381658441
VMV1_L,0.1975950954570132
VMV3_L,0.1932037712351826
PHA2_L,0.1975004881743616
V4t_L,0.2273102242281944
FST_L,0.1813299273536066
V3CD_L,0.1782082855928264
LO3_L,0.200931771844067
VMV2_L,0.185809708718957
31pd_L,0.1956155780533262
31a_L,0.1982776126986657
VVC_L,0.1797830633924977
25_L,0.1883803890777173
s32_L,0.1908599717478389
pOFC_L,0.1913399878346157
PoI1_L,0.187223003307979
Ig_L,0.2095744010436541
FOP5_L,0.2207583791857092
p10p_L,0.2035822075099473
p47r_L,0.1952339911832793
TGv_L,0.1848864857055709
MBelt_L,0.1990912795821078
