region,fcgradient01
V1_L,-3.0806272
MST_L,-4.083031
V6_L,-4.4502363
V2_L,-3.9039483
V3_L,-3.9229193
V4_L,-3.9903724
V8_L,-4.2486024
4_L,-5.0413933
3b_L,-5.0481725
FEF_L,-2.2127259
PEF_L,-1.3765262
55b_L,1.3315579
V3A_L,-4.4433517
RSC_L,2.4331262
POS2_L,3.3196943
V7_L,-4.402221
IPS1_L,-3.5413525
FFC_L,-2.9336274
V3B_L,-4.2170544
LO1_L,-4.2078743
LO2_L,-4.023727
PIT_L,-3.8806438
MT_L,-4.0751243
A1_L,-3.7021117
PSL_L,0.49395725
SFL_L,4.1564713
PCV_L,-0.7244019
STV_L,-0.8024461
7Pm_L,2.9387958
7m_L,6.0137196
POS1_L,4.155837
23d_L,4.7415547
v23ab_L,5.961439
d23ab_L,6.0186434
31pv_L,6.351262
5m_L,-5.1844125
5mv_L,-3.8047502
23c_L,-2.0133235
5L_L,-4.9334245
24dd_L,-5.16966
24dv_L,-4.588174
7AL_L,-3.9493551
SCEF_L,-2.4703102
6ma_L,-0.91643786
7Am_L,-1.8246387
7Pl_L,-1.0961823
7PC_L,-4.526019
LIPv_L,-3.9171464
VIP_L,-3.8540006
MIP_L,-1.0844778
1_L,-5.251577
2_L,-5.1266074
3a_L,-4.9652567
6d_L,-5.1946974
6mp_L,-4.990199
6v_L,-4.2622633
p24pr_L,-1.8291544
33pr_L,0.11107856
a24pr_L,-2.4995093
p32pr_L,-2.3707535
a24_L,5.204922
d32_L,5.451939
8BM_L,4.894382
p32_L,4.249858
10r_L,5.7519197
47m_L,4.216859
8Av_L,6.4525247
8Ad_L,5.590882
9m_L,6.3099976
8BL_L,6.4665737
9p_L,6.110943
10d_L,6.189964
8C_L,5.4442053
44_L,4.508291
45_L,5.142705
47l_L,5.6924644
a47r_L,5.886206
6r_L,-1.2027327
IFJa_L,1.6149347
IFJp_L,1.8430259
IFSp_L,3.6180692
IFSa_L,1.319404
p9-46v_L,3.0166628
46_L,-0.6693045
a9-46v_L,3.4813733
9-46d_L,0.61857355
9a_L,5.903344
10v_L,6.2306595
a10p_L,5.7681794
10pp_L,6.2489033
11l_L,2.3615487
13l_L,3.0536044
OFC_L,5.3886213
47s_L,5.5798326
LIPd_L,0.33218455
6a_L,-1.9092727
i6-8_L,4.9622297
s6-8_L,5.35039
43_L,-3.8065002
OP4_L,-4.3381243
OP1_L,-5.088805
OP2-3_L,-4.3573294
52_L,-3.4489112
RI_L,-4.113169
PFcm_L,-3.7614255
PoI2_L,-3.4516594
TA2_L,-3.2175534
FOP4_L,-1.3953208
MI_L,-1.3742863
Pir_L,-2.7191095
AVI_L,1.8888125
AAIC_L,0.45844015
FOP1_L,-3.3200343
FOP3_L,-2.9186208
FOP2_L,-4.448828
PFt_L,-3.0875776
AIP_L,-2.0302787
EC_L,3.058715
PreS_L,0.8608244
H_L,0.7037572
ProS_L,-3.0937574
PeEc_L,-0.050173208
STGa_L,1.3024447
PBelt_L,-3.484122
A5_L,-1.6040268
PHA1_L,1.152817
PHA3_L,-0.92096484
STSda_L,2.3443472
STSdp_L,2.620613
STSvp_L,6.0289164
TGd_L,4.7674494
TE1a_L,6.464191
TE1p_L,5.1823335
