region,thick_V
V1_L,0.432208457769275
MST_L,0.4452103789686216
V6_L,0.4521006629375625
V2_L,0.4344888206274555
V3_L,0.4294584469945222
V4_L,0.4525829924098382
V8_L,0.4339455444400633
4_L,0.4486057246512894
3b_L,0.4524181670773001
FEF_L,0.457682113225367
PEF_L,0.431674275079775
55b_L,0.4335433895522824
V3A_L,0.4523081172144014
RSC_L,0.4438010758011225
POS2_L,0.443497570369189
V7_L,0.4575110656693196
IPS1_L,0.4285183920786548
FFC_L,0.4446614377099434
V3B_L,0.424180408570407
LO1_L,0.4404177718490524
LO2_L,0.4072231348099235
PIT_L,0.4241461478847051
MT_L,0.426319102241967
A1_L,0.4150175642901068
PSL_L,0.432009719432282
SFL_L,0.4346160018166466
PCV_L,0.445773038777232
STV_L,0.4537686328131218
7Pm_L,0.4541959024305341
7m_L,0.4571177880978209
POS1_L,0.4425768465275937
23d_L,0.437944487976632
v23ab_L,0.4422282624700264
d23ab_L,0.4181056490776167
31pv_L,0.4316492979251179
5m_L,0.4689241010762868
5mv_L,0.4449673120239042
23c_L,0.4349443033844281
5L_L,0.43302789459629
24dd_L,0.4406926898209479
24dv_L,0.4291249742465329
7AL_L,0.4413970196326542
SCEF_L,0.4422350079110925
6ma_L,0.4341001116204225
7Am_L,0.4267096884406084
7Pl_L,0.4396839827479958
7PC_L,0.4415183574385569
LIPv_L,0.4416032090473891
VIP_L,0.4498277777814736
MIP_L,0.4384466173899329
1_L,0.4473797244378308
2_L,0.4473857753386649
3a_L,0.4473427153495988
6d_L,0.4513063584182838
6mp_L,0.4501192685181541
6v_L,0.4487832723964638
p24pr_L,0.4219039044896594
33pr_L,0.4371633058675053
a24pr_L,0.4402773371689001
p32pr_L,0.4526612896366257
a24_L,0.4649458441526346
d32_L,0.4357171896278585
8BM_L,0.4589599838378209
p32_L,0.4397348729820599
10r_L,0.4640476748215951
47m_L,0.4372523302095273
8Av_L,0.4387443569960385
8Ad_L,0.446632550008729
9m_L,0.4449079864340693
8BL_L,0.4435923493095908
9p_L,0.4439773605591304
10d_L,0.4324247134413477
8C_L,0.4454090505589551
44_L,0.4223771893073284
45_L,0.4314755736239165
47l_L,0.4442471652137769
a47r_L,0.4477080478850423
6r_L,0.4395133629080504
IFJa_L,0.457433541823319
IFJp_L,0.4507916650172647
IFSp_L,0.4306132762469297
IFSa_L,0.439852208327987
p9-46v_L,0.4462695036227608
46_L,0.4398579771371524
a9-46v_L,0.44494105366344
9-46d_L,0.4440039314987474
9a_L,0.4508919219270635
10v_L,0.4380435231604811
a10p_L,0.4368781256251739
10pp_L,0.4175020377375895
11l_L,0.4200010621573837
13l_L,0.4381373140511406
OFC_L,0.4336117259816119
47s_L,0.4210460956583732
LIPd_L,0.4565844599025834
6a_L,0.4420330550972954
