region,thick_V
5m_R,0.4448599896791059
5mv_R,0.42960011947813
23c_R,0.4322035693223867
5L_R,0.43108178591044
24dd_R,0.4340281977099364
24dv_R,0.4204236695104065
7AL_R,0.432155578003086
SCEF_R,0.4262469848386719
6ma_R,0.4230014543157019
7Am_R,0.4189174278187003
7Pl_R,0.4395098851801189
7PC_R,0.4343261466636646
LIPv_R,0.4521755464767155
VIP_R,0.4207666947806989
MIP_R,0.43027881301612
1_R,0.4336789879202712
2_R,0.4316624589920182
3a_R,0.42837346437142
6d_R,0.4120884017670553
6mp_R,0.422786362169037
6v_R,0.4308944217896551
p24pr_R,0.4455851296380222
33pr_R,0.442258941684709
a24pr_R,0.4406252730197198
p32pr_R,0.4299368386924539
a24_R,0.4359359770452042
d32_R,0.4449043293366214
8BM_R,0.4406451907153552
p32_R,0.440763911976154
10r_R,0.4210277849375549
47m_R,0.4154982667366506
8Av_R,0.4346113074475617
8Ad_R,0.4316970189927862
9m_R,0.4342510081260561
8BL_R,0.4330088093420797
9p_R,0.4354401294008199
10d_R,0.4346083826695313
8C_R,0.4178715089514086
44_R,0.4337486863066559
45_R,0.4361524722709523
47l_R,0.4338648984980988
a47r_R,0.4370998374335421
6r_R,0.4229850907978041
IFJa_R,0.4295121870615814
IFJp_R,0.4430964262875902
IFSp_R,0.4135094884762817
IFSa_R,0.4202333674484708
p9-46v_R,0.4266154350683129
46_R,0.4389846128610783
a9-46v_R,0.428850257476664
9-46d_R,0.4346196322504074
9a_R,0.4183569080494621
10v_R,0.4379374836238577
a10p_R,0.4351114756838084
10pp_R,0.4313543713602425
11l_R,0.4247298576813396
13l_R,0.4366005353123106
OFC_R,0.420296328279132
47s_R,0.4379771631421393
LIPd_R,0.4455417683994316
6a_R,0.4263324945635843
i6-8_R,0.4194555750062244
s6-8_R,0.4380344932284259
43_R,0.4153401498026692
OP4_R,0.421978432719102
OP1_R,0.4439846328303197
OP2-3_R,0.4459233767365422
52_R,0.4465067122470367
RI_R,0.441201952764138
PFcm_R,0.4199764476707945
PoI2_R,0.4272918098059134
TA2_R,0.4348307380647626
FOP4_R,0.4360396087235077
MI_R,0.4314617064232683
Pir_R,0.4400531896862721
AVI_R,0.4374803886486417
AAIC_R,0.4426954845691791
FOP1_R,0.450996429521133
FOP3_R,0.4087495687996776
FOP2_R,0.429540273175966
PFt_R,0.4443849600413407
AIP_R,0.4231991603736607
EC_R,0.4117591459622748
PreS_R,0.4481680777069587
H_R,0.4458373779180152
ProS_R,0.4292063756384123
PeEc_R,0.4433503824157904
STGa_R,0.4459697415551535
PBelt_R,0.4380278472867316
A5_R,0.4516123344993109
PHA1_R,0.4307418437543769
PHA3_R,0.4356281615609323
STSda_R,0.4449121630416817
STSdp_R,0.4252673054320794
STSvp_R,0.4153717598451567
TGd_R,0.4287458962474904
TE1a_R,0.4346463978786676
TE1p_R,0.4390819156403355
TE2a_R,0.4432580114244486
TF_R,0.4344731154241408
TE2p_R,0.4441862991919467
PHT_R,0.4479389842630905
PH_R,0.4322710299097932
TPOJ1_R,0.438533432002523
TPOJ2_R,0.4282942150884526
TPOJ3_R,0.4328241284320414
DVT_R,0.4286433101067393
PGp_R,0.4417380747507031
IP2_R,0.4331420510238174
IP1_R,0.4457328262396015
IP0_R,0.4238201339051667
PFop_R,0.4463605030482206
PF_R,0.4282857377161347
PFm_R,0.4300095207179967
PGi_R,0.4335202423376127
PGs_R,0.4342088255356403
V6A_R,0.4381300159544818
VMV1_R,0.4417512529881622
VMV3_R,0.4458831453406494
PHA2_R,0.4411059349547335
V4t_R,0.4100832804289824
FST_R,0.4506852246431321
V3CD_R,0.4370579549375075
LO3_R,0.4224808964738868
VMV2_R,0.4155946021312902
31pd_R,0.440012709620723
31a_R,0.4554408576620763
VVC_R,0.4384352315110761
25_R,0.4277120273165107
s32_R,0.4250376123029346
pOFC_R,0.4427002159925542
PoI1_R,0.4245840997715345
Ig_R,0.4454021481041758
FOP5_R,0.4222481943763675
p10p_R,0.421282972048222
p47r_R,0.4183803459958874
TGv_R,0.4340049869658448
MBelt_R,0.4300898853520099
LBelt_R,0.4340476184929044
A4_R,0.4353033635334188
STSva_R,0.4374059436719269
TE1m_R,0.4115823498338034
PI_R,0.4314265196149101
a32pr_R,0.4297979054348781
p24_R,0.4352588996928231
