region,FChomology
6d_R,2.4868777
6mp_R,2.017117
6v_R,1.4143934
p24pr_R,0.68058217
33pr_R,1.0134023
a24pr_R,0.76388025
p32pr_R,0.98146576
a24_R,2.2048182
d32_R,1.334063
8BM_R,0.92725885
p32_R,2.0199862
10r_R,2.221561
47m_R,1.640249
8Av_R,1.4024519
8Ad_R,1.162508
9m_R,2.1754549
8BL_R,1.6558456
9p_R,1.8367566
10d_R,2.5514095
8C_R,1.6290281
44_R,1.9006072
45_R,1.9850984
47l_R,2.2221844
a47r_R,0.66168153
6r_R,1.5595056
IFJa_R,2.0067923
IFJp_R,1.56103
IFSp_R,1.9382315
IFSa_R,2.099366
p9-46v_R,1.5112829
46_R,2.0840652
a9-46v_R,1.3112985
9-46d_R,2.1552281
9a_R,1.8035641
10v_R,2.9272554
a10p_R,0.5926292
10pp_R,1.4786453
11l_R,0.59534115
13l_R,0.8482003
OFC_R,1.1239648
47s_R,2.777767
LIPd_R,2.4387414
6a_R,0.4358742
i6-8_R,1.3803153
s6-8_R,1.3154763
43_R,1.7658286
OP4_R,1.6408356
OP1_R,0.9773163
OP2-3_R,1.3222262
52_R,3.0933378
RI_R,2.897871
PFcm_R,2.2251146
PoI2_R,1.9084593
TA2_R,3.7194393
FOP4_R,1.9015728
MI_R,1.9920155
Pir_R,1.8757446
AVI_R,2.3773413
AAIC_R,2.3792982
FOP1_R,2.2507434
FOP3_R,2.3728142
FOP2_R,1.753031
PFt_R,1.6020274
AIP_R,2.0753138
EC_R,2.3303494
PreS_R,2.9327433
H_R,2.9858515
ProS_R,2.7699215
PeEc_R,1.1565167
STGa_R,2.1425745
PBelt_R,3.6452544
A5_R,3.4696293
PHA1_R,2.9471188
PHA3_R,1.9307976
STSda_R,1.6497983
STSdp_R,1.0888311
STSvp_R,0.92832094
TGd_R,1.9805155
TE1a_R,1.4185158
TE1p_R,1.0161586
TE2a_R,1.2179135
TF_R,1.6437062
TE2p_R,1.8395982
PHT_R,0.7732972
PH_R,1.7147553
TPOJ1_R,1.0630788
TPOJ2_R,2.8726761
TPOJ3_R,3.0751147
DVT_R,2.21002
PGp_R,1.6789643
IP2_R,1.5684658
IP1_R,1.5004282
IP0_R,2.2901492
PFop_R,2.3103626
PF_R,1.4206728
PFm_R,1.2913576
PGi_R,0.1425008
PGs_R,0.47761297
V6A_R,2.8469403
VMV1_R,3.4141815
VMV3_R,2.168279
PHA2_R,2.742846
V4t_R,3.5588996
FST_R,2.6329525
V3CD_R,2.5029163
LO3_R,2.4397745
VMV2_R,2.7934391
31pd_R,0.88239384
31a_R,0.8061409
VVC_R,1.5088818
25_R,1.9590845
s32_R,2.2724507
pOFC_R,0.9595833
PoI1_R,2.1326797
Ig_R,1.368786
FOP5_R,1.8888034
p10p_R,0.9285789
p47r_R,1.0581964
TGv_R,1.2850276
MBelt_R,3.4572008
LBelt_R,3.5243137
A4_R,3.6506486
STSva_R,1.2129382
TE1m_R,0.7842295
PI_R,2.986596
a32pr_R,1.767167
p24_R,1.9129848
