region,megtimescale
9m_R,32.619965
8BL_R,29.534126
9p_R,32.09236
10d_R,37.422016
8C_R,20.057625
44_R,21.233696
45_R,20.577492
47l_R,24.560818
a47r_R,29.639286
6r_R,19.159
IFJa_R,19.70207
IFJp_R,16.932892
IFSp_R,23.95342
IFSa_R,27.040352
p9-46v_R,23.505133
46_R,27.008625
a9-46v_R,31.19894
9-46d_R,31.282623
9a_R,34.509926
10v_R,44.423626
a10p_R,38.866116
10pp_R,44.754345
11l_R,34.134758
13l_R,29.51567
OFC_R,34.743362
47s_R,29.668905
LIPd_R,11.155591
6a_R,17.667963
i6-8_R,21.16089
s6-8_R,22.185305
43_R,18.20443
OP4_R,15.821503
OP1_R,14.786869
OP2-3_R,16.813671
52_R,17.526348
RI_R,15.054428
PFcm_R,13.5514345
PoI2_R,21.913408
TA2_R,25.480661
FOP4_R,20.095568
MI_R,23.734892
Pir_R,28.950666
AVI_R,24.264769
AAIC_R,25.568981
FOP1_R,18.80971
FOP3_R,21.350857
FOP2_R,19.310465
PFt_R,11.972132
AIP_R,11.403268
EC_R,26.982483
PreS_R,20.1159
H_R,22.946447
ProS_R,20.013182
PeEc_R,27.310453
STGa_R,30.352264
PBelt_R,19.14358
A5_R,19.158527
PHA1_R,21.096525
PHA3_R,18.654673
STSda_R,24.034704
STSdp_R,17.769728
STSvp_R,18.768488
TGd_R,32.63641
TE1a_R,25.657927
TE1p_R,18.460472
TE2a_R,23.24914
TF_R,22.953005
TE2p_R,18.859869
PHT_R,17.056065
PH_R,16.890858
TPOJ1_R,15.644757
TPOJ2_R,14.762668
TPOJ3_R,14.036821
DVT_R,13.844704
PGp_R,12.980936
IP2_R,11.78368
IP1_R,11.531402
IP0_R,12.098429
PFop_R,13.723814
PF_R,13.566049
PFm_R,13.13465
PGi_R,13.64349
PGs_R,13.092478
V6A_R,12.398672
VMV1_R,19.715063
VMV3_R,17.493917
PHA2_R,20.543497
V4t_R,14.57115
FST_R,16.177967
V3CD_R,12.596696
LO3_R,13.394103
VMV2_R,19.856527
31pd_R,13.621608
31a_R,14.476053
VVC_R,19.205368
25_R,29.034578
s32_R,29.008327
pOFC_R,27.576416
PoI1_R,21.912533
Ig_R,20.462048
FOP5_R,19.692665
p10p_R,36.14986
p47r_R,27.33198
TGv_R,27.736013
MBelt_R,18.424288
LBelt_R,15.651615
A4_R,17.440214
STSva_R,25.456268
TE1m_R,19.572317
PI_R,27.637594
a32pr_R,22.270552
p24_R,24.383825
