region,fcgradient03
6r_R,2.1384096
IFJa_R,0.2182129
IFJp_R,1.8993801
IFSp_R,0.52233255
IFSa_R,2.198423
p9-46v_R,2.0838566
46_R,2.179296
a9-46v_R,2.238913
9-46d_R,1.9314667
9a_R,-1.3534799
10v_R,-2.6227257
a10p_R,1.671583
10pp_R,-1.0582423
11l_R,2.2034407
13l_R,1.8457474
OFC_R,-0.049700875
47s_R,-1.8566107
LIPd_R,1.5896851
6a_R,1.306563
i6-8_R,1.3069315
s6-8_R,0.45550892
43_R,0.25036857
OP4_R,-0.8358791
OP1_R,-1.4894168
OP2-3_R,-1.0464582
52_R,-0.21561046
RI_R,-0.9044235
PFcm_R,0.27887633
PoI2_R,0.18373807
TA2_R,-1.1101285
FOP4_R,2.1047878
MI_R,2.05771
Pir_R,-0.6870074
AVI_R,1.7728748
AAIC_R,0.13723029
FOP1_R,1.23505
FOP3_R,1.3050574
FOP2_R,-0.51498425
PFt_R,0.35333666
AIP_R,1.1638783
EC_R,-1.6328219
PreS_R,-0.8288304
H_R,-1.7659471
ProS_R,-1.1524229
PeEc_R,-0.9896454
STGa_R,-2.4043071
PBelt_R,-1.2571704
A5_R,-1.9217663
PHA1_R,-1.4742765
PHA3_R,-0.50727797
STSda_R,-2.3449867
STSdp_R,-1.8788501
STSvp_R,-1.4696025
TGd_R,-2.6543326
TE1a_R,-2.3151512
TE1p_R,1.0895953
TE2a_R,-0.077079974
TF_R,-0.9777941
TE2p_R,0.605013
PHT_R,1.7878857
PH_R,-0.09543996
TPOJ1_R,-1.3960352
TPOJ2_R,-0.29135692
TPOJ3_R,-0.84155196
DVT_R,-0.13114615
PGp_R,0.61844414
IP2_R,2.311017
IP1_R,1.4369375
IP0_R,0.6660874
PFop_R,0.97493714
PF_R,2.1468287
PFm_R,1.2084582
PGi_R,-1.8744441
PGs_R,-0.42238185
V6A_R,-1.0875393
VMV1_R,-1.2075619
VMV3_R,-1.131073
PHA2_R,-0.98736507
V4t_R,-1.3960099
