region,cbv
10pp_L,2502.6504
11l_L,2876.181
13l_L,3355.2498
OFC_L,2690.9492
47s_L,5384.407
LIPd_L,4053.6365
6a_L,3916.8872
i6-8_L,3987.2092
s6-8_L,3814.4858
43_L,4628.987
OP4_L,5073.7905
OP1_L,5115.8677
OP2-3_L,5159.9424
52_L,4976.1934
RI_L,4812.169
PFcm_L,4847.711
PoI2_L,5720.1924
TA2_L,5915.502
FOP4_L,4577.354
MI_L,4862.2656
Pir_L,6607.4946
AVI_L,4933.204
AAIC_L,5509.796
FOP1_L,5265.2065
FOP3_L,4317.5312
FOP2_L,4696.1665
PFt_L,4259.9805
AIP_L,4089.8562
EC_L,4741.0146
PreS_L,5113.9473
H_L,3012.5103
ProS_L,5788.697
PeEc_L,4419.374
STGa_L,5298.896
PBelt_L,5338.104
A5_L,4789.032
PHA1_L,4697.1963
PHA3_L,3922.4148
STSda_L,4392.2754
STSdp_L,4443.0874
STSvp_L,4477.0923
TGd_L,4793.683
TE1a_L,3992.0305
TE1p_L,5360.545
TE2a_L,3996.051
TF_L,3651.6777
TE2p_L,5078.6465
PHT_L,4918.3584
PH_L,6223.65
TPOJ1_L,4769.6714
TPOJ2_L,4561.621
TPOJ3_L,4215.636
DVT_L,4808.347
PGp_L,3264.4333
IP2_L,4042.7134
IP1_L,3858.1099
IP0_L,3823.0098
PFop_L,4512.202
PF_L,4270.5303
PFm_L,4073.0684
PGi_L,4470.551
PGs_L,3867.201
V6A_L,4422.5903
VMV1_L,4672.1895
VMV3_L,4587.096
PHA2_L,4098.1777
V4t_L,4217.434
FST_L,4797.9165
V3CD_L,3664.2678
LO3_L,3335.453
VMV2_L,4510.806
31pd_L,4420.4175
31a_L,4454.5747
VVC_L,4383.77
25_L,5320.162
s32_L,4494.815
pOFC_L,4970.2534
PoI1_L,5683.094
Ig_L,5319.6543
FOP5_L,4564.8623
p10p_L,3185.7332
p47r_L,3812.0654
TGv_L,4245.6646
MBelt_L,5312.8955
LBelt_L,5344.311
A4_L,5026.6626
STSva_L,4284.424
TE1m_L,4475.8413
PI_L,6236.0527
a32pr_L,4651.827
p24_L,5006.8726
V1_R,7788.392
MST_R,4899.411
V6_R,4434.3975
V2_R,7139.698
V3_R,6333.298
V4_R,5427.827
V8_R,7209.698
4_R,5507.9355
3b_R,3880.7825
FEF_R,4274.192
PEF_R,3987.0835
55b_R,3833.1887
V3A_R,6534.6987
RSC_R,6173.1855
POS2_R,6233.03
V7_R,4684.3516
IPS1_R,4026.9739
FFC_R,6804.7935
V3B_R,4632.97
LO1_R,4409.063
LO2_R,5423.0483
PIT_R,10963.62
MT_R,4302.211
A1_R,5490.203
PSL_R,4215.726
SFL_R,6064.6763
PCV_R,4739.0605
STV_R,4792.5996
7Pm_R,8233.481
7m_R,4814.178
POS1_R,6023.4927
23d_R,5140.8813
v23ab_R,6322.125
d23ab_R,5317.214
31pv_R,4627.2437
5m_R,7476.7964
5mv_R,4245.307
23c_R,4479.7583
5L_R,5553.424
24dd_R,4427.9683
24dv_R,4551.5615
7AL_R,3651.1455
SCEF_R,5170.9014
6ma_R,4625.8955
7Am_R,6932.818
7Pl_R,6841.776
7PC_R,3399.458
LIPv_R,3972.5105
VIP_R,4423.7686
MIP_R,4061.201
1_R,2968.1128
2_R,3753.9663
3a_R,4787.369
6d_R,3858.254
6mp_R,4938.482
6v_R,3466.6665
p24pr_R,4870.0415
33pr_R,4774.491
a24pr_R,4957.7715
p32pr_R,4632.406
a24_R,5021.8115
d32_R,4570.3013
8BM_R,4980.6807
p32_R,4364.867
10r_R,4245.7427
47m_R,4157.075
8Av_R,3783.0388
8Ad_R,4049.6716
9m_R,4223.8726
8BL_R,4400.037
9p_R,3645.3188
10d_R,3527.4204
8C_R,4126.9683
44_R,4419.012
45_R,4305.9395
47l_R,4533.63
a47r_R,3124.3828
6r_R,4570.8765
IFJa_R,4687.152
IFJp_R,4608.0957
IFSp_R,4132.931
IFSa_R,3838.1248
p9-46v_R,3581.2834
46_R,3666.2527
a9-46v_R,3498.4644
9-46d_R,3563.0127
9a_R,3407.8423
10v_R,3467.1184
a10p_R,2947.744
10pp_R,2330.4307
11l_R,2653.5093
13l_R,3281.8286
OFC_R,2223.4067
47s_R,5191.9224
LIPd_R,3949.7017
6a_R,4123.8506
i6-8_R,4038.3013
s6-8_R,4072.8733
43_R,5006.3975
OP4_R,4984.6816
OP1_R,5031.7085
OP2-3_R,5141.735
52_R,5018.4614
RI_R,4807.0967
PFcm_R,4952.3906
PoI2_R,5503.696
TA2_R,5620.919
FOP4_R,4600.367
MI_R,5113.7017
Pir_R,6702.3774
AVI_R,5047.8467
AAIC_R,5452.306
FOP1_R,5169.8364
FOP3_R,4402.222
FOP2_R,4565.005
PFt_R,4207.6504
AIP_R,4080.3281
EC_R,4610.98
PreS_R,4356.74
H_R,3063.9163
ProS_R,5477.8594
PeEc_R,4596.5093
STGa_R,5668.981
PBelt_R,5517.507
A5_R,4869.3154
PHA1_R,4604.301
PHA3_R,4208.6963
STSda_R,4637.0186
STSdp_R,4621.0396
STSvp_R,4808.965
TGd_R,5407.2046
TE1a_R,3561.632
TE1p_R,5753.064
TE2a_R,3776.4368
TF_R,3886.5693
TE2p_R,5381.2256
PHT_R,5388.8086
PH_R,7377.4473
TPOJ1_R,4783.9165
TPOJ2_R,4700.4585
TPOJ3_R,4361.256
DVT_R,4781.389
