region,cbf
OP1_R,6308.23
OP2-3_R,6098.4897
52_R,6264.2256
RI_R,6171.3022
PFcm_R,6425.5327
PoI2_R,6243.3545
TA2_R,5786.9297
FOP4_R,6385.827
MI_R,6581.7734
Pir_R,5420.847
AVI_R,6342.1978
AAIC_R,6256.204
FOP1_R,6593.182
FOP3_R,6151.763
FOP2_R,5878.521
PFt_R,5841.0903
AIP_R,6067.11
EC_R,5147.116
PreS_R,5433.59
H_R,4766.194
ProS_R,5631.0835
PeEc_R,4816.276
STGa_R,5041.6797
PBelt_R,6327.6636
A5_R,5649.478
PHA1_R,5723.756
PHA3_R,5183.19
STSda_R,5516.552
STSdp_R,5592.7637
STSvp_R,5808.4526
TGd_R,4825.9263
TE1a_R,5025.367
TE1p_R,5494.138
TE2a_R,5383.129
TF_R,5015.8984
TE2p_R,5369.894
PHT_R,5535.0703
PH_R,5492.4526
TPOJ1_R,5862.187
TPOJ2_R,5903.2666
TPOJ3_R,5806.933
DVT_R,5994.8877
PGp_R,5470.3584
IP2_R,6335.184
IP1_R,6188.7817
IP0_R,5860.7627
PFop_R,5987.099
PF_R,6074.61
PFm_R,6137.867
PGi_R,5959.7363
PGs_R,5851.1675
V6A_R,5670.407
VMV1_R,5859.011
VMV3_R,5579.6284
PHA2_R,5342.397
V4t_R,5245.1587
FST_R,5508.0186
V3CD_R,5462.1865
LO3_R,5374.1694
VMV2_R,5341.3125
31pd_R,6410.6177
31a_R,6615.791
VVC_R,5901.3867
25_R,6119.832
s32_R,6203.1567
pOFC_R,6316.94
PoI1_R,5967.378
Ig_R,6070.1367
FOP5_R,6220.5503
p10p_R,6452.466
p47r_R,6235.36
TGv_R,4754.0513
MBelt_R,6721.568
LBelt_R,6693.8315
A4_R,5654.3647
STSva_R,5505.452
TE1m_R,5542.554
PI_R,5608.4746
a32pr_R,6178.238
p24_R,6433.0015
