region,megbeta
lh.bankssts,0.0881373062729835
lh.caudalanteriorcingulate,0.1008406803011894
lh.caudalmiddlefrontal,0.1086686849594116
lh.cuneus,0.0880995318293571
lh.entorhinal,0.0805829912424087
lh.fusiform,0.0827489271759986
lh.inferiorparietal,0.0988891348242759
lh.inferiortemporal,0.0817428231239318
lh.isthmuscingulate,0.1022020280361175
lh.lateraloccipital,0.083750769495964
lh.lateralorbitofrontal,0.0882032886147499
lh.lingual,0.0844255089759826
lh.medialorbitofrontal,0.0866690501570701
lh.middletemporal,0.0822725296020507
lh.parahippocampal,0.0853177607059478
lh.paracentral,0.1201809495687484
lh.parsopercularis,0.1017817929387092
lh.parsorbitalis,0.0944354385137558
lh.parstriangularis,0.0981472358107566
lh.pericalcarine,0.0829336047172546
lh.postcentral,0.1200367733836174
lh.posteriorcingulate,0.1117675751447677
lh.precentral,0.1163645759224891
lh.precuneus,0.1036344915628433
lh.rostralanteriorcingulate,0.0939785987138748
lh.rostralmiddlefrontal,0.0984530225396156
lh.superiorfrontal,0.1030365154147148
lh.superiorparietal,0.1122573018074035
lh.superiortemporal,0.0850743874907493
lh.supramarginal,0.1077488586306572
lh.frontalpole,0.0910582616925239
lh.temporalpole,0.0815846025943756
lh.transversetemporal,0.086314857006073
lh.insula,0.087290234863758
rh.bankssts,0.0912748202681541
rh.caudalanteriorcingulate,0.100974403321743
rh.caudalmiddlefrontal,0.1117585301399231
rh.cuneus,0.0863625258207321
rh.entorhinal,0.0813898891210556
rh.fusiform,0.0831777304410934
rh.inferiorparietal,0.1005703508853912
rh.inferiortemporal,0.082296073436737
rh.isthmuscingulate,0.1011097207665443
rh.lateraloccipital,0.0837302207946777
rh.lateralorbitofrontal,0.0887411758303642
rh.lingual,0.0840595066547393
rh.medialorbitofrontal,0.0866814628243446
rh.middletemporal,0.0837158113718032
rh.parahippocampal,0.0839430540800094
rh.paracentral,0.1181795373558998
rh.parsopercularis,0.105197750031948
rh.parsorbitalis,0.0959364920854568
rh.parstriangularis,0.1005972996354103
rh.pericalcarine,0.0813575834035873
rh.postcentral,0.1201992705464363
rh.posteriorcingulate,0.110696792602539
rh.precentral,0.1181868389248848
rh.precuneus,0.1033867448568344
rh.rostralanteriorcingulate,0.0942980572581291
rh.rostralmiddlefrontal,0.1024417802691459
rh.superiorfrontal,0.1034001111984252
rh.superiorparietal,0.1130831614136695
rh.superiortemporal,0.0872532874345779
rh.supramarginal,0.1120321452617645
rh.frontalpole,0.0931121110916137
rh.temporalpole,0.0826058313250541
rh.transversetemporal,0.0898857489228248
rh.insula,0.0888750851154327
