region,cmr02
SCEF_R,5410.3457
6ma_R,5097.651
7Am_R,5315.8906
7Pl_R,5359.029
7PC_R,5187.4395
LIPv_R,5435.2305
VIP_R,5039.973
MIP_R,5462.0347
1_R,5142.3096
2_R,5355.5205
3a_R,5512.6094
6d_R,5296.916
6mp_R,5293.1265
6v_R,5043.305
p24pr_R,4995.3945
33pr_R,4690.343
a24pr_R,5113.189
p32pr_R,5069.036
a24_R,4985.7686
d32_R,4966.2354
8BM_R,5225.403
p32_R,4772.2705
10r_R,5244.1787
47m_R,5267.1987
8Av_R,5258.3457
8Ad_R,5327.639
9m_R,5030.394
8BL_R,4850.5967
9p_R,5068.085
10d_R,5053.8677
8C_R,5554.1333
44_R,5425.1577
45_R,5309.879
47l_R,5146.2627
a47r_R,4954.689
6r_R,5569.756
IFJa_R,5564.045
IFJp_R,5567.479
IFSp_R,5537.733
IFSa_R,5333.824
p9-46v_R,5385.4688
46_R,5441.3066
a9-46v_R,5563.03
9-46d_R,5495.522
9a_R,5039.4385
10v_R,5091.7383
a10p_R,5238.7036
10pp_R,4800.4224
11l_R,5028.2305
13l_R,5262.8623
OFC_R,5099.901
47s_R,5151.08
LIPd_R,5562.3633
6a_R,5385.3774
i6-8_R,5244.5713
s6-8_R,5159.5806
43_R,5331.415
OP4_R,5236.4116
OP1_R,5199.2163
OP2-3_R,5008.9478
52_R,5106.8003
RI_R,5115.7974
PFcm_R,5198.1055
PoI2_R,4917.647
TA2_R,5033.01
FOP4_R,5186.2393
MI_R,5266.662
Pir_R,4220.6655
AVI_R,5202.3384
AAIC_R,4952.0435
FOP1_R,5349.6646
FOP3_R,4950.9287
FOP2_R,4935.561
PFt_R,5222.3867
AIP_R,5400.3286
EC_R,4090.57
PreS_R,4304.519
H_R,3700.737
ProS_R,4948.548
PeEc_R,3965.9473
STGa_R,4347.438
PBelt_R,5530.5537
A5_R,5095.29
PHA1_R,4860.5654
PHA3_R,4490.6646
STSda_R,4722.031
STSdp_R,5102.772
STSvp_R,5246.483
TGd_R,4089.5957
TE1a_R,4418.3545
TE1p_R,4889.9307
TE2a_R,4656.2964
TF_R,4367.776
TE2p_R,4857.9116
PHT_R,4976.788
PH_R,5111.1523
TPOJ1_R,5304.054
TPOJ2_R,5403.453
TPOJ3_R,5314.0674
DVT_R,5344.032
PGp_R,4982.665
IP2_R,5662.313
IP1_R,5542.0273
IP0_R,5364.978
PFop_R,5109.7944
PF_R,5015.2007
PFm_R,5332.772
PGi_R,5296.6714
PGs_R,5173.998
V6A_R,5136.333
VMV1_R,5473.7847
VMV3_R,5212.207
PHA2_R,4523.152
V4t_R,4963.7695
FST_R,5165.1963
V3CD_R,5132.63
LO3_R,4965.729
VMV2_R,4966.3687
31pd_R,5546.681
31a_R,5728.384
VVC_R,5325.068
25_R,4891.014
s32_R,4948.917
pOFC_R,5109.9746
PoI1_R,4660.5747
Ig_R,5050.8394
FOP5_R,5172.749
p10p_R,5483.9624
p47r_R,5224.708
TGv_R,4069.482
MBelt_R,5592.7197
LBelt_R,5741.214
A4_R,5085.093
STSva_R,4775.769
TE1m_R,4867.7583
PI_R,4423.8237
a32pr_R,4966.608
p24_R,4989.6587
