region,cmr02
lh.bankssts,5196.8681640625
lh.caudalanteriorcingulate,4332.0693359375
lh.caudalmiddlefrontal,5261.0546875
lh.cuneus,6032.67919921875
lh.entorhinal,3821.589111328125
lh.fusiform,4950.14013671875
lh.inferiorparietal,5249.03759765625
lh.inferiortemporal,4760.27099609375
lh.isthmuscingulate,5179.35009765625
lh.lateraloccipital,5271.7666015625
lh.lateralorbitofrontal,4922.26611328125
lh.lingual,5928.71484375
lh.medialorbitofrontal,5101.98095703125
lh.middletemporal,4787.98095703125
lh.parahippocampal,4519.61376953125
lh.paracentral,5212.5576171875
lh.parsopercularis,5359.0654296875
lh.parsorbitalis,4982.80908203125
lh.parstriangularis,5173.68603515625
lh.pericalcarine,6270.05322265625
lh.postcentral,5242.1201171875
lh.posteriorcingulate,4871.24755859375
lh.precentral,5279.98876953125
lh.precuneus,5568.0888671875
lh.rostralanteriorcingulate,4719.224609375
lh.rostralmiddlefrontal,5258.029296875
lh.superiorfrontal,4995.4638671875
lh.superiorparietal,5297.9580078125
lh.superiortemporal,4891.84375
lh.supramarginal,5195.7158203125
lh.frontalpole,4904.1953125
lh.temporalpole,3836.011962890625
lh.transversetemporal,5728.166015625
lh.insula,4835.0
rh.bankssts,5238.041015625
rh.caudalanteriorcingulate,4306.119140625
rh.caudalmiddlefrontal,5419.97119140625
rh.cuneus,6187.2998046875
rh.entorhinal,3938.38330078125
rh.fusiform,4817.6416015625
rh.inferiorparietal,5309.17138671875
rh.inferiortemporal,4738.8583984375
rh.isthmuscingulate,5269.634765625
rh.lateraloccipital,5261.10400390625
rh.lateralorbitofrontal,5119.27587890625
rh.lingual,5782.07373046875
rh.medialorbitofrontal,5041.546875
rh.middletemporal,4872.58447265625
rh.parahippocampal,4522.6513671875
rh.paracentral,5256.4541015625
rh.parsopercularis,5459.783203125
rh.parsorbitalis,4957.43798828125
rh.parstriangularis,5253.6240234375
rh.pericalcarine,6408.96923828125
rh.postcentral,5354.65869140625
rh.posteriorcingulate,4901.59375
rh.precentral,5383.66064453125
rh.precuneus,5600.77197265625
rh.rostralanteriorcingulate,4583.14990234375
rh.rostralmiddlefrontal,5401.4775390625
rh.superiorfrontal,5091.3759765625
rh.superiorparietal,5324.3349609375
rh.superiortemporal,4944.33984375
rh.supramarginal,5180.5810546875
rh.frontalpole,4783.4638671875
rh.temporalpole,3924.341064453125
rh.transversetemporal,5774.6923828125
rh.insula,4948.1611328125
