region,bielschowsky
p10p_L,582.1502642032852
p47r_L,505.6264092581613
TGv_L,314.5617831328356
MBelt_L,488.1558377250951
LBelt_L,459.0807956861413
A4_L,414.0691005176644
STSva_L,455.25394175252114
TE1m_L,408.53938588657473
PI_L,440.99257125016095
a32pr_L,516.7797175957675
p24_L,521.202235028722
V1_R,491.5568538148525
MST_R,493.6659115106111
V6_R,464.0950617535683
V2_R,441.73728597510615
V3_R,443.1873322664648
V4_R,467.41169019172594
V8_R,457.2687999282246
4_R,428.2204633451805
3b_R,417.2024595991896
FEF_R,398.643659500316
PEF_R,506.9934365354938
55b_R,436.9146412870692
V3A_R,447.4391265671616
RSC_R,383.742705662456
POS2_R,438.45934175699614
V7_R,461.8735137654242
IPS1_R,467.68364224561583
FFC_R,425.51887068949065
V3B_R,458.93020181784016
LO1_R,458.9978197230849
LO2_R,421.7430933760249
PIT_R,370.8661009470622
MT_R,450.3384788708809
A1_R,396.8535603396715
PSL_R,442.2368298674842
SFL_R,324.3523513533668
PCV_R,398.0632076470616
STV_R,483.3211380333482
7Pm_R,342.4301991418419
7m_R,477.77278500511534
POS1_R,464.8444598014489
23d_R,421.0658283062426
v23ab_R,423.4322949053555
d23ab_R,443.80699407282304
31pv_R,442.8918774899185
5m_R,354.4579843911474
5mv_R,372.6919707159699
23c_R,432.1758305642457
5L_R,417.31633852790384
24dd_R,446.5385407953736
24dv_R,428.0325541688378
7AL_R,367.41761681798585
SCEF_R,477.659458889706
6ma_R,416.1459262487518
7Am_R,365.39643526414494
7Pl_R,367.8806924293528
7PC_R,351.79546211089746
LIPv_R,445.7721373878136
VIP_R,360.8568349881188
MIP_R,419.7262516603632
1_R,373.0438387114426
2_R,405.4530677066858
3a_R,470.0145187637433
6d_R,426.6028354638749
6mp_R,413.7696500677593
6v_R,418.9544870764615
p24pr_R,414.8578654306377
33pr_R,366.83634851557457
a24pr_R,433.8939849837248
p32pr_R,472.17316957012247
a24_R,452.7062832806831
d32_R,490.2631851497167
8BM_R,434.1270812229892
p32_R,496.9867929750173
10r_R,520.5324582381987
47m_R,505.9790725471804
8Av_R,448.8865804432202
8Ad_R,513.629657647933
9m_R,539.3716869903215
8BL_R,487.7780051759986
9p_R,581.1780361527705
10d_R,577.9618184308468
8C_R,487.1849100940317
44_R,469.5242426899644
45_R,406.8610569306749
47l_R,420.192996198129
a47r_R,507.4151315929985
6r_R,473.61733343937567
IFJa_R,471.18117413785217
IFJp_R,508.400277394792
IFSp_R,470.8210442462699
IFSa_R,485.819290824898
p9-46v_R,458.4309991115316
46_R,521.5612917817948
a9-46v_R,514.6773280794658
9-46d_R,544.1653393676008
9a_R,582.6522958141262
10v_R,479.0181812229028
a10p_R,548.5429402044964
10pp_R,491.4436885342975
11l_R,495.8658596960278
13l_R,470.3528230086617
OFC_R,466.2225687638598
47s_R,415.4148484093802
LIPd_R,513.3673776033474
6a_R,471.3221034618693
i6-8_R,442.50258066603817
s6-8_R,431.1302745503944
43_R,432.75875574247846
OP4_R,451.1174032016724
OP1_R,443.1055471303512
OP2-3_R,464.0754822594116
52_R,463.64554087320965
RI_R,495.339259166198
PFcm_R,463.8774795323584
PoI2_R,399.2753068367812
TA2_R,395.9327296950538
FOP4_R,469.6383389602112
MI_R,422.1350182540328
Pir_R,449.0494538005044
AVI_R,501.0392810452369
AAIC_R,458.1310066170528
FOP1_R,430.9081916193044
FOP3_R,440.1419590867861
FOP2_R,447.5342726340661
PFt_R,404.84463678825847
AIP_R,446.2694587953629
EC_R,383.10865060214337
PreS_R,403.17608249085
H_R,438.3434906133441
ProS_R,433.4080967886168
PeEc_R,369.3441593156591
STGa_R,452.7259090467698
PBelt_R,413.0169649991122
A5_R,450.3554004929312
PHA1_R,364.9473984892472
PHA3_R,468.9103746832288
STSda_R,452.26149415803314
STSdp_R,460.0865600647054
STSvp_R,435.4231361981959
TGd_R,405.3364822161058
TE1a_R,400.9602517955629
TE1p_R,466.7877748510748
TE2a_R,424.1431721559327
TF_R,422.92377984710106
TE2p_R,462.79642499034776
PHT_R,435.9480948225579
PH_R,466.4776822639639
TPOJ1_R,448.2967471745038
TPOJ2_R,458.1214616797152
TPOJ3_R,434.9559574397008
DVT_R,441.4208185479192
PGp_R,403.6737192348799
IP2_R,431.82579749111454
IP1_R,395.5327914955229
IP0_R,394.2316494143106
PFop_R,412.4185424654671
PF_R,405.58281873276434
PFm_R,382.523550339472
PGi_R,463.601924386336
PGs_R,375.225710967068
V6A_R,374.9579629998458
VMV1_R,388.85738986646624
VMV3_R,462.96042270424925
PHA2_R,445.01708660294526
V4t_R,438.5939940087589
FST_R,485.7779338536228
V3CD_R,470.95946557777455
LO3_R,455.3625029017206
VMV2_R,487.0004752807617
31pd_R,467.29363148841486
31a_R,418.7673579624721
VVC_R,399.436821378838
25_R,409.4125476099336
s32_R,465.26949657093394
pOFC_R,418.1950800006428
PoI1_R,396.4364168976888
Ig_R,404.3546988904611
FOP5_R,483.83730931265546
p10p_R,576.5582551015614
p47r_R,506.5568428620469
TGv_R,360.3783319905599
MBelt_R,460.01199154420334
LBelt_R,435.5901199456126
A4_R,418.1601624208338
STSva_R,390.85130252394566
TE1m_R,427.7792744934675
PI_R,416.9853111386034
a32pr_R,479.92262666603096
p24_R,440.78973171970966
