region,bielschowsky
V1_L,489.1280535660596
MST_L,428.9137446539743
V6_L,449.6007034861297
V2_L,459.4543456628577
V3_L,467.332005415845
V4_L,486.33448835618617
V8_L,475.9874294955372
4_L,436.9113281351709
3b_L,419.20804583016087
FEF_L,440.3316027651854
PEF_L,499.6144113367738
55b_L,405.48922629345
V3A_L,422.8106037657938
RSC_L,433.8708705788971
POS2_L,463.1700240013584
V7_L,353.3847548443338
IPS1_L,401.5266871187422
FFC_L,440.4802875187498
V3B_L,448.96901502652406
LO1_L,461.88770412213233
LO2_L,453.59399333583656
PIT_L,475.1141643822504
MT_L,464.0732565617216
A1_L,411.1066990698673
PSL_L,427.8951287061254
SFL_L,435.04216375736434
PCV_L,413.4247680764781
STV_L,449.5713220748773
7Pm_L,405.73559719112745
7m_L,451.502765596358
POS1_L,481.0804542832702
23d_L,420.51912424605706
v23ab_L,445.6769154424253
d23ab_L,445.5866551181948
31pv_L,432.1642565532245
5m_L,431.935565531892
5mv_L,461.7699877194709
23c_L,426.2813955530874
5L_L,427.6407536363565
24dd_L,450.9214009367122
24dv_L,485.9164468108631
7AL_L,396.166052763169
SCEF_L,461.1993513716565
6ma_L,374.57145526547794
7Am_L,389.84485221286855
7Pl_L,376.6737101224004
7PC_L,361.6440993511939
LIPv_L,404.6805254308189
VIP_L,334.8250471346345
MIP_L,439.6547147389087
1_L,337.0510691588323
2_L,412.1301887357958
3a_L,463.54451632459626
6d_L,380.1824416314822
6mp_L,445.6751155725016
6v_L,385.6949916316333
p24pr_L,454.6020660840972
33pr_L,450.05484710587024
a24pr_L,513.1013488054834
p32pr_L,477.4996965911997
a24_L,492.2369095239884
d32_L,516.9430726499456
8BM_L,496.2107154857075
p32_L,530.5115047238908
10r_L,531.1801248455413
47m_L,471.6271077000339
8Av_L,389.8731039425799
8Ad_L,535.7297622978782
9m_L,547.1197666945366
8BL_L,479.4252262202927
9p_L,518.7342170134002
10d_L,570.8726942026799
8C_L,430.1039147190178
44_L,438.2349320124159
45_L,353.33485527010464
47l_L,397.2029311814584
a47r_L,452.4064508555469
6r_L,425.47797655804726
IFJa_L,460.9269678620953
IFJp_L,503.00825918288456
IFSp_L,461.6497275929305
IFSa_L,483.2905777109756
p9-46v_L,426.3822480503736
46_L,448.16977498135134
a9-46v_L,501.5328214713655
9-46d_L,555.4884203102213
9a_L,577.131771474486
10v_L,497.2608495921462
a10p_L,533.6028358578064
10pp_L,507.417230922286
11l_L,474.06624570858025
13l_L,467.82757163950487
OFC_L,423.8600284307951
47s_L,382.1247527782734
LIPd_L,466.4308217188695
6a_L,456.7196464900289
i6-8_L,426.8313290314489
s6-8_L,426.02491975079977
43_L,355.40999925401474
OP4_L,387.3077294894627
OP1_L,432.6697774984521
OP2-3_L,384.2446308937393
52_L,486.7678169876403
RI_L,447.8523373231193
PFcm_L,406.70397835987103
PoI2_L,369.6415318132357
TA2_L,418.3136372017798
FOP4_L,390.1898105748703
MI_L,440.08525123954377
Pir_L,418.7335643270365
AVI_L,483.0276848216241
AAIC_L,450.2999185677565
FOP1_L,432.8176649174418
FOP3_L,406.98859895978654
FOP2_L,465.5538084082133
PFt_L,408.4291761553611
AIP_L,420.9352049246265
EC_L,351.9969500373392
PreS_L,392.40732982167526
H_L,431.87656531566194
ProS_L,453.2036301542423
PeEc_L,364.0861526778778
STGa_L,449.98876307126585
PBelt_L,464.6643460494271
A5_L,408.6937691851589
PHA1_L,398.55030766169233
PHA3_L,379.8991977345448
STSda_L,413.4350347304612
STSdp_L,413.2183726217895
STSvp_L,426.03574234899816
TGd_L,392.9779602053179
TE1a_L,391.67983604991247
TE1p_L,438.2791855248004
TE2a_L,406.7171918474947
TF_L,407.1429364595949
TE2p_L,436.56006898487794
PHT_L,412.8405365945586
PH_L,479.9766668506465
TPOJ1_L,442.3970630567681
TPOJ2_L,376.6479588170205
TPOJ3_L,381.3285674149489
DVT_L,492.6415372096652
PGp_L,405.18978998093377
IP2_L,405.4796884761976
IP1_L,430.2455935155912
IP0_L,464.63248345611294
PFop_L,358.0170268240005
PF_L,390.8187156425562
PFm_L,374.2362108405927
PGi_L,458.918906947796
PGs_L,395.0887273519467
V6A_L,314.2563989577963
VMV1_L,428.43996576528775
VMV3_L,429.8709835273301
PHA2_L,448.3587396912656
V4t_L,466.9391385549188
FST_L,486.6331334918193
V3CD_L,478.0061193151724
LO3_L,428.3018428257533
VMV2_L,448.15635683544
31pd_L,445.5232005721473
31a_L,412.79692231765904
VVC_L,433.8216421788404
25_L,481.0836072068632
s32_L,495.3289122550718
pOFC_L,399.7762987053252
PoI1_L,389.8045469162172
Ig_L,388.3295971015831
FOP5_L,478.7471855191936
