region,megdelta
lh.bankssts,0.2985511124134063
lh.caudalanteriorcingulate,0.3501594662666321
lh.caudalmiddlefrontal,0.3464598357677459
lh.cuneus,0.2578259110450744
lh.entorhinal,0.3543727099895477
lh.fusiform,0.3190582692623138
lh.inferiorparietal,0.2747912108898163
lh.inferiortemporal,0.3177193999290466
lh.isthmuscingulate,0.3080800771713257
lh.lateraloccipital,0.2827779352664947
lh.lateralorbitofrontal,0.373928815126419
lh.lingual,0.3118749856948852
lh.medialorbitofrontal,0.3929193019866943
lh.middletemporal,0.3179033398628235
lh.parahippocampal,0.319584310054779
lh.paracentral,0.2910356521606445
lh.parsopercularis,0.3483829200267792
lh.parsorbitalis,0.3733930885791778
lh.parstriangularis,0.3620982766151428
lh.pericalcarine,0.285869687795639
lh.postcentral,0.2829271256923675
lh.posteriorcingulate,0.3124089241027832
lh.precentral,0.3080309331417084
lh.precuneus,0.2729162573814392
lh.rostralanteriorcingulate,0.3794825673103332
lh.rostralmiddlefrontal,0.3740350008010864
lh.superiorfrontal,0.3499587774276733
lh.superiorparietal,0.2559641003608703
lh.superiortemporal,0.3259987533092499
lh.supramarginal,0.2860977947711944
lh.frontalpole,0.3934717774391174
lh.temporalpole,0.3711421191692352
lh.transversetemporal,0.3154810070991516
lh.insula,0.3370610177516937
rh.bankssts,0.2974075675010681
rh.caudalanteriorcingulate,0.3502628207206726
rh.caudalmiddlefrontal,0.3395596742630005
rh.cuneus,0.2552569806575775
rh.entorhinal,0.3607678115367889
rh.fusiform,0.3197689950466156
rh.inferiorparietal,0.2746554017066955
rh.inferiortemporal,0.3184248507022857
rh.isthmuscingulate,0.3077394962310791
rh.lateraloccipital,0.2779556810855865
rh.lateralorbitofrontal,0.380099892616272
rh.lingual,0.3097572028636932
rh.medialorbitofrontal,0.3958349823951721
rh.middletemporal,0.3209275603294372
rh.parahippocampal,0.320790946483612
rh.paracentral,0.2966544032096863
rh.parsopercularis,0.3478365838527679
rh.parsorbitalis,0.3783902525901794
rh.parstriangularis,0.3647085726261139
rh.pericalcarine,0.2836317420005798
rh.postcentral,0.2824938893318176
rh.posteriorcingulate,0.3122510313987732
rh.precentral,0.3033183217048645
rh.precuneus,0.2750166654586792
rh.rostralanteriorcingulate,0.3785028755664825
rh.rostralmiddlefrontal,0.3721281886100769
rh.superiorfrontal,0.3510105907917022
rh.superiorparietal,0.2568192481994629
rh.superiortemporal,0.3366251587867737
rh.supramarginal,0.2865751683712005
rh.frontalpole,0.3943482935428619
rh.temporalpole,0.3793244063854217
rh.transversetemporal,0.322365403175354
rh.insula,0.3415396809577942
