region,cbv
lh.bankssts,4658.2568359375
lh.caudalanteriorcingulate,4477.20556640625
lh.caudalmiddlefrontal,4034.7158203125
lh.cuneus,7597.08056640625
lh.entorhinal,4671.318359375
lh.fusiform,5005.85986328125
lh.inferiorparietal,4012.01318359375
lh.inferiortemporal,5171.318359375
lh.isthmuscingulate,6694.0244140625
lh.lateraloccipital,5497.7607421875
lh.lateralorbitofrontal,3820.214111328125
lh.lingual,6806.9521484375
lh.medialorbitofrontal,3796.014892578125
lh.middletemporal,4321.3310546875
lh.parahippocampal,4669.9453125
lh.paracentral,5912.72607421875
lh.parsopercularis,4423.9306640625
lh.parsorbitalis,3553.603515625
lh.parstriangularis,4141.9189453125
lh.pericalcarine,6094.77197265625
lh.postcentral,3995.914794921875
lh.posteriorcingulate,4861.958984375
lh.precentral,4356.44287109375
lh.precuneus,5443.9404296875
lh.rostralanteriorcingulate,4781.95263671875
lh.rostralmiddlefrontal,3466.1171875
lh.superiorfrontal,4482.40576171875
lh.superiorparietal,4559.56201171875
lh.superiortemporal,4998.2958984375
lh.supramarginal,4404.61181640625
lh.frontalpole,3076.70458984375
lh.temporalpole,4783.99609375
lh.transversetemporal,5504.357421875
lh.insula,5230.80712890625
rh.bankssts,4791.1396484375
rh.caudalanteriorcingulate,4326.70849609375
rh.caudalmiddlefrontal,4149.53466796875
rh.cuneus,8221.7470703125
rh.entorhinal,4756.0771484375
rh.fusiform,5025.5283203125
rh.inferiorparietal,4162.79638671875
rh.inferiortemporal,5479.0087890625
rh.isthmuscingulate,6350.53466796875
rh.lateraloccipital,5951.0732421875
rh.lateralorbitofrontal,3530.278564453125
rh.lingual,6923.044921875
rh.medialorbitofrontal,3720.402099609375
rh.middletemporal,4428.27197265625
rh.parahippocampal,4514.87548828125
rh.paracentral,5788.9072265625
rh.parsopercularis,4619.0478515625
rh.parsorbitalis,3647.113037109375
rh.parstriangularis,4192.58642578125
rh.pericalcarine,6848.84375
rh.postcentral,3984.12158203125
rh.posteriorcingulate,4640.01904296875
rh.precentral,4415.48876953125
rh.precuneus,5308.62109375
rh.rostralanteriorcingulate,4612.42431640625
rh.rostralmiddlefrontal,3515.883544921875
rh.superiorfrontal,4523.7734375
rh.superiorparietal,4568.74462890625
rh.superiortemporal,5137.916015625
rh.supramarginal,4611.49658203125
rh.frontalpole,2899.535400390625
rh.temporalpole,5606.328125
rh.transversetemporal,5452.99169921875
rh.insula,5244.15185546875
