region,cbf
lh.bankssts,5728.708984375
lh.caudalanteriorcingulate,5538.00439453125
lh.caudalmiddlefrontal,6241.5673828125
lh.cuneus,6617.81884765625
lh.entorhinal,4869.5400390625
lh.fusiform,5489.79736328125
lh.inferiorparietal,5836.650390625
lh.inferiortemporal,5370.71923828125
lh.isthmuscingulate,6215.44091796875
lh.lateraloccipital,5675.693359375
lh.lateralorbitofrontal,5948.3828125
lh.lingual,6390.89208984375
lh.medialorbitofrontal,6153.7421875
lh.middletemporal,5377.94580078125
lh.parahippocampal,5564.30615234375
lh.paracentral,6064.3681640625
lh.parsopercularis,6371.21875
lh.parsorbitalis,5804.5234375
lh.parstriangularis,6161.68212890625
lh.pericalcarine,6815.01025390625
lh.postcentral,5916.86474609375
lh.posteriorcingulate,5989.5244140625
lh.precentral,6102.7548828125
lh.precuneus,6299.95849609375
lh.rostralanteriorcingulate,6032.6005859375
lh.rostralmiddlefrontal,6152.25830078125
lh.superiorfrontal,6032.63037109375
lh.superiorparietal,5890.2607421875
lh.superiortemporal,5500.49560546875
lh.supramarginal,5976.15869140625
lh.frontalpole,5664.0087890625
lh.temporalpole,4630.74072265625
lh.transversetemporal,6518.3740234375
lh.insula,5912.65087890625
rh.bankssts,5805.23681640625
rh.caudalanteriorcingulate,5414.08935546875
rh.caudalmiddlefrontal,6415.87646484375
rh.cuneus,6771.55419921875
rh.entorhinal,4813.67138671875
rh.fusiform,5385.39208984375
rh.inferiorparietal,5938.14697265625
rh.inferiortemporal,5301.42919921875
rh.isthmuscingulate,6218.8310546875
rh.lateraloccipital,5658.01318359375
rh.lateralorbitofrontal,6078.373046875
rh.lingual,6272.16455078125
rh.medialorbitofrontal,6163.140625
rh.middletemporal,5482.58056640625
rh.parahippocampal,5455.3564453125
rh.paracentral,6152.68115234375
rh.parsopercularis,6521.04638671875
rh.parsorbitalis,5826.54638671875
rh.parstriangularis,6240.65625
rh.pericalcarine,6928.9453125
rh.postcentral,6109.669921875
rh.posteriorcingulate,6013.09912109375
rh.precentral,6292.53662109375
rh.precuneus,6415.47802734375
rh.rostralanteriorcingulate,5861.03125
rh.rostralmiddlefrontal,6330.095703125
rh.superiorfrontal,6112.8427734375
rh.superiorparietal,5975.76953125
rh.superiortemporal,5703.18115234375
rh.supramarginal,6105.42626953125
rh.frontalpole,5489.17041015625
rh.temporalpole,4729.43994140625
rh.transversetemporal,6852.99072265625
rh.insula,6167.7529296875
