region,devexp
V1_L,-0.0945929065346717
MST_L,0.0279438439756631
V6_L,-0.1347826421260833
V2_L,-0.12546306848526
V3_L,-0.092818833887577
V4_L,-0.0499625727534294
V8_L,-0.2144173383712768
4_L,-0.0144210318103432
3b_L,-0.0018780116224661
FEF_L,0.0699197873473167
PEF_L,0.2962799370288849
55b_L,0.2233565598726272
V3A_L,-0.0763919949531555
RSC_L,
POS2_L,-0.1077352613210678
V7_L,-0.1372437477111816
IPS1_L,-0.0450987108051776
FFC_L,-0.0819869935512542
V3B_L,0.0260171312838792
LO1_L,0.0043907212093472
LO2_L,0.0111866099759936
PIT_L,-0.0140402633696794
MT_L,-0.0442117899656295
A1_L,-0.3251796364784241
PSL_L,-0.0851917266845703
SFL_L,0.1480305790901184
PCV_L,-0.0565605834126472
STV_L,0.0584324859082698
7Pm_L,-0.1362450569868087
7m_L,-0.1253510415554046
POS1_L,-0.1564434766769409
23d_L,0.0520328879356384
v23ab_L,-0.1177939102053642
d23ab_L,0.1064068004488945
31pv_L,-0.0056017115712165
5m_L,-0.0961268991231918
5mv_L,0.0888443365693092
23c_L,0.1303447484970092
5L_L,-0.0032077853102236
24dd_L,-0.0203068014234304
24dv_L,0.0163307692855596
7AL_L,-0.0130703821778297
SCEF_L,0.0778763070702552
6ma_L,0.0867368057370185
7Am_L,-0.0564476549625396
7Pl_L,-0.1400355100631714
7PC_L,0.0268468018621206
LIPv_L,-0.0811876580119133
VIP_L,-0.0603551715612411
MIP_L,-0.0915558710694313
1_L,0.0649139508605003
2_L,0.0103339040651917
3a_L,0.2062188386917114
6d_L,0.0260639637708663
6mp_L,-0.008926635608077
6v_L,0.2178546041250229
p24pr_L,-0.1155732795596122
33pr_L,
a24pr_L,0.0355153009295463
p32pr_L,0.0670838803052902
a24_L,
d32_L,0.1675702780485153
8BM_L,0.1076828017830848
p32_L,0.124281994998455
10r_L,0.0219096299260854
47m_L,-0.204133540391922
8Av_L,0.0918977707624435
8Ad_L,0.1339635103940963
9m_L,0.072034902870655
8BL_L,0.1314152628183365
9p_L,0.1931540668010711
10d_L,-0.0677736103534698
8C_L,0.0800720751285553
44_L,0.1299322843551635
45_L,0.0136734955012798
47l_L,-0.206295758485794
a47r_L,-0.1609087586402893
6r_L,0.144669771194458
IFJa_L,0.0868904218077659
IFJp_L,0.170887678861618
IFSp_L,0.1549065262079239
IFSa_L,0.0257189311087131
p9-46v_L,0.097845546901226
46_L,0.151968166232109
a9-46v_L,0.0739050954580307
9-46d_L,0.1201931834220886
9a_L,0.141790896654129
