region,devexp
10v_L,0.004933638498187
a10p_L,-0.1034634783864021
10pp_L,-0.1036328673362732
11l_L,-0.262860357761383
13l_L,-0.1619793176651001
OFC_L,0.0407770313322544
47s_L,-0.1376659423112869
LIPd_L,0.003356710774824
6a_L,-0.0064537562429904
i6-8_L,0.0514478720724582
s6-8_L,0.0892980992794036
43_L,0.1130188480019569
OP4_L,-0.1099849566817283
OP1_L,-0.3205802142620086
OP2-3_L,-0.2948718070983886
52_L,-0.2755177319049835
RI_L,-0.2433007955551147
PFcm_L,-0.1991894394159317
PoI2_L,-0.2600926458835602
TA2_L,-0.4027162492275238
FOP4_L,0.068171702325344
MI_L,-0.3189766407012939
Pir_L,
AVI_L,-0.1611547172069549
AAIC_L,-0.1511245816946029
FOP1_L,0.1146900579333305
FOP3_L,-0.0943598747253418
FOP2_L,-0.1191629469394683
PFt_L,0.1734791100025177
AIP_L,0.132235899567604
EC_L,-0.305784523487091
PreS_L,-0.176333412528038
H_L,-0.1590148657560348
ProS_L,-0.1239140033721923
PeEc_L,-0.0835718289017677
STGa_L,-0.0988793596625328
PBelt_L,-0.2386443614959716
A5_L,0.0347279123961925
PHA1_L,-0.2764551937580108
PHA3_L,-0.1684140861034393
STSda_L,0.0299506839364767
STSdp_L,0.0576256550848484
STSvp_L,0.1511583775281906
TGd_L,0.0412843972444534
TE1a_L,0.2281502187252044
TE1p_L,0.2438274472951889
TE2a_L,0.2283637821674347
TF_L,-0.0346047468483448
TE2p_L,-0.0638296827673912
PHT_L,0.1878873109817505
PH_L,0.0430910289287567
TPOJ1_L,0.10760148614645
TPOJ2_L,0.111658938229084
TPOJ3_L,0.0371578969061374
DVT_L,-0.1756587773561477
PGp_L,-0.0783060640096664
IP2_L,0.20440474152565
IP1_L,0.0037261156830936
IP0_L,-0.0364450886845588
PFop_L,-0.0778594389557838
PF_L,0.068964309990406
PFm_L,0.1883425712585449
PGi_L,0.1089750006794929
PGs_L,0.0256192907691001
V6A_L,-0.0526805333793163
VMV1_L,-0.4741547107696533
VMV3_L,-0.3509928286075592
PHA2_L,-0.1662841290235519
V4t_L,-0.0535238534212112
FST_L,0.0088942619040608
V3CD_L,0.0585702396929264
LO3_L,-0.0994145423173904
VMV2_L,-0.3563270270824432
31pd_L,-0.0333697274327278
31a_L,0.1045856699347496
VVC_L,-0.1970630586147308
25_L,
s32_L,0.1231959387660026
pOFC_L,
PoI1_L,-0.2344239950180053
Ig_L,-0.2401040345430374
FOP5_L,-0.1519767940044403
p10p_L,-0.0206173062324523
p47r_L,0.0468400456011295
TGv_L,0.155495747923851
MBelt_L,-0.2842850387096405
LBelt_L,-0.2185769379138946
A4_L,-0.1165994778275489
STSva_L,0.1055624186992645
TE1m_L,0.1716704964637756
PI_L,-0.3144686818122864
a32pr_L,0.0944520384073257
p24_L,0.0236483104526996
V1_R,-0.101565808057785
MST_R,-0.006850242614746
V6_R,-0.1363463103771209
V2_R,-0.127554789185524
V3_R,-0.0650563836097717
V4_R,-0.040429089218378
V8_R,-0.1677488386631012
4_R,-0.015723442658782
3b_R,-0.0020916261710226
FEF_R,0.1059007719159126
PEF_R,0.2379898875951767
55b_R,0.2411010563373565
V3A_R,-0.0903876647353172
RSC_R,
POS2_R,-0.1062182933092117
V7_R,-0.1252559274435043
IPS1_R,-0.0405921190977096
FFC_R,-0.0867088958621025
V3B_R,-0.0158247184008359
LO1_R,0.0322898961603641
LO2_R,0.0220170076936483
PIT_R,-0.0057618394494056
MT_R,-0.0604388266801834
A1_R,-0.295674979686737
PSL_R,-0.0280063059180974
SFL_R,0.1551848500967025
PCV_R,-0.0654194205999374
STV_R,0.0991598963737487
7Pm_R,-0.1361916661262512
7m_R,-0.1245661526918411
POS1_R,-0.1551619619131088
23d_R,0.0550697930157184
v23ab_R,-0.1186020076274871
d23ab_R,0.133669301867485
31pv_R,-0.0001577648508828
5m_R,-0.101919449865818
5mv_R,0.0769528895616531
23c_R,0.132548302412033
5L_R,-0.0079692788422107
24dd_R,-0.0351075530052185
24dv_R,0.0274882148951292
7AL_R,-0.0107292169705033
SCEF_R,0.0635386705398559
6ma_R,0.0937367975711822
7Am_R,-0.0461697280406951
7Pl_R,-0.1399853229522705
7PC_R,0.0060868123546242
LIPv_R,-0.0677827596664428
VIP_R,-0.059272963553667
MIP_R,-0.0909454748034477
1_R,0.0791445672512054
2_R,0.0233762506395578
3a_R,0.206415057182312
6d_R,0.0591159239411354
6mp_R,-0.0051653562113642
6v_R,0.2016504406929016
p24pr_R,-0.1231506243348121
33pr_R,0.1685503870248794
a24pr_R,0.0242805462330579
p32pr_R,0.0771462693810463
a24_R,
d32_R,0.166935458779335
8BM_R,0.0903325602412223
p32_R,0.1292074918746948
10r_R,0.0258440542966127
47m_R,-0.2002052068710327
8Av_R,0.1059804260730743
8Ad_R,0.1355623006820678
9m_R,0.0629180297255516
8BL_R,0.138663649559021
9p_R,0.2039953172206878
10d_R,-0.0978802442550659
8C_R,0.058643814176321
44_R,0.1393559277057647
45_R,0.0289773065596818
47l_R,-0.1921263933181762
a47r_R,-0.1528050303459167
6r_R,0.1454925239086151
IFJa_R,0.1013502776622772
IFJp_R,0.1780717372894287
IFSp_R,0.1230511590838432
IFSa_R,0.0286196023225784
p9-46v_R,0.1090090870857238
46_R,0.1505343914031982
a9-46v_R,0.0790685936808586
9-46d_R,0.1186413317918777
9a_R,0.0908594653010368
10v_R,0.014581486582756
a10p_R,-0.1141942143440246
10pp_R,-0.0913146510720253
11l_R,-0.2714523375034332
13l_R,-0.1534318327903747
OFC_R,0.0392254814505577
47s_R,-0.1558113992214203
LIPd_R,0.0039906143210828
6a_R,-0.0083673568442463
i6-8_R,0.0533773936331272
s6-8_R,0.1335094720125198
43_R,0.1202464699745178
OP4_R,-0.1141964495182037
OP1_R,-0.3525279760360718
OP2-3_R,-0.2829651236534118
52_R,-0.2399537116289138
RI_R,-0.2306403815746307
PFcm_R,-0.2118323743343353
PoI2_R,-0.2796207368373871
TA2_R,-0.3337152600288391
FOP4_R,0.0178307089954614
MI_R,-0.3346300423145294
Pir_R,
AVI_R,-0.1802841126918792
AAIC_R,-0.1641733646392822
FOP1_R,0.1448073387145996
FOP3_R,-0.08145522326231
FOP2_R,-0.1117201149463653
PFt_R,0.133362740278244
AIP_R,0.1448358446359634
EC_R,-0.3152423202991485
PreS_R,-0.1667046248912811
H_R,-0.1680822819471359
ProS_R,-0.0700443983078002
PeEc_R,-0.0792307555675506
STGa_R,-0.0397281870245933
PBelt_R,-0.2413220554590225
A5_R,0.0565871223807334
PHA1_R,-0.27005335688591
PHA3_R,-0.1911327987909317
STSda_R,0.038070935755968
STSdp_R,0.0789874568581581
STSvp_R,0.1286360621452331
TGd_R,0.0704018175601959
TE1a_R,0.1963120102882385
TE1p_R,0.2398851215839386
TE2a_R,0.2194898575544357
TF_R,-0.068239614367485
TE2p_R,-0.0447266362607479
PHT_R,0.1345527321100235
PH_R,0.0285152774304151
TPOJ1_R,0.1223661676049232
TPOJ2_R,0.1054306849837303
TPOJ3_R,0.041799820959568
DVT_R,-0.1834328770637512
PGp_R,-0.0656876042485237
IP2_R,0.2060994058847427
IP1_R,-0.0024280776269733
IP0_R,-0.0329630821943283
PFop_R,-0.0888047367334365
PF_R,0.0294849053025245
PFm_R,0.1928303688764572
PGi_R,0.0821989998221397
PGs_R,0.0205245744436979
V6A_R,-0.0399638004601001
VMV1_R,-0.4479111731052398
VMV3_R,-0.3477666676044464
PHA2_R,-0.1881553530693054
V4t_R,-0.0298526268452405
FST_R,-0.0117020895704627
V3CD_R,0.0568052977323532
LO3_R,-0.084696814417839
VMV2_R,-0.3613094687461853
31pd_R,-0.0318448618054389
31a_R,0.0871939957141876
VVC_R,-0.1998243480920791
25_R,
s32_R,0.1161346659064292
pOFC_R,
PoI1_R,-0.2259395867586136
Ig_R,-0.2302461117506027
FOP5_R,-0.1403756737709045
p10p_R,-0.0400323122739791
p47r_R,0.0056996732018888
TGv_R,0.1520013660192489
MBelt_R,-0.3099702298641205
LBelt_R,-0.2111064493656158
A4_R,-0.1221704706549644
STSva_R,0.1312503814697265
TE1m_R,0.2210324704647064
PI_R,-0.3544184863567352
a32pr_R,0.117981731891632
p24_R,0.0079022506251931
