region,fcgradient05
V1_L,-0.6070282
MST_L,-0.1560251
V6_L,-0.64236593
V2_L,-0.66830885
V3_L,-0.6092947
V4_L,-0.51579237
V8_L,-0.5658366
4_L,-0.8413412
3b_L,-0.8979527
FEF_L,0.8774176
PEF_L,0.7709921
55b_L,0.90496117
V3A_L,-0.63168037
RSC_L,-0.08079894
POS2_L,-0.23442094
V7_L,-0.51089406
IPS1_L,-0.003245827
FFC_L,0.31952623
V3B_L,-0.4622544
LO1_L,-0.4299082
LO2_L,-0.38711053
PIT_L,-0.3244782
MT_L,-0.24186502
A1_L,0.08127391
PSL_L,1.0389212
SFL_L,0.86880976
PCV_L,0.54061353
STV_L,1.1641562
7Pm_L,-0.1342616
7m_L,0.28500777
POS1_L,0.20665015
23d_L,-0.16049121
v23ab_L,0.27827424
d23ab_L,-0.11959418
31pv_L,0.25797668
5m_L,-1.0688897
5mv_L,0.24958965
23c_L,0.72008497
5L_L,-0.7371725
24dd_L,-0.93782896
24dv_L,-0.3026044
7AL_L,0.285818
SCEF_L,0.65083313
6ma_L,0.83851075
7Am_L,0.84094244
7Pl_L,0.60177356
7PC_L,-0.19570208
LIPv_L,-0.102464445
VIP_L,0.062915824
MIP_L,0.3688817
1_L,-1.0220907
2_L,-0.7731589
3a_L,-0.79682964
6d_L,-0.8351391
6mp_L,-0.66897035
6v_L,0.12537757
p24pr_L,0.6484831
33pr_L,0.43546796
a24pr_L,1.0344572
p32pr_L,1.0626608
a24_L,0.31324974
d32_L,-0.01978723
8BM_L,-0.5461446
p32_L,0.12068618
10r_L,0.5141676
47m_L,0.60655296
8Av_L,0.055769317
8Ad_L,0.09404707
9m_L,0.8721031
8BL_L,0.53544456
9p_L,0.40700302
10d_L,0.24280895
8C_L,-0.585653
44_L,0.7381868
45_L,1.2154977
47l_L,1.0513325
a47r_L,-0.6179824
6r_L,0.9247973
IFJa_L,0.7426777
IFJp_L,-0.09228066
IFSp_L,0.588876
IFSa_L,0.4279138
p9-46v_L,-0.51229656
46_L,0.95434356
a9-46v_L,-0.6396872
9-46d_L,0.6112208
9a_L,0.59555507
10v_L,0.82343286
a10p_L,-0.7483771
10pp_L,0.16077602
11l_L,-0.17894125
13l_L,-0.12318195
OFC_L,-0.32403424
47s_L,0.96667093
LIPd_L,0.09733575
6a_L,0.44424233
i6-8_L,-0.683668
s6-8_L,-0.6275058
43_L,0.53398705
OP4_L,0.095927246
OP1_L,-0.70883733
OP2-3_L,-0.25508162
52_L,0.4267455
RI_L,-0.093987845
PFcm_L,0.6081853
PoI2_L,0.5816805
TA2_L,0.5664492
FOP4_L,1.1573039
MI_L,1.067714
Pir_L,0.46001223
AVI_L,0.34896904
AAIC_L,0.50159657
FOP1_L,0.9409111
FOP3_L,0.9882415
FOP2_L,0.04883747
PFt_L,0.3961682
AIP_L,0.3534667
EC_L,0.2586654
PreS_L,0.10925203
H_L,0.31526673
ProS_L,-0.43704033
PeEc_L,0.8140364
STGa_L,1.4780148
PBelt_L,0.33249182
A5_L,1.0631016
PHA1_L,0.27028045
PHA3_L,0.384987
STSda_L,1.5961349
STSdp_L,1.5663136
STSvp_L,0.77547276
TGd_L,1.226418
TE1a_L,0.6958773
TE1p_L,-0.6295975
TE2a_L,-0.031550355
TF_L,1.3179753
TE2p_L,0.86870027
PHT_L,0.82526827
PH_L,0.15682204
TPOJ1_L,1.3355744
TPOJ2_L,1.2173219
TPOJ3_L,0.616581
DVT_L,-0.06345271
PGp_L,0.42745712
IP2_L,-0.7468468
IP1_L,-0.9014129
IP0_L,0.0734195
PFop_L,0.9796379
PF_L,0.99418396
PFm_L,-0.66319776
PGi_L,0.7207265
PGs_L,-0.07827872
V6A_L,-0.57481426
VMV1_L,-0.54812455
VMV3_L,-0.49261054
PHA2_L,0.42471206
V4t_L,-0.34411943
FST_L,0.3439582
V3CD_L,-0.31056613
LO3_L,-0.33438832
VMV2_L,-0.42340592
31pd_L,0.5332964
31a_L,-0.24915859
VVC_L,-0.18519038
25_L,0.7213614
s32_L,0.44593018
pOFC_L,0.4546277
PoI1_L,0.93203115
Ig_L,-0.24709944
FOP5_L,1.2003498
p10p_L,-0.62964475
p47r_L,-0.73178095
TGv_L,1.4290946
MBelt_L,0.2312714
LBelt_L,0.13843283
A4_L,0.55513614
STSva_L,1.091103
TE1m_L,-0.6280099
PI_L,0.8884493
a32pr_L,0.38907048
p24_L,0.42002732
V1_R,-0.60540473
MST_R,-0.14531584
V6_R,-0.64472234
V2_R,-0.6732405
V3_R,-0.58911055
V4_R,-0.5211979
V8_R,-0.58153296
4_R,-0.86573315
3b_R,-0.91336966
FEF_R,0.77228475
PEF_R,0.8049682
55b_R,1.0255233
V3A_R,-0.6285671
RSC_R,-0.1183181
POS2_R,-0.284409
V7_R,-0.4883432
IPS1_R,0.0059065474
FFC_R,0.3055317
V3B_R,-0.42514768
LO1_R,-0.42618212
LO2_R,-0.36725616
PIT_R,-0.34516016
MT_R,-0.1960019
A1_R,0.046973925
PSL_R,1.1549177
SFL_R,1.0659246
PCV_R,0.47798327
STV_R,1.1014639
7Pm_R,-0.013669473
7m_R,0.24193427
POS1_R,0.17417265
23d_R,-0.4075994
v23ab_R,0.33190417
d23ab_R,-0.2674877
31pv_R,-0.13156371
5m_R,-1.0807111
5mv_R,0.19951987
23c_R,0.7598765
5L_R,-0.78977394
24dd_R,-0.9530195
24dv_R,-0.4273025
7AL_R,0.18098345
SCEF_R,0.8775991
6ma_R,0.9092393
7Am_R,0.85655516
7Pl_R,0.59660846
7PC_R,-0.2833713
LIPv_R,-0.18467745
VIP_R,-0.049523428
MIP_R,0.26189518
1_R,-1.0526897
2_R,-0.8232871
3a_R,-0.85114914
6d_R,-0.8394909
6mp_R,-0.6387435
6v_R,0.21777111
p24pr_R,0.6346375
33pr_R,0.32808027
a24pr_R,1.0940989
p32pr_R,1.1190624
a24_R,0.17692202
d32_R,-0.4989775
8BM_R,-0.665636
p32_R,-0.08352379
10r_R,0.3912963
47m_R,0.5465345
8Av_R,-0.6809905
8Ad_R,-0.07779357
9m_R,0.6490165
8BL_R,0.232945
9p_R,0.13508528
10d_R,0.1887696
8C_R,-0.8683622
44_R,0.38412791
45_R,1.3582834
47l_R,0.486099
a47r_R,-1.18248
6r_R,0.84627885
IFJa_R,0.9313664
IFJp_R,-0.022047251
IFSp_R,0.25359765
IFSa_R,0.91089904
