region,thick_III
24dv_R,0.5777249769089957
7AL_R,0.5831960283720966
SCEF_R,0.5875433214530514
6ma_R,0.563204718930758
7Am_R,0.5612614748134895
7Pl_R,0.5857490299396412
7PC_R,0.5719031608750985
LIPv_R,0.5851573493598644
VIP_R,0.5676895396762905
MIP_R,0.6012010262362422
1_R,0.5900874722571237
2_R,0.5819542759503107
3a_R,0.5850398251080255
6d_R,0.5728105776863514
6mp_R,0.5864258833606117
6v_R,0.5773314625150291
p24pr_R,0.5857720529832007
33pr_R,0.5884438981044141
a24pr_R,0.5881205497371058
p32pr_R,0.5699748322699135
a24_R,0.5659963770849165
d32_R,0.5920815665399471
8BM_R,0.590386688231305
p32_R,0.582172037528139
10r_R,0.5660287856008064
47m_R,0.5753513066979508
8Av_R,0.5799806707765579
8Ad_R,0.5851125191958699
9m_R,0.5899884182021515
8BL_R,0.5864280120594981
9p_R,0.5802747517143222
10d_R,0.5829724241287536
8C_R,0.5643601215704794
44_R,0.5724350911851784
45_R,0.5775585958479053
47l_R,0.5694383307713834
a47r_R,0.5692729213949469
6r_R,0.5789802598324117
IFJa_R,0.5894683379086166
IFJp_R,0.547604449379299
IFSp_R,0.5752653696010852
IFSa_R,0.5746323819111457
p9-46v_R,0.5539583594333127
46_R,0.5778695834912593
a9-46v_R,0.5926998289317146
9-46d_R,0.5932618502974596
9a_R,0.594971201369854
10v_R,0.5698433083331781
a10p_R,0.5728414543727143
10pp_R,0.5763863627586264
11l_R,0.5880235368533332
13l_R,0.5815123404067244
OFC_R,0.5784628955790464
47s_R,0.5832819083618099
LIPd_R,0.6115236212590213
6a_R,0.568003489671242
i6-8_R,0.5774028268722607
s6-8_R,0.58783553782256
43_R,0.5768649441350368
OP4_R,0.575209760152773
OP1_R,0.5890279086014564
OP2-3_R,0.6076228654998714
52_R,0.6262192909576814
RI_R,0.6074690914034941
PFcm_R,0.5500345036182572
PoI2_R,0.5849855092424707
TA2_R,0.5998139620348654
FOP4_R,0.5730896329231283
MI_R,0.5763488605821379
Pir_R,0.6003105862032745
AVI_R,0.5703588522792152
AAIC_R,0.6024218053911891
FOP1_R,0.5771040959927136
FOP3_R,0.5584560255814575
FOP2_R,0.5580103592884796
PFt_R,0.611194863828278
AIP_R,0.5859092739249505
EC_R,0.5773026076019423
PreS_R,0.608436361589082
H_R,0.6066776878476017
ProS_R,0.5824242516978391
PeEc_R,0.5972385137214953
STGa_R,0.5969085310300594
PBelt_R,0.5946363996999358
A5_R,0.6126540541501438
PHA1_R,0.5848349355740005
PHA3_R,0.5776685975881607
STSda_R,0.5951345225604294
STSdp_R,0.5671387305481239
STSvp_R,0.5615430202120465
TGd_R,0.5860276403970108
TE1a_R,0.6025631162226317
TE1p_R,0.6034769271866781
TE2a_R,0.6097336901667542
TF_R,0.5986359728383578
TE2p_R,0.6065575062238314
PHT_R,0.6016929402389894
PH_R,0.5788969656467828
TPOJ1_R,0.5969111376778015
TPOJ2_R,0.5920856882092302
TPOJ3_R,0.5885651484602317
DVT_R,0.5611696439654009
PGp_R,0.5817965509109703
IP2_R,0.5695653354232032
IP1_R,0.6050656365892102
IP0_R,0.6020784548029363
PFop_R,0.6121321813488044
PF_R,0.5910926977156596
PFm_R,0.5828951690282107
PGi_R,0.5875817887289616
PGs_R,0.5705538074974275
V6A_R,0.6275581018171277
VMV1_R,0.5898027406282049
VMV3_R,0.6127393303768717
PHA2_R,0.6083912329111383
V4t_R,0.5707550082565754
FST_R,0.6116160937185509
V3CD_R,0.594068989957724
LO3_R,0.6242612103857834
VMV2_R,0.5965877860972837
31pd_R,0.6098028379578883
31a_R,0.6264900939708894
VVC_R,0.5953882928565053
25_R,0.5473128013294423
s32_R,0.5583322308098521
pOFC_R,0.6042861967488896
PoI1_R,0.580061841927529
Ig_R,0.6130794764318428
FOP5_R,0.572636428362762
p10p_R,0.5826821405361431
p47r_R,0.5404802984516636
TGv_R,0.5934726654056981
MBelt_R,0.5848905117255001
LBelt_R,0.606057255900608
A4_R,0.6022159820009246
STSva_R,0.6261218139528891
TE1m_R,0.5626555274091123
PI_R,0.5919349886475815
a32pr_R,0.5816446510442184
p24_R,0.5755664955035186
