region,thick_III
V1_L,0.577852592250928
MST_L,0.6113907635367222
V6_L,0.5839672975560928
V2_L,0.5844343667894515
V3_L,0.5787210313333319
V4_L,0.5807110232158996
V8_L,0.590375137168551
4_L,0.6007790419579352
3b_L,0.6035529148538763
FEF_L,0.614267228985423
PEF_L,0.6137129237038136
55b_L,0.5960869649175924
V3A_L,0.6122228117557815
RSC_L,0.592372958855552
POS2_L,0.6066798973669415
V7_L,0.590495422004231
IPS1_L,0.5792215083662706
FFC_L,0.5709075147685555
V3B_L,0.5601222978777886
LO1_L,0.5802882491410949
LO2_L,0.5607833140452023
PIT_L,0.560706814363319
MT_L,0.5716765083338957
A1_L,0.5655292409862784
PSL_L,0.5751920197930714
SFL_L,0.5898249758679373
PCV_L,0.578232489060234
STV_L,0.596696659899956
7Pm_L,0.6087182190283918
7m_L,0.5981935178998937
POS1_L,0.5871754736340538
23d_L,0.579249801521734
v23ab_L,0.5777560199521561
d23ab_L,0.5848722045617897
31pv_L,0.5807354010124238
5m_L,0.6163093800352927
5mv_L,0.5891541263695923
23c_L,0.5831090159161014
5L_L,0.5895626802356899
24dd_L,0.5878973376024824
24dv_L,0.5773467398410809
7AL_L,0.5972311695832866
SCEF_L,0.5953330332586015
6ma_L,0.5935201478183383
7Am_L,0.5778437181130498
7Pl_L,0.5965419848257714
7PC_L,0.5990711043938767
LIPv_L,0.5893060375187215
VIP_L,0.6130808610600085
MIP_L,0.5828996378102982
1_L,0.5990998544370232
2_L,0.5982428567508626
3a_L,0.5900095156248847
6d_L,0.6065980882513115
6mp_L,0.5940050336451105
6v_L,0.5989056280596093
p24pr_L,0.5660859868004456
33pr_L,0.5787764256411825
a24pr_L,0.5936950836342952
p32pr_L,0.6009967967163672
a24_L,0.6111063239986044
d32_L,0.5756853939053349
8BM_L,0.606908470584064
p32_L,0.580641373999398
10r_L,0.5943228255232843
47m_L,0.5763450043327175
8Av_L,0.5733206901641158
8Ad_L,0.5981712481216074
9m_L,0.598702969632944
8BL_L,0.5911715180285876
9p_L,0.579871048215394
10d_L,0.5853336184344797
8C_L,0.5831913221781858
44_L,0.5745569283493178
45_L,0.5933014557343307
47l_L,0.59352048986054
a47r_L,0.6055200161778137
6r_L,0.579718990017405
IFJa_L,0.6161918250790142
IFJp_L,0.5840248659556276
IFSp_L,0.5840318838348835
IFSa_L,0.5857875445413565
p9-46v_L,0.5830503029505397
46_L,0.5943049872682258
a9-46v_L,0.5931485927603877
9-46d_L,0.6020037850425456
9a_L,0.6016616330884504
10v_L,0.6010069107837369
a10p_L,0.6160525694463176
10pp_L,0.5664242648654751
11l_L,0.5578948092742234
13l_L,0.5840427139888391
OFC_L,0.5758663003522966
47s_L,0.5738367282204285
LIPd_L,0.5933129029738303
6a_L,0.5823407081150915
i6-8_L,0.5920698024628857
s6-8_L,0.558125633670992
43_L,0.6043614650865354
OP4_L,0.5831379272625902
OP1_L,0.6228302543371794
OP2-3_L,0.6028776527765911
52_L,0.587994587926427
RI_L,0.6045081875021218
PFcm_L,0.5808721008387732
PoI2_L,0.5960613955161268
TA2_L,0.6099400746063055
FOP4_L,0.609610256729794
MI_L,0.5837063546087308
Pir_L,0.5706424742579931
AVI_L,0.5934791795153536
AAIC_L,0.5742447889661413
FOP1_L,0.6182591513327204
FOP3_L,0.5922588104092508
FOP2_L,0.6011768693541282
PFt_L,0.5868670072739209
AIP_L,0.5898215057588652
EC_L,0.592356533881378
PreS_L,0.5601524625078962
H_L,0.5815705219517521
ProS_L,0.5974503267889159
PeEc_L,0.5739004946123353
STGa_L,0.6298840899407461
PBelt_L,0.5812723520219897
A5_L,0.5916932371362067
PHA1_L,0.5826960432599138
PHA3_L,0.5518648297560014
STSda_L,0.5591189439769799
STSdp_L,0.5570033324803731
STSvp_L,0.5957258188087555
TGd_L,0.5911880618778904
TE1a_L,0.5797328448793255
TE1p_L,0.5894771491018127
TE2a_L,0.586668454423878
TF_L,0.5573766341183329
TE2p_L,0.5795856275915214
PHT_L,0.583221264570815
PH_L,0.5808672545103104
TPOJ1_L,0.5998924153412148
TPOJ2_L,0.565869596553406
TPOJ3_L,0.5915207433257321
DVT_L,0.5886518705489451
PGp_L,0.6012310913455547
IP2_L,0.5767924693613569
IP1_L,0.552578840039388
IP0_L,0.5852070339965058
PFop_L,0.600976648054812
PF_L,0.5830236330448586
PFm_L,0.5885516909038073
PGi_L,0.5933804191466635
PGs_L,0.5882345619196837
V6A_L,0.6084866439712101
VMV1_L,0.602461317989446
VMV3_L,0.5751972852560714
PHA2_L,0.5730195094835742
V4t_L,0.5802691386796391
FST_L,0.5941049008346614
V3CD_L,0.6001943649270853
LO3_L,0.5793886056740422
VMV2_L,0.6091433671888258
31pd_L,0.5795415895894404
31a_L,0.5728943296855111
VVC_L,0.6061852263171745
25_L,0.5949974719260992
s32_L,0.593156367259987
pOFC_L,0.6037227303828916
PoI1_L,0.5925578325410961
Ig_L,0.586467098750545
FOP5_L,0.5823729371657502
p10p_L,0.6085334583946673
p47r_L,0.6025133469602482
TGv_L,0.5997696861011779
MBelt_L,0.5809844024342864
LBelt_L,0.6003166987824677
A4_L,0.5808763576723635
STSva_L,0.5522688943665259
TE1m_L,0.6083710719478623
PI_L,0.5906825367348352
a32pr_L,0.5811105554628587
p24_L,0.6103046558636431
V1_R,0.5982928620299887
MST_R,0.5943758895490877
V6_R,0.5811417844201971
V2_R,0.5931441741132175
V3_R,0.5906262751041009
V4_R,0.5868042141392059
V8_R,0.607153397055952
4_R,0.5732789884981754
3b_R,0.5849555625040256
FEF_R,0.5629380714314085
PEF_R,0.5733579206178517
55b_R,0.5948316566556976
V3A_R,0.585044495422443
RSC_R,0.5847255257415916
POS2_R,0.5981623016080259
V7_R,0.5539580088485009
IPS1_R,0.6116316510895916
FFC_R,0.5769569668487331
V3B_R,0.5708592700510613
LO1_R,0.5880043017162327
LO2_R,0.5711325201602802
PIT_R,0.5854863631203863
MT_R,0.6316601491450339
A1_R,0.6070609024090049
PSL_R,0.5903872738991646
SFL_R,0.5672143765153932
PCV_R,0.5581895216999542
STV_R,0.5886289092702488
7Pm_R,0.5791008058433356
7m_R,0.5590437649390485
POS1_R,0.5790990985290692
23d_R,0.5784387936355208
v23ab_R,0.5857986418932025
d23ab_R,0.6134198587979587
31pv_R,0.5868512568325558
5m_R,0.5799957433065914
5mv_R,0.5769666313654536
23c_R,0.5811404362297713
5L_R,0.58366746270868
24dd_R,0.5802978739585509
