region,meggamma2
lh.bankssts,0.0106301065534353
lh.caudalanteriorcingulate,0.0108933886513113
lh.caudalmiddlefrontal,0.0115464692935347
lh.cuneus,0.0076980045996606
lh.entorhinal,0.016272634267807
lh.fusiform,0.0127751361578702
lh.inferiorparietal,0.0087921097874641
lh.inferiortemporal,0.0130284680053591
lh.isthmuscingulate,0.0131522798910737
lh.lateraloccipital,0.0104148145765066
lh.lateralorbitofrontal,0.0173694342374801
lh.lingual,0.0116495117545127
lh.medialorbitofrontal,0.017911547794938
lh.middletemporal,0.0137861706316471
lh.parahippocampal,0.0141399167478084
lh.paracentral,0.009201762266457
lh.parsopercularis,0.01490970980376
lh.parsorbitalis,0.0159320998936891
lh.parstriangularis,0.0151933273300528
lh.pericalcarine,0.0083573656156659
lh.postcentral,0.0099177835509181
lh.posteriorcingulate,0.0129480985924601
lh.precentral,0.0106615237891674
lh.precuneus,0.008682114072144
lh.rostralanteriorcingulate,0.0136602623388171
lh.rostralmiddlefrontal,0.0175535753369331
lh.superiorfrontal,0.01295549236238
lh.superiorparietal,0.0083441259339451
lh.superiortemporal,0.0137309301644563
lh.supramarginal,0.0100305341184139
lh.frontalpole,0.0229826401919126
lh.temporalpole,0.0219302829355001
lh.transversetemporal,0.0107647385448217
lh.insula,0.0138948298990726
rh.bankssts,0.009965899400413
rh.caudalanteriorcingulate,0.0113278999924659
rh.caudalmiddlefrontal,0.0117105431854724
rh.cuneus,0.0077034612186253
rh.entorhinal,0.0175889860838651
rh.fusiform,0.0128403780981898
rh.inferiorparietal,0.0082728210836648
rh.inferiortemporal,0.0128544270992279
rh.isthmuscingulate,0.0129385003820061
rh.lateraloccipital,0.009698954410851
rh.lateralorbitofrontal,0.0180214829742908
rh.lingual,0.0112574519589543
rh.medialorbitofrontal,0.0184071045368909
rh.middletemporal,0.0135337878018617
rh.parahippocampal,0.0138705428689718
rh.paracentral,0.0091069191694259
rh.parsopercularis,0.0151952607557177
rh.parsorbitalis,0.0172227062284946
rh.parstriangularis,0.0161189660429954
rh.pericalcarine,0.0080475388094782
rh.postcentral,0.0095995869487524
rh.posteriorcingulate,0.013007590547204
rh.precentral,0.0104709798470139
rh.precuneus,0.0086460150778293
rh.rostralanteriorcingulate,0.0136709408834576
rh.rostralmiddlefrontal,0.0186619330197572
rh.superiorfrontal,0.0134983267635107
rh.superiorparietal,0.0081670079380273
rh.superiortemporal,0.0142546696588397
rh.supramarginal,0.0093103814870119
rh.frontalpole,0.0247780811041593
rh.temporalpole,0.0223461110144853
rh.transversetemporal,0.0106963664293289
rh.insula,0.014429748058319
