region,megtheta
lh.bankssts,0.2449731528759002
lh.caudalanteriorcingulate,0.297584056854248
lh.caudalmiddlefrontal,0.2998328804969787
lh.cuneus,0.2103354036808014
lh.entorhinal,0.2396492213010788
lh.fusiform,0.2348667979240417
lh.inferiorparietal,0.2335330247879028
lh.inferiortemporal,0.2391615062952041
lh.isthmuscingulate,0.2535441219806671
lh.lateraloccipital,0.2137364745140075
lh.lateralorbitofrontal,0.263128787279129
lh.lingual,0.2320639789104461
lh.medialorbitofrontal,0.2665675282478332
lh.middletemporal,0.2437216490507125
lh.parahippocampal,0.2387803792953491
lh.paracentral,0.2742682099342346
lh.parsopercularis,0.271408200263977
lh.parsorbitalis,0.2723613083362579
lh.parstriangularis,0.2738519012928009
lh.pericalcarine,0.2196011841297149
lh.postcentral,0.2531583309173584
lh.posteriorcingulate,0.2693377137184143
lh.precentral,0.2741538286209106
lh.precuneus,0.2395101487636566
lh.rostralanteriorcingulate,0.2852496802806854
lh.rostralmiddlefrontal,0.2836005985736847
lh.superiorfrontal,0.3075781166553497
lh.superiorparietal,0.2345190197229385
lh.superiortemporal,0.2467373311519622
lh.supramarginal,0.2500368952751159
lh.frontalpole,0.2694296836853027
lh.temporalpole,0.2439784258604049
lh.transversetemporal,0.2454090267419815
lh.insula,0.247881144285202
rh.bankssts,0.2355991303920745
rh.caudalanteriorcingulate,0.2933766543865204
rh.caudalmiddlefrontal,0.2942660450935364
rh.cuneus,0.2065806239843368
rh.entorhinal,0.2372488528490066
rh.fusiform,0.228146344423294
rh.inferiorparietal,0.2277983278036117
rh.inferiortemporal,0.228540688753128
rh.isthmuscingulate,0.2514048218727112
rh.lateraloccipital,0.2087749242782592
rh.lateralorbitofrontal,0.2546425461769104
rh.lingual,0.228352665901184
rh.medialorbitofrontal,0.2629941403865814
rh.middletemporal,0.2313420325517654
rh.parahippocampal,0.233989268541336
rh.paracentral,0.2769887447357178
rh.parsopercularis,0.2643639147281647
rh.parsorbitalis,0.2624855637550354
rh.parstriangularis,0.265556663274765
rh.pericalcarine,0.2146302759647369
rh.postcentral,0.2524275183677673
rh.posteriorcingulate,0.2674972712993622
rh.precentral,0.2708711326122284
rh.precuneus,0.2392967045307159
rh.rostralanteriorcingulate,0.2829757630825043
rh.rostralmiddlefrontal,0.2781583368778229
rh.superiorfrontal,0.3046670258045196
rh.superiorparietal,0.2365758717060089
rh.superiortemporal,0.2365748733282089
rh.supramarginal,0.2422071993350982
rh.frontalpole,0.2674849331378937
rh.temporalpole,0.2382725328207016
rh.transversetemporal,0.2376357018947601
rh.insula,0.2405300885438919
