region,pd
VMV3_R,72.66439321158845
PHA2_R,71.00597775439597
V4t_R,66.6130425131306
FST_R,66.94607479911811
V3CD_R,68.69944296519657
LO3_R,67.07430843433995
VMV2_R,69.82255356025696
31pd_R,71.42037823456506
31a_R,78.45825362886701
VVC_R,71.82655241797812
25_R,70.09560499727644
s32_R,74.6525724958396
pOFC_R,66.95877361860609
PoI1_R,71.66373170058975
Ig_R,75.8454960371091
FOP5_R,73.23942509104499
p10p_R,72.71027572085583
p47r_R,68.56620161640522
TGv_R,74.26857987284917
MBelt_R,71.60612027008425
LBelt_R,75.6623361819337
A4_R,71.31082951326475
STSva_R,69.40957928202873
TE1m_R,67.98251218149002
PI_R,73.2654254356843
a32pr_R,75.06676764009653
p24_R,78.53637874797677
