region,pd
V1_L,71.98113109627259
MST_L,71.65421993391854
V6_L,66.18820141489866
V2_L,71.57940819782789
V3_L,69.86090606227945
V4_L,69.51931823523981
V8_L,69.83509325414974
4_L,70.2883738212842
3b_L,69.39358388433465
FEF_L,71.92767433164158
PEF_L,65.4387708049439
55b_L,64.33955337912568
V3A_L,62.37691868871735
RSC_L,76.72202454654065
POS2_L,69.7632601057123
V7_L,71.90613155227528
IPS1_L,72.15107083010177
FFC_L,70.87534839136725
V3B_L,70.58820982540355
LO1_L,61.01486096475791
LO2_L,71.54065972943849
PIT_L,71.57986121033478
MT_L,69.85139411152274
A1_L,73.18303906259685
PSL_L,71.38026942982063
SFL_L,65.52716151354296
PCV_L,78.5567926249579
STV_L,68.87395429691168
7Pm_L,76.14674969486029
7m_L,74.77727287353831
POS1_L,71.32994485908489
23d_L,79.81301513021391
v23ab_L,76.35177026831586
d23ab_L,76.78657686917764
31pv_L,76.04232640603217
5m_L,73.6364384856418
5mv_L,70.2031487999162
23c_L,78.58314104707028
5L_L,73.18447206298177
24dd_L,76.92974493271095
24dv_L,74.63675671978726
7AL_L,73.27827234711758
SCEF_L,70.78192036012197
6ma_L,68.08239990807586
7Am_L,72.82977064303581
7Pl_L,67.67373074975211
7PC_L,74.29135797867839
LIPv_L,73.32557645544907
VIP_L,69.07343344800424
MIP_L,68.82873332542881
1_L,66.94225160134289
2_L,71.33359208880394
3a_L,69.40382432376637
6d_L,72.44088149041113
6mp_L,67.70068453734707
6v_L,64.69386035392203
p24pr_L,81.12220067675005
33pr_L,76.6836100189528
a24pr_L,78.16072740934493
p32pr_L,77.36595493838901
a24_L,74.83032406062115
d32_L,72.83829915072147
8BM_L,71.5629490619606
p32_L,70.33351193553996
10r_L,71.05054285608489
47m_L,71.47237995472031
8Av_L,67.86537897812836
8Ad_L,69.82211522907731
9m_L,70.10325277867898
8BL_L,65.7003112251733
9p_L,69.6108970714295
10d_L,71.65775737610235
8C_L,70.26810439480788
44_L,65.35349755110883
45_L,66.092174907976
47l_L,71.73430546094738
a47r_L,70.57395057463182
6r_L,70.40018348723571
IFJa_L,71.88413130341782
IFJp_L,66.2117736680167
IFSp_L,68.40644992414414
IFSa_L,70.84115494692702
p9-46v_L,66.6704393448272
46_L,70.0187437554937
a9-46v_L,71.46282798750873
9-46d_L,67.62954043900517
9a_L,73.24275220796815
10v_L,70.06804946720055
a10p_L,72.9138985341077
10pp_L,66.92953429513442
11l_L,72.17569988514474
13l_L,66.7438924041782
OFC_L,68.50913323960881
47s_L,72.65743661872469
LIPd_L,71.18877809031027
6a_L,71.51312557534524
i6-8_L,67.78716916319216
s6-8_L,69.19186241832007
43_L,71.02964574796631
OP4_L,70.65173266971341
OP1_L,72.45248248712261
OP2-3_L,76.03335427169372
52_L,65.02308583735362
RI_L,71.51167833820874
PFcm_L,73.38931157918759
PoI2_L,73.80959317998122
TA2_L,72.5401128420608
FOP4_L,67.40174929829153
MI_L,72.54397118651251
Pir_L,70.06828227243413
AVI_L,71.17032688227451
AAIC_L,73.28361020754669
FOP1_L,72.01457143839771
FOP3_L,72.37852204500975
FOP2_L,70.44122418017757
PFt_L,71.0775274611916
AIP_L,74.26897337572858
EC_L,71.27639226523029
PreS_L,79.80401419263791
H_L,69.20873769716411
ProS_L,72.01770532726051
PeEc_L,65.21988428219372
STGa_L,72.67397064576981
PBelt_L,67.93192278918957
A5_L,70.67496887608208
PHA1_L,76.53519662300745
PHA3_L,65.77655123652116
STSda_L,72.2393901616
STSdp_L,72.9605156679069
STSvp_L,72.46359411875407
TGd_L,70.47013909130199
TE1a_L,71.84990252626395
TE1p_L,68.8988640374154
TE2a_L,71.1551705706076
TF_L,65.60049261189967
TE2p_L,70.20919734689924
PHT_L,69.62640728331601
PH_L,68.37381835907077
TPOJ1_L,74.60080567631152
TPOJ2_L,70.08242083269538
TPOJ3_L,73.71320166522253
DVT_L,67.18989178352831
PGp_L,60.68204971022397
IP2_L,73.04506910292736
IP1_L,70.61000230613986
IP0_L,69.63822029708723
PFop_L,70.58767454896761
PF_L,70.22564858766424
PFm_L,69.385494128514
PGi_L,66.77845687491951
PGs_L,66.37955689740778
V6A_L,55.59109112536184
VMV1_L,75.53168448264324
VMV3_L,72.51995112177379
PHA2_L,68.42518772513179
V4t_L,67.04445729837609
FST_L,68.7691474017216
V3CD_L,64.77697333496047
LO3_L,64.18460722605387
VMV2_L,74.05379034060296
31pd_L,74.8371959530046
31a_L,73.5930891962255
VVC_L,70.46872075339921
25_L,68.18156508891352
s32_L,71.4719497188445
pOFC_L,68.31459348300828
PoI1_L,73.14145459371116
Ig_L,76.4662098125978
FOP5_L,72.39933595574625
p10p_L,73.84942890015787
p47r_L,70.24013446363291
TGv_L,68.95182434720674
MBelt_L,67.94789645209987
LBelt_L,70.30994502357815
A4_L,67.57423446261879
STSva_L,70.17846295083187
TE1m_L,72.57162615864144
PI_L,70.00000352125902
a32pr_L,72.98461064277937
p24_L,73.57189778773703
V1_R,70.1355308375561
MST_R,65.88030311284791
V6_R,71.54357945834191
V2_R,69.38842925651831
V3_R,69.71040663737935
V4_R,68.00279983866415
V8_R,74.79300934673151
4_R,68.48931723775671
3b_R,72.69089267800447
FEF_R,73.16160117594465
PEF_R,67.96571113680616
55b_R,71.6751049209692
V3A_R,67.01694267520793
RSC_R,74.36936724948265
POS2_R,73.11356112726901
V7_R,67.54968385718693
IPS1_R,70.61602131217471
FFC_R,76.35325135379438
V3B_R,76.17862683111326
LO1_R,74.51136657600011
LO2_R,64.79027340793797
PIT_R,66.70924887243628
MT_R,68.45046814486511
A1_R,74.41645283683604
PSL_R,68.24483334129806
SFL_R,71.08048867933856
PCV_R,79.18188265516237
STV_R,64.96587472301633
7Pm_R,78.25420809012532
7m_R,73.66899285997663
POS1_R,72.47333698831946
23d_R,79.91942797785815
v23ab_R,76.2390561117406
d23ab_R,77.2490123310152
31pv_R,74.11568334230434
5m_R,78.70259104076518
5mv_R,79.71610283136845
23c_R,76.97292011452284
5L_R,73.93410349978322
24dd_R,72.6940248455066
24dv_R,71.7856071221583
7AL_R,73.94148326343105
SCEF_R,72.90299643217526
6ma_R,67.97638411679185
7Am_R,74.43163285166396
7Pl_R,68.84671991291441
7PC_R,73.5232054281825
LIPv_R,69.39126315881362
VIP_R,73.36859035798099
MIP_R,68.61891002978308
1_R,70.14553986070827
2_R,69.82337167374135
3a_R,68.32893761201781
6d_R,70.99153466059049
6mp_R,68.5187385642901
6v_R,67.83923328751804
p24pr_R,78.10631961594085
33pr_R,80.60452221921307
a24pr_R,73.48288636116077
p32pr_R,77.15796457773135
a24_R,79.76619471278131
d32_R,72.12799186343878
8BM_R,67.78513619191732
p32_R,74.88373329981623
10r_R,72.05144446281028
47m_R,67.6159572064938
8Av_R,70.89223370842282
8Ad_R,68.48054784492297
9m_R,71.75243034368684
8BL_R,68.19583421624617
9p_R,74.07387942205943
10d_R,68.65917740822884
8C_R,70.86666573916548
44_R,69.58407421718556
45_R,70.61446480859037
47l_R,67.56880863771327
a47r_R,72.80606956866308
6r_R,70.14395330174914
IFJa_R,74.6615300579691
IFJp_R,68.6514750079484
IFSp_R,68.82611676821011
IFSa_R,68.10626963821814
p9-46v_R,70.4987445294857
46_R,70.69077892071475
a9-46v_R,68.9908448214662
9-46d_R,70.37787030255299
9a_R,75.92655179957644
10v_R,67.41896189991375
a10p_R,72.004942042819
10pp_R,66.85736829162096
11l_R,70.85682839037432
13l_R,65.99450163799783
OFC_R,69.98883906566049
47s_R,70.77573912869967
LIPd_R,66.49729184656336
6a_R,72.70446933833831
i6-8_R,71.8147266070336
s6-8_R,66.24509563240004
43_R,73.52477741534352
OP4_R,72.98833672681376
OP1_R,73.60434893199375
OP2-3_R,70.22287395690769
52_R,70.9251537018634
RI_R,66.86435995336946
PFcm_R,70.56526440626507
PoI2_R,72.16375274163858
TA2_R,76.12238889187041
FOP4_R,73.61218736002076
MI_R,71.7921568386643
Pir_R,63.066353446087405
AVI_R,71.30605175008056
AAIC_R,68.79050747411004
FOP1_R,74.77348799853591
FOP3_R,73.37246833401227
FOP2_R,72.67554597441966
PFt_R,69.34733025940949
AIP_R,72.5848509253225
EC_R,69.7584468399926
PreS_R,79.49017139343219
H_R,72.01116302260587
ProS_R,73.70677024274534
PeEc_R,74.7960181101122
STGa_R,74.29588317116513
PBelt_R,71.99731049936636
A5_R,68.40063349096255
PHA1_R,70.76727160299667
PHA3_R,71.03989415178717
STSda_R,70.34034839295038
STSdp_R,72.52253024536714
STSvp_R,70.45605056356794
TGd_R,75.50137895640934
TE1a_R,71.14831024644381
TE1p_R,66.87336483540429
TE2a_R,52.34776030804129
TF_R,75.22589716881849
TE2p_R,67.92954396008837
PHT_R,68.56936506618949
PH_R,70.35399864456984
TPOJ1_R,68.65548705206977
TPOJ2_R,67.22823578264183
TPOJ3_R,73.35696228077155
DVT_R,71.44777763291161
PGp_R,63.53314055692407
IP2_R,74.18937892218004
IP1_R,70.90110731814353
IP0_R,74.57459797510286
PFop_R,68.27441713682721
PF_R,71.00411789085098
PFm_R,68.41969066599799
PGi_R,67.50470939489266
PGs_R,61.742497356468434
V6A_R,64.04770492139151
VMV1_R,71.3417278335128
