region,thick_VI
a47r_R,0.5343212310451286
6r_R,0.5173280636669061
IFJa_R,0.5428117743137165
IFJp_R,0.5360455177707067
IFSp_R,0.5100409139134426
IFSa_R,0.5305420063646941
p9-46v_R,0.5226803115339547
46_R,0.536152099274942
a9-46v_R,0.5145897298614294
9-46d_R,0.5337535256075737
9a_R,0.5198033961176933
10v_R,0.5385166652069036
a10p_R,0.5249273921521808
10pp_R,0.5325690761904455
11l_R,0.5232104486208593
13l_R,0.5398574692680517
OFC_R,0.525745881515283
47s_R,0.5375306565516346
LIPd_R,0.5578003165378541
6a_R,0.5231277283623014
i6-8_R,0.5149249965781145
s6-8_R,0.548586476948439
43_R,0.5171933601142676
OP4_R,0.5213519963836031
OP1_R,0.5610794609853461
OP2-3_R,0.5472395632388725
52_R,0.5592983074397934
RI_R,0.5474596400698061
PFcm_R,0.5322564311285045
PoI2_R,0.5287208781217737
TA2_R,0.5619652036913156
FOP4_R,0.5544894105923879
MI_R,0.5461152771606185
Pir_R,0.5379541990793353
AVI_R,0.5455942896075426
AAIC_R,0.5531068784925106
FOP1_R,0.5650979774014653
FOP3_R,0.5083705205602341
FOP2_R,0.5445958617937247
PFt_R,0.5599793298057809
AIP_R,0.5211108326458155
EC_R,0.514509246463244
PreS_R,0.5653983739047368
H_R,0.5431263462063868
ProS_R,0.5352690197785425
PeEc_R,0.5593156232168751
STGa_R,0.5656774110297564
PBelt_R,0.5326297495946097
A5_R,0.5666380618118738
PHA1_R,0.5403885129396743
PHA3_R,0.5439089766414847
STSda_R,0.5531695947290515
STSdp_R,0.5198916086637183
STSvp_R,0.5195944039086442
TGd_R,0.5358325797709076
TE1a_R,0.5293966307251847
TE1p_R,0.558215838958376
TE2a_R,0.5620710919272958
TF_R,0.5493770788521252
TE2p_R,0.5589143809702686
PHT_R,0.5566260567770185
PH_R,0.5343594419342892
TPOJ1_R,0.5462178063589831
TPOJ2_R,0.5372286147891167
TPOJ3_R,0.5267436508220629
DVT_R,0.5311823774529398
PGp_R,0.5430845442420191
IP2_R,0.537438305517795
IP1_R,0.5494378480178923
IP0_R,0.5292323041066378
PFop_R,0.5773881627635126
PF_R,0.5302960739773733
PFm_R,0.5280170161669692
PGi_R,0.5404460264072897
PGs_R,0.5342893929289415
V6A_R,0.5160140349765566
VMV1_R,0.5447728998003658
VMV3_R,0.5625644239500945
PHA2_R,0.5597274975990166
V4t_R,0.5047325436307404
FST_R,0.5490037546814395
V3CD_R,0.538536146225514
LO3_R,0.5002245701587097
VMV2_R,0.519572770689936
31pd_R,0.5452287031449379
31a_R,0.5640649004126743
VVC_R,0.5452646827358957
25_R,0.5096778120036474
s32_R,0.5262742026593106
pOFC_R,0.5566862183997855
PoI1_R,0.519973023711151
Ig_R,0.5421989033135055
FOP5_R,0.5183481382185879
p10p_R,0.516802969359926
p47r_R,0.5201886398465544
TGv_R,0.5288448266128094
MBelt_R,0.5373978500050894
LBelt_R,0.5474438596576564
A4_R,0.5409983560427329
STSva_R,0.5558091920871436
TE1m_R,0.5343963926225688
PI_R,0.5258414759992188
a32pr_R,0.5359730901295434
p24_R,0.5421005303609349
