region,thick_VI
V1_L,0.5283487263886947
MST_L,0.540265467709369
V6_L,0.5547585804051983
V2_L,0.5275310477448063
V3_L,0.528627084181707
V4_L,0.5582780477049137
V8_L,0.545994187299026
4_L,0.5428291654502523
3b_L,0.5560630398186919
FEF_L,0.562448769430087
PEF_L,0.5217449270872645
55b_L,0.5261504624815009
V3A_L,0.5520216867288311
RSC_L,0.5461811311125193
POS2_L,0.5308252812988332
V7_L,0.5763496466379958
IPS1_L,0.524861772978587
FFC_L,0.5333749461348363
V3B_L,0.4991434775465337
LO1_L,0.5231878196855607
LO2_L,0.492247350500597
PIT_L,0.5100958853617005
MT_L,0.5220106779064779
A1_L,0.5148867865347007
PSL_L,0.5245020686658844
SFL_L,0.5265938732048924
PCV_L,0.5326123616312463
STV_L,0.5618638947209408
7Pm_L,0.5442794845075845
7m_L,0.5571643202865223
POS1_L,0.5397433995922664
23d_L,0.5260408843358689
v23ab_L,0.5344942303168859
d23ab_L,0.510929139085539
31pv_L,0.5323696769155633
5m_L,0.5663529387851608
5mv_L,0.5403434410877604
23c_L,0.5261758315207645
5L_L,0.5249967531850781
24dd_L,0.5414868248443165
24dv_L,0.5249234528473952
7AL_L,0.526394904369866
SCEF_L,0.5488711808115205
6ma_L,0.5289684024666396
7Am_L,0.5222983372835858
7Pl_L,0.5415177765949674
7PC_L,0.5390571131274916
LIPv_L,0.5319332983642934
VIP_L,0.5335274306130251
MIP_L,0.5416407811244169
1_L,0.5475545135607274
2_L,0.5457731650798339
3a_L,0.5364467561990529
6d_L,0.5569268294697958
6mp_L,0.5582874325116586
6v_L,0.5442774616545479
p24pr_L,0.516287783815569
33pr_L,0.533643869812617
a24pr_L,0.5432155850644015
p32pr_L,0.5497817856170063
a24_L,0.5543935540431076
d32_L,0.5182842936485615
8BM_L,0.5539802783470772
p32_L,0.5351322378376333
10r_L,0.5702549464572528
47m_L,0.5368541724236915
8Av_L,0.5358795560905891
8Ad_L,0.5430303752137602
9m_L,0.5412404583523357
8BL_L,0.5439958822030252
9p_L,0.5469676744113872
10d_L,0.5216464301207943
8C_L,0.5503914933373374
44_L,0.5111632180240288
45_L,0.5185645205576856
47l_L,0.5392040333052852
a47r_L,0.538375245602743
6r_L,0.5427147152102265
IFJa_L,0.5339933425140732
IFJp_L,0.5530274050397299
IFSp_L,0.5371779480432498
IFSa_L,0.544662386734691
p9-46v_L,0.5481974605039257
46_L,0.52958072441355
a9-46v_L,0.5456470602089507
9-46d_L,0.5347906412625475
9a_L,0.5600863931107668
10v_L,0.5359487926275868
a10p_L,0.5246795929657481
10pp_L,0.5024240685114331
11l_L,0.5302361772092703
13l_L,0.5326255260189832
OFC_L,0.5362248583933066
47s_L,0.5040216724805958
LIPd_L,0.5566174287430278
6a_L,0.5479289164898321
i6-8_L,0.5458347310356324
s6-8_L,0.5495742564806722
43_L,0.5482405992069891
OP4_L,0.5397802081925909
OP1_L,0.5570608712802535
OP2-3_L,0.5683016389046625
52_L,0.5254562282803216
RI_L,0.5709438604191027
PFcm_L,0.542352180906406
PoI2_L,0.562360407355428
TA2_L,0.5698886368724456
FOP4_L,0.5564538995612461
MI_L,0.5074818935151814
Pir_L,0.5225041884524931
AVI_L,0.5457546423776642
AAIC_L,0.53951169169467
FOP1_L,0.5636638842210872
FOP3_L,0.5449539819583294
FOP2_L,0.5428830854560001
PFt_L,0.5399522144672713
AIP_L,0.5309532411133576
EC_L,0.5230834528082213
PreS_L,0.5225288680091498
H_L,0.506899254893486
ProS_L,0.5567145631812777
PeEc_L,0.5284472028025854
STGa_L,0.5355517313555869
PBelt_L,0.5308667644961547
A5_L,0.531732972153972
PHA1_L,0.5294284855315455
PHA3_L,0.5084315451295864
STSda_L,0.5149908821997474
STSdp_L,0.518719838476456
STSvp_L,0.5318371066218435
TGd_L,0.5491594694194288
TE1a_L,0.5317964838624686
TE1p_L,0.5225712109913145
TE2a_L,0.5357686647701817
TF_L,0.5287913613624039
TE2p_L,0.5262520486189124
PHT_L,0.5323838270042491
PH_L,0.5143002452950851
TPOJ1_L,0.5589548216919583
TPOJ2_L,0.5076932476791383
TPOJ3_L,0.5566091656185366
DVT_L,0.5506337114177117
PGp_L,0.5676468988569576
IP2_L,0.5305458731892242
IP1_L,0.5019115356038415
IP0_L,0.5158745079274492
PFop_L,0.5533101352522929
PF_L,0.5261991155417364
PFm_L,0.5479566503131957
PGi_L,0.530201854326228
PGs_L,0.5448942728125599
V6A_L,0.5769970577795901
VMV1_L,0.5543983185491549
VMV3_L,0.5028280109105235
PHA2_L,0.5264261023180076
V4t_L,0.5412490394985318
FST_L,0.5455756593544676
V3CD_L,0.5544271744406047
LO3_L,0.5146832785568086
VMV2_L,0.5445298791306937
31pd_L,0.5293031350846805
31a_L,0.4887779912403892
VVC_L,0.5552780232809464
25_L,0.504263073104291
s32_L,0.5232246951677112
pOFC_L,0.5467875914965142
PoI1_L,0.5444428279950139
Ig_L,0.5280099256877823
