region,megtimescale
lh.bankssts,16.795101165771484
lh.caudalanteriorcingulate,20.649200439453125
lh.caudalmiddlefrontal,21.758825302124023
lh.cuneus,12.844867706298828
lh.entorhinal,26.10978889465332
lh.fusiform,19.28322982788086
lh.inferiorparietal,12.910005569458008
lh.inferiortemporal,19.19854736328125
lh.isthmuscingulate,17.48259925842285
lh.lateraloccipital,13.546162605285645
lh.lateralorbitofrontal,28.32967758178711
lh.lingual,17.584300994873047
lh.medialorbitofrontal,36.1723747253418
lh.middletemporal,20.165943145751957
lh.parahippocampal,21.161914825439453
lh.paracentral,14.649459838867188
lh.parsopercularis,20.67611122131348
lh.parsorbitalis,25.177906036376957
lh.parstriangularis,23.71219062805176
lh.pericalcarine,14.205077171325684
lh.postcentral,13.410162925720217
lh.posteriorcingulate,16.75215721130371
lh.precentral,15.901988983154297
lh.precuneus,13.431926727294922
lh.rostralanteriorcingulate,27.726280212402344
lh.rostralmiddlefrontal,30.24472045898437
lh.superiorfrontal,25.675731658935547
lh.superiorparietal,11.797462463378906
lh.superiortemporal,21.853355407714844
lh.supramarginal,13.55358600616455
lh.frontalpole,47.674652099609375
lh.temporalpole,33.86792755126953
lh.transversetemporal,18.86628150939941
lh.insula,22.114755630493164
rh.bankssts,16.010007858276367
rh.caudalanteriorcingulate,21.07253837585449
rh.caudalmiddlefrontal,20.1015682220459
rh.cuneus,13.09961986541748
rh.entorhinal,29.7596492767334
rh.fusiform,20.381969451904297
rh.inferiorparietal,13.122103691101074
rh.inferiortemporal,20.44836807250977
rh.isthmuscingulate,17.521657943725586
rh.lateraloccipital,13.736263275146484
rh.lateralorbitofrontal,30.808429718017575
rh.lingual,17.787952423095703
rh.medialorbitofrontal,36.33374786376953
rh.middletemporal,21.04129981994629
rh.parahippocampal,21.75459861755371
rh.paracentral,14.933530807495115
rh.parsopercularis,20.171356201171875
rh.parsorbitalis,27.30549049377441
rh.parstriangularis,22.151586532592773
rh.pericalcarine,14.450218200683594
rh.postcentral,12.822141647338867
rh.posteriorcingulate,17.494831085205078
rh.precentral,14.630640029907228
rh.precuneus,13.3463773727417
rh.rostralanteriorcingulate,27.401487350463867
rh.rostralmiddlefrontal,29.509584426879883
rh.superiorfrontal,25.216472625732425
rh.superiorparietal,11.62088394165039
rh.superiortemporal,21.878416061401367
rh.supramarginal,13.279809951782228
rh.frontalpole,47.58755493164063
rh.temporalpole,34.0778923034668
rh.transversetemporal,17.320953369140625
rh.insula,21.75624084472656
