region,cmrglc
V1_L,7123.0063
MST_L,6386.997
V6_L,6731.1616
V2_L,6837.741
V3_L,6696.436
V4_L,6551.755
V8_L,6587.234
4_L,6672.994
3b_L,6817.495
FEF_L,6973.496
PEF_L,7098.7285
55b_L,6887.645
V3A_L,6526.735
RSC_L,6789.4595
POS2_L,7816.272
V7_L,6948.698
IPS1_L,7118.1123
FFC_L,6195.9673
V3B_L,6794.564
LO1_L,6368.299
LO2_L,6089.7544
PIT_L,6217.7847
MT_L,6442.718
A1_L,7194.855
PSL_L,6247.3086
SFL_L,6729.164
PCV_L,6906.5254
STV_L,6164.4346
7Pm_L,7343.544
7m_L,7680.9497
POS1_L,6897.1396
23d_L,7053.098
v23ab_L,7338.89
d23ab_L,7603.2393
31pv_L,7035.6836
5m_L,6670.3823
5mv_L,6028.0884
23c_L,6200.7905
5L_L,6158.936
24dd_L,6341.3945
24dv_L,5914.3115
7AL_L,6132.5356
SCEF_L,6980.0566
6ma_L,6678.489
7Am_L,6582.4165
7Pl_L,6841.8467
7PC_L,6392.4814
LIPv_L,6998.256
VIP_L,6465.077
MIP_L,7126.1865
1_L,6242.3145
2_L,6358.281
3a_L,6792.606
6d_L,6563.9985
6mp_L,6430.6865
6v_L,6284.6577
p24pr_L,6002.63
33pr_L,5627.169
a24pr_L,5928.882
p32pr_L,6319.1226
a24_L,6206.9106
d32_L,6511.7637
8BM_L,7016.1562
p32_L,6398.792
10r_L,6732.775
47m_L,6901.993
8Av_L,6965.43
8Ad_L,7008.8774
9m_L,6447.5103
8BL_L,6345.29
9p_L,6297.245
10d_L,6561.114
8C_L,7397.971
44_L,7069.751
45_L,6951.5312
47l_L,6705.689
a47r_L,6566.968
6r_L,6884.3013
IFJa_L,7273.4053
IFJp_L,7200.825
IFSp_L,7341.4595
IFSa_L,7200.1133
p9-46v_L,7215.1094
46_L,6899.6743
a9-46v_L,7258.425
9-46d_L,7044.8916
9a_L,6456.782
10v_L,6638.151
a10p_L,6973.9136
10pp_L,6314.991
11l_L,6359.3296
13l_L,6426.2554
OFC_L,6364.5044
47s_L,6201.2905
LIPd_L,7341.1304
6a_L,6884.6904
i6-8_L,7146.99
s6-8_L,6866.4805
43_L,6328.1675
OP4_L,5987.266
OP1_L,6300.9
OP2-3_L,5992.5674
52_L,5824.987
RI_L,6212.5605
PFcm_L,6396.8076
PoI2_L,5181.832
TA2_L,5155.487
FOP4_L,6426.138
MI_L,6214.665
Pir_L,4208.1523
AVI_L,6479.815
AAIC_L,5147.1016
FOP1_L,6314.721
FOP3_L,5903.19
FOP2_L,5649.115
PFt_L,6175.436
AIP_L,6711.947
EC_L,4477.489
PreS_L,4974.774
H_L,4440.134
ProS_L,5890.6934
PeEc_L,4522.1157
STGa_L,4842.8965
PBelt_L,6460.9727
A5_L,5810.217
PHA1_L,5312.5396
PHA3_L,5409.0137
STSda_L,5571.7505
STSdp_L,6086.037
STSvp_L,6125.899
TGd_L,4589.2485
TE1a_L,5573.643
TE1p_L,6057.8223
TE2a_L,5698.288
TF_L,5320.468
TE2p_L,5883.0425
PHT_L,6063.154
PH_L,6123.469
