region,thick_II
V1_L,0.2153915418955693
MST_L,0.2254124900801066
V6_L,0.2153820065053571
V2_L,0.2158063402050812
V3_L,0.2174482530934113
V4_L,0.217156191233338
V8_L,0.2229025815827221
4_L,0.2237379308861902
3b_L,0.2233921617263301
FEF_L,0.224107906766388
PEF_L,0.2272767728075999
55b_L,0.2233198369050769
V3A_L,0.2278140891264203
RSC_L,0.2196207809492613
POS2_L,0.2260457427816093
V7_L,0.2221550086980207
IPS1_L,0.2174415891899338
FFC_L,0.2089039783965294
V3B_L,0.2113422173116423
LO1_L,0.2231965791406605
LO2_L,0.2076024094896509
PIT_L,0.2055751141576061
MT_L,0.2135605560244552
A1_L,0.2128095669373446
PSL_L,0.2159040268074456
SFL_L,0.2194689250645886
PCV_L,0.2173867102512927
STV_L,0.221944532952324
7Pm_L,0.2242657270977535
7m_L,0.2225638773880991
POS1_L,0.2186757333150359
23d_L,0.2150285918692621
v23ab_L,0.2164841450570436
d23ab_L,0.2104364331536085
31pv_L,0.2116879430963731
5m_L,0.2223494851015205
5mv_L,0.2182477012018213
23c_L,0.2162338758099642
5L_L,0.2196691119619407
24dd_L,0.219227178626773
24dv_L,0.2168684953050964
7AL_L,0.2233130612396255
SCEF_L,0.2217823901009036
6ma_L,0.2217322595001661
7Am_L,0.2172935775207027
7Pl_L,0.2224531741722136
7PC_L,0.2233471512888978
LIPv_L,0.222640514074077
VIP_L,0.2261199691204957
MIP_L,0.2144686538208302
1_L,0.2216234787940147
2_L,0.2214802568996756
3a_L,0.2200945371144464
6d_L,0.226158505116609
6mp_L,0.2230010200439061
6v_L,0.2212580730797047
p24pr_L,0.2131778435366416
33pr_L,0.216026441480056
a24pr_L,0.2180110989725156
p32pr_L,0.2270124863803237
a24_L,0.2225743605781689
d32_L,0.209413168040301
8BM_L,0.2278923662478661
p32_L,0.2233691439167859
10r_L,0.2229762151811734
47m_L,0.2160252326391535
8Av_L,0.2124433752276571
8Ad_L,0.2216977345442536
9m_L,0.2216257565608028
8BL_L,0.2179952360197696
9p_L,0.2187429813117183
10d_L,0.2215243676697308
8C_L,0.2216486823491084
44_L,0.2158872406204432
45_L,0.2188373899040601
47l_L,0.2204001116873724
a47r_L,0.226151038629373
6r_L,0.2182121760657657
IFJa_L,0.2214079257525661
IFJp_L,0.2197219541104009
IFSp_L,0.2170882579842491
IFSa_L,0.2201610872553243
p9-46v_L,0.222896200035995
46_L,0.2199787960878335
a9-46v_L,0.2198444592455077
9-46d_L,0.2244695453237399
9a_L,0.2260511266760564
10v_L,0.2217858733139012
a10p_L,0.2250240492737673
10pp_L,0.2114523458941251
11l_L,0.2136408403341239
13l_L,0.2146594794454585
OFC_L,0.2158494822534685
47s_L,0.2134225569497131
LIPd_L,0.2220092657784462
6a_L,0.2171089182901636
i6-8_L,0.2205612510549528
s6-8_L,0.2129765968025243
43_L,0.221845590774053
OP4_L,0.2201434342791833
OP1_L,0.2261045913650137
OP2-3_L,0.2247460163282814
52_L,0.2176866346924557
RI_L,0.2249379001605572
PFcm_L,0.2208784958470362
PoI2_L,0.220986849487608
TA2_L,0.2331172029406491
FOP4_L,0.2266658596737213
MI_L,0.2150016527730205
Pir_L,0.2109271383964855
AVI_L,0.2200996207666089
AAIC_L,0.2092325021765602
FOP1_L,0.2334681864882138
FOP3_L,0.2205270998478481
FOP2_L,0.2285306160526962
PFt_L,0.2178689742150118
AIP_L,0.2206252693911712
EC_L,0.2183819709407386
PreS_L,0.2101528431968001
H_L,0.2132284660046617
ProS_L,0.2255706785714353
PeEc_L,0.213636204219339
STGa_L,0.2286408637733467
PBelt_L,0.2162484451824459
A5_L,0.2217972459465884
PHA1_L,0.2117283675832014
PHA3_L,0.2071486134815676
STSda_L,0.2106678229753867
STSdp_L,0.2084156623150588
STSvp_L,0.22078069807734
TGd_L,0.2205882570500509
TE1a_L,0.2096890747665854
TE1p_L,0.2188321391302948
TE2a_L,0.2177383352241201
TF_L,0.2091216656875899
TE2p_L,0.2141865410468802
PHT_L,0.2173427905141759
PH_L,0.217720485183946
TPOJ1_L,0.2256147102658293
TPOJ2_L,0.2081984011142633
TPOJ3_L,0.222366073881986
DVT_L,0.2161568667301112
PGp_L,0.2201616173737947
IP2_L,0.2171669948879746
IP1_L,0.2050146463859573
IP0_L,0.2163096166699341
PFop_L,0.226304730063524
PF_L,0.2174133361827585
PFm_L,0.2196492725755899
PGi_L,0.2194361321458961
PGs_L,0.2234584723703836
V6A_L,0.2233953664777301
VMV1_L,0.2210781310209737
VMV3_L,0.2044186101618422
PHA2_L,0.2132835249029235
V4t_L,0.2157480425554694
FST_L,0.2148794197204086
V3CD_L,0.220753275056153
LO3_L,0.215622674084993
VMV2_L,0.2258224240414338
31pd_L,0.2212359181499624
31a_L,0.2046379665216124
VVC_L,0.2219688755895322
25_L,0.2170000361021458
s32_L,0.2242390579328147
pOFC_L,0.2199947452495441
PoI1_L,0.2189049669780052
Ig_L,0.2218231470214371
FOP5_L,0.2142578002410776
p10p_L,0.2248104149517074
p47r_L,0.226427321278953
TGv_L,0.2249227591775181
MBelt_L,0.2216622874229205
LBelt_L,0.2211331431485551
A4_L,0.2178596495890321
STSva_L,0.2100221847393011
TE1m_L,0.227100900744198
PI_L,0.2218407274561822
a32pr_L,0.2196753943742476
p24_L,0.2196336987286718
V1_R,0.2231194881645192
MST_R,0.2250362263161714
V6_R,0.2219457717102348
V2_R,0.2209237051513194
V3_R,0.2195877469637153
V4_R,0.2208851611219123
V8_R,0.2269284971166014
4_R,0.2157521768588604
3b_R,0.2191177809708874
FEF_R,0.2106034855909315
PEF_R,0.215114259379915
55b_R,0.2219054236359524
V3A_R,0.2191612364984411
RSC_R,0.221643434502242
POS2_R,0.2243889051509715
V7_R,0.2086933360045798
IPS1_R,0.2278745978455033
FFC_R,0.218869502925972
V3B_R,0.2139530770439753
LO1_R,0.214857376339966
LO2_R,0.2172628948039033
PIT_R,0.2204639729955489
MT_R,0.2346101824996967
A1_R,0.2234426354937748
PSL_R,0.2190395708636799
SFL_R,0.2167930317840662
PCV_R,0.2106585206932455
STV_R,0.2249595291376216
7Pm_R,0.218263059736287
7m_R,0.2096133663949599
POS1_R,0.2132058416098765
23d_R,0.2188152708871856
v23ab_R,0.2195014287342297
d23ab_R,0.2340544686768891
31pv_R,0.2178393455539382
5m_R,0.2169772370903937
5mv_R,0.2193229017771591
23c_R,0.2158054022345745
5L_R,0.2158139784262274
24dd_R,0.2193419508328957
24dv_R,0.2188229778581624
7AL_R,0.2221668180082893
SCEF_R,0.2174711277765451
6ma_R,0.2130565674588589
7Am_R,0.2141670957005536
7Pl_R,0.215290110153969
7PC_R,0.2206008905016254
LIPv_R,0.2265055620775954
VIP_R,0.219004093821296
MIP_R,0.2224236083679162
1_R,0.220393579818209
2_R,0.2185889462098952
3a_R,0.2162127709193185
6d_R,0.2130303992877751
6mp_R,0.2173065136647289
6v_R,0.219207807895438
p24pr_R,0.2237019849390292
33pr_R,0.221740953674271
a24pr_R,0.2184925488131764
p32pr_R,0.2173288089585346
a24_R,0.2142173029372282
d32_R,0.2230364459955146
8BM_R,0.2167854154360993
p32_R,0.2185986305813045
10r_R,0.2080286973473087
47m_R,0.2194412822830571
8Av_R,0.2165667681812007
8Ad_R,0.2202848597427794
9m_R,0.2220877904411299
8BL_R,0.2219212006560227
9p_R,0.2167039960132707
10d_R,0.2207468596679087
8C_R,0.2109101522680028
44_R,0.2168609518583401
45_R,0.2147661445596689
47l_R,0.2108901929025893
a47r_R,0.2172887070587832
6r_R,0.2194632089572153
IFJa_R,0.2297952481978007
IFJp_R,0.2083609839779371
IFSp_R,0.2126952137928771
IFSa_R,0.2151909988416701
p9-46v_R,0.213007108837852
46_R,0.2145654859448413
a9-46v_R,0.2208636462446835
9-46d_R,0.2186377967524491
9a_R,0.2221257346627738
10v_R,0.2160108914121581
a10p_R,0.213053105170785
10pp_R,0.2181418808158142
11l_R,0.2162969347132991
13l_R,0.2188953202509283
OFC_R,0.2185024227584796
47s_R,0.2238278031693348
LIPd_R,0.2246363085711404
6a_R,0.2117846480214425
i6-8_R,0.2166767151200711
s6-8_R,0.2212278189346841
43_R,0.2198162547302096
OP4_R,0.2188719528358323
OP1_R,0.228901801112429
OP2-3_R,0.2212836442283801
52_R,0.2355221142617666
RI_R,0.229440482053507
PFcm_R,0.213827117432698
PoI2_R,0.2208551947436385
TA2_R,0.2295628978378794
FOP4_R,0.2180013051719625
MI_R,0.2172559064274218
Pir_R,0.223523436627195
AVI_R,0.2191065295192413
AAIC_R,0.231629354834669
FOP1_R,0.2194072996226076
FOP3_R,0.2115601477837328
FOP2_R,0.2108098311760888
PFt_R,0.2278891469833395
AIP_R,0.2183113720775055
EC_R,0.2163378650003308
PreS_R,0.228928128882195
H_R,0.2261978732200612
ProS_R,0.2189793313740416
PeEc_R,0.2249246319154
STGa_R,0.2236022140736714
PBelt_R,0.2165371771952473
A5_R,0.2239424551532758
PHA1_R,0.2192716341936185
PHA3_R,0.216019641927093
STSda_R,0.2196431359633524
STSdp_R,0.2155619886993816
STSvp_R,0.2100071050623753
TGd_R,0.2170143644487076
TE1a_R,0.22247650844481
TE1p_R,0.2261529585909391
TE2a_R,0.2241895904604379
TF_R,0.2269441616269239
TE2p_R,0.2293452687004248
PHT_R,0.2269523073232371
PH_R,0.2157255815939332
TPOJ1_R,0.2215958910813876
TPOJ2_R,0.2226004150836083
TPOJ3_R,0.2201295716394344
DVT_R,0.2142710502183094
PGp_R,0.2166393157323741
IP2_R,0.2148378204367844
IP1_R,0.2263826030049784
IP0_R,0.2227910323471517
PFop_R,0.2277525453184213
PF_R,0.2228126342958847
PFm_R,0.217102275430317
PGi_R,0.2217384490566229
PGs_R,0.2150112931745193
V6A_R,0.2291211714811221
VMV1_R,0.2226623997755563
VMV3_R,0.2230870309858494
PHA2_R,0.2201451490902877
V4t_R,0.2130479128501376
FST_R,0.2228364801934589
V3CD_R,0.228362019534877
LO3_R,0.2266084999674528
VMV2_R,0.2249358450672684
31pd_R,0.2275582958946371
31a_R,0.2294501422925622
VVC_R,0.2282072440947219
25_R,0.210997589915301
s32_R,0.2090510433515535
pOFC_R,0.2255303881760735
PoI1_R,0.2181917473956349
Ig_R,0.2272453130243059
FOP5_R,0.2111954436798767
p10p_R,0.218413180300461
p47r_R,0.2079654834623381
TGv_R,0.2222454888558803
MBelt_R,0.2228746483522071
LBelt_R,0.2255202625850238
A4_R,0.225628229553079
STSva_R,0.2264562323317974
TE1m_R,0.2090020252138358
PI_R,0.2169215278092487
a32pr_R,0.2208463735798872
p24_R,0.2155507282903696
