region,megdelta
10pp_R,0.39852062
11l_R,0.39193726
13l_R,0.37919983
OFC_R,0.3967447
47s_R,0.36659858
LIPd_R,0.26690444
6a_R,0.3190933
i6-8_R,0.33697617
s6-8_R,0.3461534
43_R,0.33185107
OP4_R,0.31724408
OP1_R,0.30667588
OP2-3_R,0.30831128
52_R,0.3234246
RI_R,0.30082422
PFcm_R,0.29589996
PoI2_R,0.3509314
TA2_R,0.3592781
FOP4_R,0.34271786
MI_R,0.3504523
Pir_R,0.38395602
AVI_R,0.3544819
AAIC_R,0.36983296
FOP1_R,0.34227443
FOP3_R,0.33293998
FOP2_R,0.3234611
PFt_R,0.27944076
AIP_R,0.27117434
EC_R,0.34528443
PreS_R,0.31658688
H_R,0.33266005
ProS_R,0.31246078
PeEc_R,0.35290107
STGa_R,0.37486556
PBelt_R,0.3202243
A5_R,0.32450488
PHA1_R,0.31432894
PHA3_R,0.3097353
STSda_R,0.35374966
STSdp_R,0.3143263
STSvp_R,0.31399196
TGd_R,0.3739943
TE1a_R,0.34455934
TE1p_R,0.3057223
TE2a_R,0.33758542
TF_R,0.3285377
TE2p_R,0.30454636
PHT_R,0.29630938
PH_R,0.2954975
TPOJ1_R,0.29366678
TPOJ2_R,0.28493845
TPOJ3_R,0.28326693
DVT_R,0.26964194
PGp_R,0.26841527
IP2_R,0.2713042
IP1_R,0.26205686
IP0_R,0.26083738
PFop_R,0.29960507
PF_R,0.28552034
PFm_R,0.2758016
PGi_R,0.28278294
PGs_R,0.27059975
V6A_R,0.2482357
VMV1_R,0.31688216
VMV3_R,0.30641115
PHA2_R,0.31794903
V4t_R,0.28876394
FST_R,0.2922251
V3CD_R,0.26333082
LO3_R,0.27708456
VMV2_R,0.31741783
31pd_R,0.28419298
31a_R,0.2930155
VVC_R,0.31354013
25_R,0.38541517
s32_R,0.39244324
pOFC_R,0.3766202
PoI1_R,0.3506213
Ig_R,0.31724805
FOP5_R,0.3559014
p10p_R,0.38457173
p47r_R,0.37849367
TGv_R,0.36273384
MBelt_R,0.32987386
LBelt_R,0.31157157
A4_R,0.3185865
STSva_R,0.34366515
TE1m_R,0.3178881
PI_R,0.36431065
a32pr_R,0.3613549
p24_R,0.37027892
