region,blockface
V1_L,72.64768409910027
MST_L,81.50993683224632
V6_L,72.95415761024204
V2_L,65.60117926400882
V3_L,68.67893486947672
V4_L,71.15966009453858
V8_L,79.58475420909066
4_L,75.2250074290639
3b_L,73.3550811728826
FEF_L,82.44765199447764
PEF_L,68.63430088633773
55b_L,69.85448052177566
V3A_L,58.16815439076749
RSC_L,73.8350730287364
POS2_L,74.53185079761799
V7_L,40.441153469816896
IPS1_L,66.53752398615082
FFC_L,79.01404060205218
V3B_L,69.16628908571614
LO1_L,66.0445039298653
LO2_L,79.25756764814321
PIT_L,77.93165402317942
MT_L,79.2547361512115
A1_L,77.52120854733532
PSL_L,77.85361317600406
SFL_L,66.73656135473215
PCV_L,63.1482108499704
STV_L,77.32822629844362
7Pm_L,70.27937029101325
7m_L,75.49231912677553
POS1_L,72.36838182735686
23d_L,82.81062839118502
v23ab_L,79.25730614316636
d23ab_L,83.11683850734809
31pv_L,82.21984477557214
5m_L,73.19968218006976
5mv_L,71.06751798459997
23c_L,76.3090249952576
5L_L,70.90167031066616
24dd_L,75.44094847465219
24dv_L,71.39158939403264
7AL_L,66.75140163573712
SCEF_L,74.10480036793936
6ma_L,57.96939016884572
7Am_L,65.36235111990412
7Pl_L,62.98984681139158
7PC_L,55.905946598650296
LIPv_L,61.874593090688585
VIP_L,56.33801437560732
MIP_L,67.32273285977514
1_L,60.87425128312458
2_L,72.7753474747597
3a_L,71.17566108783754
6d_L,66.67640598354247
6mp_L,75.43742928999646
6v_L,69.29562654441014
p24pr_L,80.11385637711057
33pr_L,81.4971606955711
a24pr_L,74.0219143458775
p32pr_L,77.1521971194775
a24_L,81.96366271919784
d32_L,78.13604191650447
8BM_L,75.01159000238009
p32_L,76.02147948786897
10r_L,79.51254328365984
47m_L,76.59189845354129
8Av_L,65.00863976015162
8Ad_L,71.04031105570056
9m_L,72.57188728244343
8BL_L,62.53032706956389
9p_L,70.53522077623515
10d_L,70.5945986395243
8C_L,72.41302602034051
44_L,72.44251290932642
45_L,60.035389491107104
47l_L,73.18942115671379
a47r_L,78.30636963575829
6r_L,71.73287457482246
IFJa_L,79.71415017244844
IFJp_L,60.867302701586766
IFSp_L,71.9872639150344
IFSa_L,72.68517167118303
p9-46v_L,67.77460398131649
46_L,69.8463332713217
a9-46v_L,78.23077676285784
9-46d_L,68.83036783976215
9a_L,77.37748486382505
10v_L,77.4090549940315
