region,blockface
a10p_L,83.48527464388978
10pp_L,74.68425756946642
11l_L,79.79667914988761
13l_L,75.09551941737831
OFC_L,80.60821944328845
47s_L,74.3759227644169
LIPd_L,74.88880392221304
6a_L,79.33334283981769
i6-8_L,68.59900373695376
s6-8_L,72.78051793719143
43_L,69.07969999817944
OP4_L,74.22818816559655
OP1_L,77.06154991080496
OP2-3_L,84.3961607054168
52_L,59.703232310563656
RI_L,80.00123917535441
PFcm_L,75.81503977280872
PoI2_L,76.38236008402501
TA2_L,70.96719915894064
FOP4_L,73.43102134389831
MI_L,79.52916164857122
Pir_L,71.22842986250843
AVI_L,79.27966479211051
AAIC_L,74.84910537530091
FOP1_L,75.54075781679944
FOP3_L,83.83305692148733
FOP2_L,71.80914856852725
PFt_L,74.81536997136094
AIP_L,72.98288035819597
EC_L,69.1819702602834
PreS_L,73.21452360614082
H_L,79.57407363301363
ProS_L,67.43483900500391
PeEc_L,71.0939679667441
STGa_L,75.94012361498974
PBelt_L,70.04696951598888
A5_L,77.91404087849453
PHA1_L,66.83717312374215
PHA3_L,79.64837082779054
STSda_L,77.84276398112264
STSdp_L,81.42113874654854
STSvp_L,82.83687894477751
TGd_L,71.47848535705032
TE1a_L,78.03836208235896
TE1p_L,77.16315995712608
TE2a_L,76.26684083819981
TF_L,77.00086297344471
TE2p_L,78.32946077622879
PHT_L,71.64365680864316
PH_L,72.00384249241415
TPOJ1_L,81.92921421034873
TPOJ2_L,68.656923835996
TPOJ3_L,71.66329788927479
DVT_L,71.68840804278109
PGp_L,59.86749075973476
IP2_L,69.63414510162421
IP1_L,73.12955904626763
IP0_L,73.13699028907565
PFop_L,70.72047887041562
PF_L,73.19946445989116
PFm_L,66.04762405818877
PGi_L,70.60509606887632
PGs_L,67.85807740723125
V6A_L,34.87966436244156
VMV1_L,74.48728792611173
VMV3_L,84.32750901395451
PHA2_L,77.56407052379544
V4t_L,76.48578500313403
FST_L,73.58171878900743
V3CD_L,70.11671074145748
LO3_L,71.80830289337878
VMV2_L,83.85455881914001
31pd_L,71.46094647039732
31a_L,81.82879622821089
VVC_L,78.02311197737598
25_L,76.45498009447782
s32_L,79.05998463784495
pOFC_L,77.57076168364844
PoI1_L,75.79417198803759
Ig_L,85.0138102073174
FOP5_L,81.6557488423741
p10p_L,79.17277097911955
p47r_L,76.8200591037148
TGv_L,67.13659735096037
MBelt_L,66.07970419679013
LBelt_L,71.91707819399626
A4_L,73.35798239019344
STSva_L,71.10676717188254
TE1m_L,78.92070001814584
PI_L,76.19292849446391
a32pr_L,76.1122940525864
p24_L,78.05814072061604
V1_R,71.41939989367472
MST_R,72.5812912112172
V6_R,75.53947982584454
V2_R,68.88318549406344
V3_R,70.68333111614349
V4_R,70.17071039008373
V8_R,81.90802508711974
4_R,69.96739592113026
3b_R,74.00411491997157
FEF_R,74.83679522122874
PEF_R,66.96533327455874
55b_R,66.26512268041526
V3A_R,68.64212092797733
RSC_R,73.57660933795961
POS2_R,78.06873915602732
V7_R,71.18868226393839
IPS1_R,72.36480244595148
FFC_R,80.12640900996475
V3B_R,76.35203953484884
LO1_R,75.9036344478915
LO2_R,67.36929401017252
PIT_R,48.51698256673847
MT_R,81.34666560789799
A1_R,84.46370960593609
PSL_R,76.3251709650798
SFL_R,48.2032566577374
PCV_R,68.92036803821449
STV_R,70.78733478126968
7Pm_R,51.59573748311022
7m_R,78.95920583936903
POS1_R,78.1264474890805
23d_R,83.65186487194451
v23ab_R,74.95585290658848
d23ab_R,82.61420902959864
31pv_R,80.29442126825865
5m_R,56.35905825873579
5mv_R,63.03558273106975
23c_R,80.8303350330454
5L_R,70.48312965515548
24dd_R,76.09691502076066
24dv_R,76.36379349178358
7AL_R,59.37210325316455
SCEF_R,72.39122923376107
6ma_R,67.33845726918602
7Am_R,59.93374167097307
7Pl_R,62.07516539034897
7PC_R,50.89248166456067
LIPv_R,70.13853731562385
VIP_R,53.53643771268164
MIP_R,67.79732455964816
1_R,66.34762384067245
2_R,76.25552568005823
3a_R,71.86146768258543
6d_R,70.4243586854151
6mp_R,68.21906456243701
6v_R,72.01559620879327
p24pr_R,79.3233577427036
33pr_R,88.41418328999242
a24pr_R,78.71655530461878
p32pr_R,81.40360753467644
a24_R,84.59190862099486
d32_R,79.49452758896518
8BM_R,66.29499641218788
p32_R,80.27285434095278
10r_R,78.19049118141183
47m_R,71.19136899272969
8Av_R,71.09593866534748
8Ad_R,70.07429592607063
9m_R,69.90977845062076
8BL_R,62.62016139006723
9p_R,74.8913043481183
10d_R,69.14210780029245
8C_R,76.74483220073195
44_R,77.53170026482508
45_R,73.69551958073028
47l_R,72.0608280788333
a47r_R,76.38901695516098
6r_R,74.20487386502992
IFJa_R,83.8208308757833
IFJp_R,63.47916373918279
IFSp_R,74.67097377433804
IFSa_R,73.24833985427995
p9-46v_R,72.85180511016638
46_R,72.32632923329997
a9-46v_R,74.34302906930763
9-46d_R,72.97160485077666
9a_R,74.5381325753801
10v_R,74.34392434069707
a10p_R,75.04214967218117
10pp_R,64.15034990713761
11l_R,75.83252447862546
13l_R,74.61069145202637
OFC_R,76.36852823923432
47s_R,81.50500279081825
LIPd_R,66.68282152555666
6a_R,75.57136564202266
i6-8_R,71.50973027937934
s6-8_R,69.96862312045256
43_R,79.1992595447662
OP4_R,71.47986694363901
OP1_R,80.02646192044628
OP2-3_R,73.19883679763534
52_R,70.2323392638078
RI_R,57.79146281043224
PFcm_R,71.8878688412356
PoI2_R,80.25872037656028
TA2_R,77.47289034273219
FOP4_R,77.06590243743044
MI_R,79.76890237737585
Pir_R,72.07090333015057
AVI_R,75.07539423870784
AAIC_R,71.10398827158171
FOP1_R,76.63942885013842
FOP3_R,81.34060293190488
FOP2_R,78.67216758544629
PFt_R,78.60315320043982
AIP_R,77.45686666304066
EC_R,76.48368854438263
PreS_R,67.48990341122733
H_R,78.36090439059663
ProS_R,79.46559969216479
PeEc_R,78.57857045453905
STGa_R,72.80354239210732
PBelt_R,76.3859812671488
A5_R,73.7073445803854
PHA1_R,64.16536431486243
PHA3_R,79.28703182276206
STSda_R,74.05189967682809
STSdp_R,71.49292881943991
STSvp_R,81.09110105961311
TGd_R,74.85795957391711
TE1a_R,76.20427433396617
TE1p_R,77.41598861887034
TE2a_R,76.7919385369576
TF_R,81.83539562024276
TE2p_R,76.43617539651666
PHT_R,76.86010385760349
PH_R,75.31421768102472
TPOJ1_R,77.15633992474488
TPOJ2_R,76.26863190575203
TPOJ3_R,80.86201308938442
DVT_R,73.73572377245812
PGp_R,67.13826313000841
IP2_R,77.43320045471191
IP1_R,69.5341807030753
IP0_R,64.67715336539881
PFop_R,76.41346628310976
PF_R,73.8897321779215
PFm_R,62.90061790328478
PGi_R,73.69253722499164
PGs_R,61.332437971498734
V6A_R,57.05393211841583
VMV1_R,76.86253647905001
VMV3_R,77.92538568708632
PHA2_R,80.53724922472749
V4t_R,79.68504534646623
FST_R,74.16749390364642
V3CD_R,70.60759672085618
LO3_R,69.70899585378791
VMV2_R,81.47177207946777
31pd_R,76.94856899646672
31a_R,84.8068441613928
VVC_R,84.94041219422806
25_R,74.82696982110315
s32_R,78.62161291601824
pOFC_R,75.29802891518769
PoI1_R,84.51201552147047
Ig_R,89.15361619806615
FOP5_R,79.4350401318472
p10p_R,78.67182699320152
p47r_R,72.26550778542376
TGv_R,72.04316033656767
MBelt_R,72.51884080605073
LBelt_R,80.87060581466713
A4_R,75.0871619719576
STSva_R,82.15702454106028
TE1m_R,75.02376639006725
PI_R,86.22869300231636
a32pr_R,85.50761138657705
p24_R,85.41352584170004
